t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.5
8	80	20	0	0	0.5
10	0	100	0	0	0.5
12	0	100	0	0	0.5
12.1	95	5	0	0	0.5
14	95	5	0	0	0.5
