t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.35
2	95	5	0	0	0.35
17	0.1	99.9	0	0	0.35
20	0.1	99.9	0	0	0.35
