id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
draft_43009_00001			3.0	11564684	CN1[C@H]2CC[C@@H]1C(=CC2)C(=O)O								
draft_43009_00002			3.3	89594	CN1CCC[C@H]1C2=CN=CC=C2								
draft_43009_00003			3.5	5288826	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O								
draft_43009_00004			3.5	5462508	C1CN[C@@H]2CC3=C4[C@@]15[C@H]2C=C[C@@H]([C@@H]5OC4=C(C=C3)O)O								
draft_43009_00005			3.6	119478	CN1[C@H]2CC[C@@H]1C(=CC2)C(=O)OC								
draft_43009_00006			3.6	5284604	CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O								
draft_43009_00007			3.6	854019	CN1[C@@H](CCC1=O)C2=CN=CC=C2								
draft_43009_00008			4.3	75994	C1CN(CCN1)CC2=CC=CC=C2	C1CN(CCN1)CC2=CC=CC=C2							
draft_43009_00009			4.6	5284543	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O								
draft_43009_00010			4.8	5284371	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O								
draft_43009_00011			5.1	9925873	COC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4)[C@@H](O2)[C@H](C=C5)O)C=C1								
draft_43009_00012			5.2	26934	C[C@H]([C@H](C1=CC=CC=C1)O)N								
draft_43009_00013			5.4	5284603	CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O								
draft_43009_00014			5.6	1576	CC(C(=O)C1=CC=CC=C1)NC	CC(C(=O)C1=CC=CC=C1)NC							
draft_43009_00015			5.9	7028	C[C@@H]([C@H](C1=CC=CC=C1)O)NC								
draft_43009_00016			5.9	9294	C[C@@H]([C@@H](C1=CC=CC=C1)O)NC								
draft_43009_00017			6.1	4687	CN1C=NC2=C1C(=O)N(C(=O)N2)C	CN1C=NC2=C1C(=O)N(C(=O)N2)C							
draft_43009_00018			6.2	78641	C1C(=O)NC2=C(C=C(C=C2)N)C(=N1)C3=CC=CC=C3	C1C(=O)NC2=C(C=C(C=C2)N)C(=N1)C3=CC=CC=C3							
draft_43009_00019			6.4	5462507	CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3C								
draft_43009_00020			7.0	4076	COC1=CC(=CC(=C1OC)OC)CCN	COC1=CC(=CC(=C1OC)OC)CCN							
draft_43009_00021			7.5	3007	CC(CC1=CC=CC=C1)N	CC(CC1=CC=CC=C1)N							
draft_43009_00022			7.9	10836	C[C@@H](CC1=CC=CC=C1)NC								
draft_43009_00023			8.1	1614	CC(CC1=CC2=C(C=C1)OCO2)N	CC(CC1=CC2=C(C=C1)OCO2)N							
draft_43009_00024			8.3	1615	CC(CC1=CC2=C(C=C1)OCO2)NC	CC(CC1=CC2=C(C=C1)OCO2)NC							
draft_43009_00025			9.0	2519	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	CN1C=NC2=C1C(=O)N(C(=O)N2C)C							
draft_43009_00026			9.4	105039	CCNC(C)CC1=CC2=C(C=C1)OCO2	CCNC(C)CC1=CC2=C(C=C1)OCO2							
draft_43009_00027			10.3	124844	CCC(CC1=CC2=C(C=C1)OCO2)NC	CCC(CC1=CC2=C(C=C1)OCO2)NC							
draft_43009_00028			10.3	129870	CCC(CC1=CC2=C(C=C1)OCO2)N	CCC(CC1=CC2=C(C=C1)OCO2)N							
draft_43009_00029			10.7	448223	CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)O								
draft_43009_00030			11.0	259381	CCC(=O)N(C1CCNCC1)C2=CC=CC=C2	CCC(=O)N(C1CCNCC1)C2=CC=CC=C2							
draft_43009_00031			11.4	33741	CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O								
draft_43009_00032			11.4	5462328	CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C								
