t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	97	3	0	0	
1	97	3	0	0	
12	70	30	0	0	
14.5	10	90	0	0	
17	10	90	0	0	
18.5	97	3	0	0	
24	97	3	0	0	
