t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.4
1.12	95	5	0	0	0.4
6.41	0.5	99.5	0	0	0.4
10.01	0.5	99.5	0	0	0.4
