id	bits.on
0060_00001	15,20,32,69,89,94,199,411,437,438,508,587,626,662,676,677,727,776,818,936,964
0060_00003	20,51,94,107,141,153,174,207,217,231,270,294,341,353,360,481,504,508,516,545,552,626,643,727,771,776,778,789,986
0060_00011	20,115,138,144,153,302,326,373,387,504,508,512,517,575,609,626,632,666,727,767,830,842,948,977,999
0060_00013	15,41,63,89,134,175,207,226,230,237,245,264,316,371,390,438,472,508,524,538,539,543,626,651,662,663,677,685,749,772,802,815,826,836,851,879,948,954,982
0060_00029	3,15,17,40,73,89,129,134,182,214,226,228,231,259,288,337,353,369,371,381,394,413,415,444,461,476,494,503,511,515,534,540,550,552,564,588,594,626,640,676,750,759,888,904,936,947,951,968,1019
0060_00039	7,20,37,89,90,94,96,134,149,164,186,195,204,220,247,272,285,300,347,383,389,461,479,487,493,503,508,533,550,557,562,607,626,654,662,666,677,678,714,719,727,762,777,779,786,797,799,802,865,892,896,936,964,968,974,984
0060_00042	15,17,39,40,73,89,129,134,182,226,228,231,252,331,337,353,365,367,369,381,415,444,461,465,476,503,511,515,534,540,550,552,564,594,626,640,667,676,719,726,728,750,759,888,936,947,951,968,1019
0060_00043	20,21,94,134,141,148,177,188,226,268,304,353,369,371,381,430,469,476,508,510,515,550,551,598,626,640,712,727,735,825,850,968
0060_00049	8,20,35,89,94,96,103,134,144,151,179,272,300,347,383,389,392,461,479,487,493,495,497,500,503,508,550,555,562,585,588,611,626,635,654,662,677,714,719,727,762,767,783,786,797,825,838,845,872,896,897,913,920,936,968,971,974,984
0060_00056	20,72,94,134,141,177,188,261,304,469,508,510,550,551,620,626,640,676,712,720,727,733,741,763,825,850,947,968
0060_00058	7,20,37,89,94,119,134,149,195,204,220,227,247,260,300,320,343,347,461,493,508,522,533,542,550,557,562,626,677,686,719,727,779,799,812,865,876,927,936,948,968,974
0060_00064	7,15,20,23,33,37,83,89,94,114,128,134,149,195,204,220,241,245,247,256,260,290,300,316,320,335,347,353,364,394,435,442,461,486,493,499,508,515,533,550,557,560,562,620,626,640,661,663,676,677,683,717,719,727,733,779,793,799,801,826,827,864,865,893,918,925,936,947,950,968,974
0060_00066	20,39,94,96,128,134,153,215,270,272,304,324,359,383,389,398,402,416,427,439,469,479,480,487,503,508,515,516,550,551,555,626,651,654,662,713,714,727,762,786,797,798,824,850,871,896,909,927,968,988
0060_00069	4,20,94,95,134,141,148,177,188,201,226,268,304,347,353,362,469,508,510,515,549,550,551,626,640,666,705,712,727,735,778,825,850,858,931,948,968,990,999
0060_00076	4,91,134,153,175,201,207,226,270,281,326,347,353,408,515,548,549,550,576,626,640,666,705,706,717,764,778,808,816,823,858,914,948,968,989,1008
0060_00085	20,94,96,134,141,145,177,188,304,421,469,487,491,508,510,550,551,626,720,727,741,825,829,850,911,968,1010
0060_00088	4,15,73,89,96,134,153,175,184,195,201,214,226,245,248,264,270,281,292,312,319,347,353,363,408,448,461,508,515,522,549,550,626,632,640,656,666,705,706,711,732,778,814,858,906,938,948,968,1012
0060_00089	6,15,29,73,89,96,134,153,176,184,214,245,248,264,268,270,292,312,319,363,448,455,461,487,508,509,515,522,550,586,588,626,632,640,676,711,732,781,792,906,928,938,968,1012
0060_00093	4,15,26,51,61,79,89,92,119,134,139,153,222,234,281,285,318,326,360,375,395,400,401,452,458,461,479,483,490,499,523,530,538,558,561,593,600,609,626,642,656,683,691,717,765,772,814,819,841,849,851,855,861,873,906,908,921,933,948,963,966,968,1016,1022
0060_00094	4,15,26,46,51,55,79,89,119,128,134,139,151,153,155,170,195,203,222,286,306,318,326,355,395,452,461,479,490,499,500,530,561,572,574,593,600,609,626,642,656,658,683,691,717,772,784,799,810,814,819,851,855,861,873,882,906,934,948,963,964,968,1003,1016
0060_00095	9,15,16,26,69,88,89,134,173,182,201,207,222,237,245,262,303,326,328,346,367,410,416,461,471,483,499,503,508,512,515,534,539,572,584,593,601,626,640,656,671,688,709,741,764,778,779,780,797,802,823,826,849,877,898,908,948,959,964,968,1018
0060_00096	15,26,47,58,76,84,89,90,96,123,125,134,144,175,198,207,208,218,222,237,268,285,295,300,351,354,373,384,425,458,469,495,499,516,540,593,598,605,609,626,652,653,668,683,729,730,733,742,743,772,777,802,810,818,842,850,853,860,876,890,900,936,940,942,948,952,970,977,993,995,1001,1014,1017,1022
