id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_45277_00210		C6H10O2	7.5		missing SMILES		
draft_45277_00212		C10H11NO3	7.8		missing SMILES		
draft_45277_00214		C8H8O4	7.8		missing SMILES		
draft_45277_00215		C7H12O4	7.9		missing SMILES		
draft_45277_00216		C7H12O4	8		missing SMILES		
draft_45277_00218		C10H11NO3	8.1		missing SMILES		
draft_45277_00219		C7H7NO2	8.6		missing SMILES		
draft_45277_00220		C17H22N2O	8.7		missing SMILES		
draft_45277_00221		C12H11N7	8.7		missing SMILES		
draft_45277_00224		C8H17NO2	9		missing SMILES		
draft_45277_00226		C15H25NO3	9.5		missing SMILES		
draft_45277_00227		C8H8O3	9.5		missing SMILES		
draft_45277_00228		C10H14O4	9.6		missing SMILES		
draft_45277_00230		C11H11NO3	9.7		missing SMILES		
draft_45277_00232		C11H13NO2	10.2		missing SMILES		
draft_45277_00233		C9H7NO2	10.2		missing SMILES		
draft_45277_00234		C8H14O4	10.3		missing SMILES		
draft_45277_00237		C13H16N2O2	10.4		missing SMILES		
draft_45277_00238		C8H8O4	10.5		missing SMILES		
draft_45277_00240		C10H9NO2	10.7		missing SMILES		
draft_45277_00243		C14H6O8	11.4		missing SMILES		
draft_45277_00244		C9H11NO2	11.6		missing SMILES		
draft_45277_00245		C8H8O3	11.6		missing SMILES		
draft_45277_00246		C8H15NOS2	12.1		missing SMILES		
draft_45277_00247		C16H21NO2	12.2		missing SMILES		
draft_45277_00248		C11H11NO2	12.3		missing SMILES		
draft_45277_00249		C9H16O4	12.3		missing SMILES		
draft_45277_00251		C17H21NO	12.5		missing SMILES		
draft_45277_00255		C8H7NO	13		missing SMILES		
draft_45277_00256		C10H12O3	13		missing SMILES		
draft_45277_00258		C17H19N3O3S	13.3		missing SMILES		
draft_45277_00259		C15H10O7	13.3		missing SMILES		
draft_45277_00261		C27H38N2O4	13.5		missing SMILES		
draft_45277_00262		C15H14O5	13.7		missing SMILES		
draft_45277_00263		C15H10O6	13.8		missing SMILES		
draft_45277_00265		C15H10O5	14		missing SMILES		
draft_45277_00266		C19H24N2	14.3		missing SMILES		
draft_45277_00268		C15H10O6	14.6		missing SMILES		
draft_45277_00269		C11H8O2	14.6		missing SMILES		
draft_45277_00271		C11H20O4	15.4		missing SMILES		
draft_45277_00277		C12H22O4	16.6		missing SMILES		
draft_45277_00280		C12H24O3	16.9		missing SMILES		
draft_45277_00288		C13H24O4	17.6		missing SMILES		
draft_45277_00292		C13H18O2	18.4		missing SMILES		
draft_45277_00295		C12H24O3	18.8		missing SMILES		
draft_45277_00299		C34H38N4O6	19.1		missing SMILES		
draft_45277_00300		C16H30O4	19.9		missing SMILES		
draft_45277_00308		C34H38N4O4	23		missing SMILES		
