t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.25
2.5	100	0	0	0	0.25
7.5	90	10	0	0	0.4
10	0	100	0	0	0.4
12	0	100	0	0	0.4
18	100	0	0	0	0.4
25	100	0	0	0	0.4
