t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.1
5	95	5	0	0	0.1
25	0	100	0	0	0.1
30	0	100	0	0	0.1
30.1	95	5	0	0	0.1
35	95	5	0	0	0.1
