t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	90	10	0	0	0.2
4	50	50	0	0	0.2
17	5	95	0	0	0.2
25	5	95	0	0	0.2
25.1	90	10	0	0	0.2
30	90	10	0	0	0.2
