id	name	formula	rt	smiles.std	status
0329_00303	THYROTROPIN RELEASING HORMONE	C16H22N6O4	0.838		'PUGREST.BadRequest: error: '
0329_00304	DTDP-D-GLUCOSE	C16H26N2O16P2	0.582		'PUGREST.BadRequest: error: '
0329_00305	MELANIN	C18H10N2O4	4.418		'PUGREST.BadRequest: error: '
0329_00308	NADP	C21H28N7O17P3	0.582		'PUGREST.BadRequest: error: '
0329_00319	3-SULFINOALANINE	C3H7NO4S	0.56		'PUGREST.BadRequest: error: '
0329_00320	CYSTEATE	C3H7NO5S	0.56		'PUGREST.BadRequest: error: '
0329_00325	TARTRATE	C4H6O6	0.604		'PUGREST.BadRequest: error: '
0329_00336	OXOPROLINE	C5H7NO3	0.675		'PUGREST.BadRequest: error: '
0329_00337	PYROGLUTAMATE	C5H7NO3	0.675		'PUGREST.BadRequest: error: '
0329_00338	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.652		'PUGREST.BadRequest: error: '
0329_00339	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.652		'PUGREST.BadRequest: error: '
0329_00341	N-ACETYLASPARAGINE	C6H10N2O4	0.63		'PUGREST.BadRequest: error: '
0329_00342	3-HYDROXYMETHYLGLUTARATE	C6H10O5	0.838		'PUGREST.BadRequest: error: '
0329_00343	GLUCURONATE	C6H10O7	0.56		'PUGREST.BadRequest: error: '
0329_00344	GALACTARATE	C6H10O8	0.582		'PUGREST.BadRequest: error: '
0329_00346	4-ACETAMIDOBUTANOATE	C6H11NO3	0.982		'PUGREST.BadRequest: error: '
0329_00347	AMINOADIPATE	C6H11NO4	0.582		'PUGREST.BadRequest: error: '
0329_00348	N-METHYLGLUTAMATE	C6H11NO4	0.582		'PUGREST.BadRequest: error: '
0329_00352	GLUCONATE	C6H12O7	0.56		'PUGREST.BadRequest: error: '
0329_00355	6-PHOSPHOGLUCONATE	C6H13O10P	0.582		'PUGREST.BadRequest: error: '
0329_00356	GLUCOSE 6-PHOSPHATE	C6H13O9P	0.56		'PUGREST.BadRequest: error: '
0329_00360	GALACTITOL	C6H14O6	0.582		'PUGREST.BadRequest: error: '
0329_00365	HISTIDINE	C6H9N3O2	0.537		'PUGREST.BadRequest: error: '
0329_00366	N-ACETYLASPARTATE	C6H9NO5	0.675		'PUGREST.BadRequest: error: '
0329_00370	QUINOLINATE	C7H5NO4	0.794		'PUGREST.BadRequest: error: '
0329_00371	THEOPHYLLINE	C7H8N4O2	2.501		'PUGREST.BadRequest: error: '
0329_00372	PARAXANTHINE	C7H8N4O2	2.501		'PUGREST.BadRequest: error: '
0329_00373	3-DEHYDROSHIKIMATE	C7H8O5	0.63		'PUGREST.BadRequest: error: '
0329_00375	DOPAMINE	C8H11NO2	0.746		'PUGREST.BadRequest: error: '
0329_00378	HOMOCYSTINE	C8H16N2O4S2	0.604		'PUGREST.BadRequest: error: '
0329_00380	4-PYRIDOXATE	C8H9NO4	1.216		'PUGREST.BadRequest: error: '
0329_00381	DEOXYURIDINE	C9H12N2O5	0.838		'PUGREST.BadRequest: error: '
0329_00383	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.582		'PUGREST.BadRequest: error: '
0329_00388	XANTHOSINE-MONOPHOSPHATE	C10H13N4O9P	0.604		'PUGREST.BadRequest: error: '
0329_00390	DEOXYGUANOSINE	C10H13N5O4	0.882		'PUGREST.BadRequest: error: '
0329_00392	THYMIDINE-MONOPHOSPHATE	C10H15N2O8P	0.626		'PUGREST.BadRequest: error: '
0329_00393	DGDP	C10H15N5O10P2	0.604		'PUGREST.BadRequest: error: '
0329_00394	ADENOSINE 3',5'-DIPHOSPHATE	C10H15N5O10P2	0.604		'PUGREST.BadRequest: error: '
0329_00403	URIDINE DIPHOSPHATE GLUCOSE	C15H24N2O17P2	0.581		'PUGREST.BadRequest: error: '
0329_00404	URIDINE DIPHOSPHATE GLUCOSE	C15H24N2O17P2	0.581		'PUGREST.BadRequest: error: '
0329_00405	URIDINE DIPHOSPHATEGALACTOSE	C15H24N2O17P2	0.581		'PUGREST.BadRequest: error: '
0329_00406	ADP-GLUCOSE	C16H25N5O15P2	0.581		'PUGREST.BadRequest: error: '
0329_00408	S-HEXYL-GLUTATHIONE	C16H29N3O6S	3.222		'PUGREST.BadRequest: error: '
0329_00409	RIBOFLAVIN	C17H20N4O6	2.873		'PUGREST.BadRequest: error: '
0329_00410	URIDINE DIPHOSPHATE-N-ACETYLGALACTOSAMINE	C17H27N3O17P2	0.581		'PUGREST.BadRequest: error: '
