t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	97	3	0	0	NA
1	97	3	0	0	NA
12	70	30	0	0	NA
14.5	10	90	0	0	NA
17	10	90	0	0	NA
18.5	97	3	0	0	NA
24	97	3	0	0	NA
