id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
0069_00001	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P	2.26		missing SMILES		
0069_00003	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	C4H7NO2	2.72		missing SMILES		
0069_00004	1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE	C10H13NO2	8.69		missing SMILES		
0069_00006	1-METHYLNICOTINAMIDE	C7H8N2O	2.9		missing SMILES		
0069_00008	2',4'-DIHYDROXYACETOPHENONE	C8H8O3	19.59		missing SMILES		
0069_00009	2,4-DIHYDROXYPTERIDINE	C6H4N4O2	4.63		missing SMILES		
0069_00010	2-AMINOETHYL DIHYDROGEN PHOSPHATE	C2H8NO4P	2.3		missing SMILES		
0069_00012	2-HYDROXYPYRIDINE	C5H5NO	5.41		missing SMILES		
0069_00013	2-QUINOLINECARBOXYLIC ACID	C10H7NO2	14.8		missing SMILES		
0069_00014	3,3',5'-TRIIODOTHYRONINE	C15H12I3NO4	26.4		missing SMILES		
0069_00015	3,4-DIHYDROXYBENZOATE	C7H6O4	12.07		missing SMILES		
0069_00019	3-HYDROXYKYNURENINE	C10H12N2O4	13.65		missing SMILES		
0069_00021	3-METHOXYTYRAMINE	C9H13NO2	14.16		missing SMILES		
0069_00022	3-METHYL-2-OXINDOLE	C9H9NO	17.76		missing SMILES		
0069_00023	3-METHYLADENINE	C6H7N5	5.01		missing SMILES		
0069_00024	3-METHYLHISTAMINE	C6H11N3	2.9		missing SMILES		
0069_00026	4-AMINOBENZOATE	C7H7NO2	10.18		missing SMILES		
0069_00027	4-GUANIDINOBUTANOATE	C5H11N3O2	4.31		missing SMILES		
0069_00028	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID	C10H7NO3	18.85		missing SMILES		
0069_00029	4-IMIDAZOLEACETIC ACID	C5H6N2O2	3.09		missing SMILES		
0069_00030	4-QUINOLINECARBOXYLIC ACID	C10H7NO2	9.88		missing SMILES		
0069_00031	5,6-DIHYDROURACIL	C4H6N2O2	3.04		missing SMILES		
0069_00033	5-HYDROXYINDOLEACETATE	C10H9NO3	14.34		missing SMILES		
0069_00035	5-METHYLCYTOSINE	C5H7N3O	3.46		missing SMILES		
0069_00037	6-HYDROXYNICOTINATE	C6H5NO3	6.6		missing SMILES		
0069_00038	ACETYLCHOLINE	C7H16NO2	10.8		missing SMILES		
0069_00040	ADENOSINE 5'-DIPHOSPHORIBOSE	C15H23N5O14P2	3.06		missing SMILES		
0069_00041	AGMATINE	C5H14N4	3.18		missing SMILES		
0069_00042	ANILINE	C6H7N	11.61		missing SMILES		
0069_00044	BIS(2-ETHYLHEXYL)PHTHALATE	C24H38O4	27.26		missing SMILES		
0069_00045	BIS(3-AMINOPROPYL)AMINE	C6H17N3	2.99		missing SMILES		
0069_00046	CADAVERINE	C5H14N2	2.86		missing SMILES		
0069_00047	CAFFEINE	C8H10N4O2	15.21		missing SMILES		
0069_00049	CHOLINE	C5H14NO	3.04		missing SMILES		
0069_00053	CREATINE	C4H9N3O2	2.86		missing SMILES		
0069_00054	CREATININE	C4H7N3O	3.09		missing SMILES		
0069_00057	CYTOSINE	C4H5N3O	2.86		missing SMILES		
0069_00059	DEOXYCARNITINE	C7H15NO2	4.12		missing SMILES		
0069_00061	DETHIOBIOTIN	C10H18N2O3	16.17		missing SMILES		
0069_00063	DIETHANOLAMINE	C4H11NO2	2.72		missing SMILES		
0069_00064	DOPAMINE	C8H11NO2	6		missing SMILES		
0069_00066	ETHYL 3-INDOLEACETATE	C12H13NO2	21.86		missing SMILES		
0069_00070	GUANIDINOACETATE	C3H7N3O2	2.67		missing SMILES		
0069_00071	GUANINE	C5H5N5O	7.44		missing SMILES		
0069_00075	HIPPURATE	C9H9NO3	14.12		missing SMILES		
0069_00076	HISTAMINE	CH5H9N3	2.86		missing SMILES		
0069_00077	HOMOCYSTEINE	C4H9NO2S	3.04		missing SMILES		
0069_00078	HYPOXANTHINE	C5H4N4O	3.93		missing SMILES		
0069_00079	INDOLE-3-ACETAMIDE	C10H10N2O	16.03		missing SMILES		
0069_00080	INDOLE-3-ACETATE	C10H9NO2	18.85		missing SMILES		
0069_00081	INDOLE-3-ETHANOL	C10H11NO	18.57		missing SMILES		
0069_00097	LUMICHROME	C12H10N4O2	18.52		missing SMILES		
0069_00098	MELATONIN	C13H16N2O2	18.8		missing SMILES		
0069_00100	METHYLGUANIDINE	C2H7N3	2.95		missing SMILES		
0069_00101	MEVALOLACTONE	C6H10O3	5.84		missing SMILES		
