t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.25
1	100	0	0	0	0.25
6	95	5	0	0	0.25
30	0	100	0	0	0.25
35	0	100	0	0	0.25
35.1	100	0	0	0	0.25
40	100	0	0	0	0.25
