t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.4
0.5	100	0	0	0	0.4
9	70	30	0	0	0.4
10	50	50	0	0	0.4
15	0	100	0	0	0.4
16	0	100	0	0	0.4
17	100	0	0	0	0.4
25	100	0	0	0	0.4
