t [min]	flow rate [ml/min]	A [%]	B [%]
0	0.3	99.5	0.5
0.1	0.3	99.5	0.5
10	0.4	20	80
10.1	0.4	0.5	99.5
12	0.4	99.5	0.5
12.1	0.4	99.5	0.5
14.5	0.3	99.5	0.5
