rt	comment	id	pubchem.cid	pubchem.smiles.isomeric
11.74		draft_23062_00159	5880	[C@H]1(CC[C@]2([C@@H](C1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)C)O
11.94		draft_23062_00160	101989	C1[C@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C=CC2)C)C)O
11.97		draft_23062_00161	8956	C1CC(=O)C=C2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)[C@@H](O)C)C)C
11.97		draft_23062_00162	222865	C1CC(=O)C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C
12.04		draft_23062_00163	5879	[C@H]1(CC[C@]2([C@H](C1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21)C)O
12.04		draft_23062_00164	440114	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C
12.65		draft_23062_00165	101964	[C@H]12[C@H]([C@H]3[C@](CC2)(C(=CC3)C(=O)C)C)CCC2=CC(=O)CC[C@]12C
12.72		draft_23062_00166	120059	[C@H]1(CC[C@]2(C(C1)CC[C@H]1[C@@H]3CC[C@H]([C@H](C)O)[C@@]3(C)CC[C@H]21)C)O
12.75		draft_23062_00167	219833	[C@H]1(CC[C@]2([C@@H](C1)CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)[C@H](C)O)C)O
12.86		draft_23062_00168	5994	C1(=O)CC[C@]2(C(=C1)CC[C@H]1[C@@H]3CC[C@@H]([C@@]3(C)CC[C@H]21)C(=O)C)C
12.88		draft_23062_00169	92877	C1[C@@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(CCC2)C)C)O
12.96		draft_23062_00170	8955	[C@@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CC[C@@H]([C@@]4(C)CC[C@H]23)C(=O)C)C1)C)O
13.73		draft_23062_00171	92787	C1[C@@H](C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)C(=O)C)C)C)O
13.73		draft_23062_00172	228491	C1[C@@H](C[C@@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)C(=O)C)C)C)O
13.82		draft_23062_00173	164674	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)O
13.94		draft_23062_00174	92745	C1CC(=O)C[C@@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)C(=O)C)C)C
13.95		draft_23062_00175	3080558	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)O
14.09		draft_23062_00176	92810	C1CC(=O)C[C@H]2[C@]1([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)C(=O)C)C)C
14.41		draft_23062_00177	92786	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C
14.41		draft_23062_00178	31402	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C
15.83		draft_23062_00179	92997	[C@@H]1(CC[C@]2(C(=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCC(=O)O)C)[C@@]4(C)CC[C@H]23)C1)C)O
16.73		draft_23062_00180	5283812	[C@]12([C@@H](CCCC1)CC[C@@H]1[C@@H]2C[C@H]([C@]2([C@H]1CC[C@@H]2[C@@H](CCC(=O)O)C)C)O)C
