t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	10	90	0	0	0.12
1	10	90	0	0	0.12
21	80	20	0	0	0.12
21.5	80	20	0	0	0.12
23.5	80	20	0	0	0.12
24.5	10	90	0	0	0.12
26	10	90	0	0	0.12
26.5	10	90	0	0	0.25
