t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.4
0.5	95	5	0	0	0.4
7	5	95	0	0	0.4
8	5	95	0	0	0.4
8.5	95	5	0	0	0.4
12	95	5	0	0	0.4
