id	name	formula	rt	smiles.std	status
0356_00095	Stearoyl-L-carnitine	C25H49NO4			'PUGREST.BadRequest: error: '
0356_00103	2-Hydroxyhexadecanoic acid	C16H32O3			'PUGREST.BadRequest: error: '
0356_00142	17-Octadecynoic acid	C18H32O2			'PUGREST.BadRequest: error: '
0356_00159	9-Decenoic acid	C10H18O2			'PUGREST.BadRequest: error: '
0356_00193	KYNURENINE	C10H12N2O3			'PUGREST.BadRequest: error: '
0356_00197	THYMIDINE	C10H14N2O5			'PUGREST.BadRequest: error: '
0356_00198	DEOXYADENOSINE MONOPHOSPHATE	C10H14N5O6P			'PUGREST.BadRequest: error: '
0356_00199	TRYPTOPHAN	C11H12N2O2			'PUGREST.BadRequest: error: '
0356_00200	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P			'PUGREST.BadRequest: error: '
0356_00201	METHYLTHIOADENOSINE	C11H15N5O3S			'PUGREST.BadRequest: error: '
0356_00202	N-ACETYLNEURAMINATE	C11H19NO9			'PUGREST.BadRequest: error: '
0356_00203	N-ACETYLTRYPTOPHAN	C13H14N2O3			'PUGREST.BadRequest: error: '
0356_00204	FOLATE	C19H19N7O6			'PUGREST.BadRequest: error: '
0356_00207	BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE	C21H27N7O14P2			'PUGREST.BadRequest: error: '
0356_00217	GUANIDINOACETATE	C3H7N3O2			'PUGREST.BadRequest: error: '
0356_00218	SARCOSINE	C3H7NO2			'PUGREST.BadRequest: error: '
0356_00219	L-ALANINE	C3H7NO2			'PUGREST.BadRequest: error: '
0356_00230	SUCCINATE	C4H6O4			'PUGREST.BadRequest: error: '
0356_00231	MALATE	C4H6O5			'PUGREST.BadRequest: error: '
0356_00232	MALATE	C4H6O5			'PUGREST.BadRequest: error: '
0356_00234	CREATININE	C4H7N3O			'PUGREST.BadRequest: error: '
0356_00238	CREATINE	C4H9N3O2			'PUGREST.BadRequest: error: '
0356_00247	OROTATE	C5H4N2O4			'PUGREST.BadRequest: error: '
0356_00248	PURINE	C5H4N4			'PUGREST.BadRequest: error: '
0356_00251	URATE	C5H4N4O3			'PUGREST.BadRequest: error: '
