id	bits.on
0018_00001	14,15,20,26,35,45,60,64,72,73,89,144,153,161,170,173,179,191,193,220,222,240,253,257,260,285,303,307,311,323,326,327,330,333,336,346,347,361,368,369,384,390,392,399,415,428,430,435,460,461,467,482,486,494,499,505,507,517,547,555,557,562,570,571,573,576,579,585,592,608,613,620,626,628,648,651,656,660,663,686,698,706,708,712,719,734,757,760,762,770,772,785,787,791,797,804,816,836,840,845,850,852,861,883,896,936,948,964,974,977,988,989,994,999,1014,1018,1022
0018_00002	14,15,20,26,35,45,60,64,72,73,89,144,153,161,170,173,179,191,193,220,222,240,253,257,260,285,303,307,311,323,326,327,330,333,336,346,347,361,368,369,384,390,392,399,415,428,430,435,460,461,467,482,486,494,499,505,507,517,547,555,557,562,570,571,573,576,579,585,592,608,613,620,626,628,648,651,656,660,663,686,698,706,708,712,719,734,741,757,760,762,770,772,785,787,791,797,804,816,836,840,845,850,852,853,861,883,896,936,948,964,974,977,988,989,994,999,1014,1018,1022
0018_00003	14,15,20,26,35,45,60,64,72,73,89,144,153,161,170,173,179,191,193,220,222,240,253,257,260,285,303,307,311,323,326,327,330,333,346,347,361,368,369,384,390,415,428,430,435,460,461,467,482,494,499,507,517,557,562,570,571,573,576,579,585,592,608,620,626,628,648,651,656,660,663,686,698,706,708,712,719,734,757,760,762,770,772,787,791,797,804,836,840,845,850,852,861,883,896,936,948,964,974,977,988,989,999,1014,1018,1022
0018_00004	5,14,15,26,39,58,77,89,105,134,144,153,162,188,193,203,204,207,208,212,221,222,245,247,261,266,283,285,289,329,373,390,457,470,484,489,497,499,508,531,540,552,560,569,586,606,614,615,618,622,626,655,656,704,710,729,738,765,772,775,797,801,802,836,867,902,904,936,948,949,972,975,977,988,1014,1022
0018_00005	5,14,15,25,26,39,52,58,89,114,134,153,162,188,193,203,207,212,221,222,245,247,261,266,283,285,289,329,386,390,420,454,457,461,484,489,497,499,508,531,540,552,560,569,573,586,606,608,615,616,622,626,648,655,656,710,729,738,765,772,775,797,801,802,829,836,867,902,904,936,948,972,975,988,1014,1022
0018_00006	5,14,15,20,26,39,46,58,89,134,147,153,162,188,193,203,207,212,221,222,245,247,254,261,266,280,283,285,289,307,329,347,350,386,420,439,457,461,484,489,497,499,508,531,540,552,560,569,573,586,606,615,622,626,655,656,710,727,729,738,762,765,772,775,797,801,802,829,836,838,842,867,886,902,904,936,947,948,972,975,988,1003,1014,1022
0018_00007	4,5,8,15,23,26,35,38,51,58,61,73,82,89,120,122,131,137,142,144,147,153,158,161,170,173,176,194,218,220,222,240,260,261,290,291,311,315,320,326,327,330,337,346,347,369,373,386,405,417,430,435,441,449,450,461,489,499,505,511,514,516,554,562,601,606,626,647,649,651,656,660,668,711,712,719,739,749,772,782,783,787,791,804,813,819,829,836,840,861,874,887,892,917,919,924,936,944,948,950,964,974,977,993,1014,1016,1022
0018_00008	9,13,14,15,26,35,60,75,89,117,132,134,147,159,189,222,238,244,245,285,288,311,370,401,405,417,443,451,452,453,461,488,492,499,508,516,531,544,555,564,568,605,609,618,626,642,651,655,659,662,690,717,727,755,762,763,772,818,851,855,878,894,898,907,936,948,950,956,964,968,1014,1020
0018_00009	8,9,13,14,15,20,26,35,60,75,84,89,120,134,147,159,208,218,222,226,244,245,285,288,347,373,401,405,417,451,452,453,461,472,492,499,508,516,544,568,571,605,609,618,626,642,655,659,662,674,687,690,717,721,727,755,762,763,772,795,814,818,819,851,852,855,886,921,936,948,950,956,962,964,968,982,1014,1020
0018_00010	14,15,20,26,35,60,64,72,73,89,120,144,153,170,173,210,215,222,224,253,257,260,261,285,307,311,320,323,326,327,330,333,346,347,361,363,368,369,390,415,430,435,442,456,460,461,467,477,494,499,507,517,534,535,550,557,562,569,570,571,573,579,585,592,608,620,626,629,651,656,660,663,698,705,706,708,719,727,734,746,757,760,762,769,770,772,773,787,791,804,819,835,836,840,845,850,852,861,863,874,883,920,936,939,948,964,974,977,988,999,1011,1014
0018_00011	14,15,20,26,35,45,60,64,72,73,89,144,153,161,170,173,179,191,193,220,222,240,253,257,260,285,303,307,311,323,326,327,330,333,336,346,347,361,368,369,384,390,392,399,415,428,430,435,460,461,467,482,486,494,499,505,507,517,547,555,557,562,570,571,573,576,579,585,592,608,613,620,626,628,648,651,656,660,663,686,698,706,708,712,719,734,757,760,762,770,772,785,787,791,797,804,816,836,840,845,850,852,861,883,896,936,948,964,974,977,988,989,994,999,1014,1018,1022
0018_00012	14,15,20,26,35,45,60,64,72,73,89,144,153,161,170,173,179,191,193,220,222,240,253,257,260,285,303,307,311,323,326,327,330,333,336,346,347,361,368,369,384,390,392,399,415,428,430,435,460,461,467,482,486,494,499,505,507,517,547,555,557,562,570,571,573,576,579,585,592,608,613,620,626,628,648,651,656,660,663,686,698,706,708,712,719,734,741,757,760,762,770,772,785,787,791,797,804,816,836,840,845,850,852,853,861,883,896,936,948,964,974,977,988,989,994,999,1014,1018,1022
