t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.3
1	95	5	0	0	0.3
10	49	51	0	0	0.3
13	49	51	0	0	0.3
13.1	95	5	0	0	0.3
20	95	5	0	0	0.3
