t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.28
1	100	0	0	0	0.28
3	90	10	0	0	0.28
18	60	40	0	0	0.28
21	0	100	0	0	0.28
25.5	0	100	0	0	0.28
25.6	100	0	0	0	0.28
28	100	0	0	0	0.28
