t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	90	10	0	0	0.4
0.5	90	10	0	0	0.4
22	0	100	0	0	0.4
30	0	100	0	0	0.4
30.2	90	10	0	0	0.4
35	90	10	0	0	0.4
