name	CAS	formula	SMILES	InChI	InChIKey	rt	id	PubChem.ID
2-phenoxy ethanol	122-99-6	C8H10O2	C1=CC=C(C=C1)OCCO	InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2	QCDWFXQBSFUVSP-UHFFFAOYSA-N	1.4	draft_77263_00018	31236
2-(2-hydroxypropan-2-yloxy)propan-2-ol	72986-46-0	C6H14O3	CC(C)(O)OC(C)(C)O	InChI=1S/C6H14O3/c1-5(2,7)9-6(3,4)8/h7-8H,1-4H3	PRHCBRXAHBBRKA-UHFFFAOYSA-N	1.4	draft_77263_00019	19028580
2,3'-bipyridine	581-50-0	C10H8N2	C1=CC=NC(=C1)C2=CN=CC=C2	InChI=1S/C10H8N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h1-8H	VEKIYFGCEAJDDT-UHFFFAOYSA-N	1.4	draft_77263_00020	11389
2-(2,4-dichlorophenoxy)acetic acid	94-75-7	C8H6Cl2O3	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)	OVSKIKFHRZPJSS-UHFFFAOYSA-N	1.4	draft_77263_00021	1486
(4-methylphenyl) (2E,4E)-hexa-2,4-dienoate	_	C13H14O2	C/C=C/C=C/C(=O)OC1=CC=C(C=C1)C	InChI=1S/C13H14O2/c1-3-4-5-6-13(14)15-12-9-7-11(2)8-10-12/h3-10H,1-2H3/b4-3+,6-5+	PHJBAQCHWVWSDF-VNKDHWASSA-N	1.4	draft_77263_00022	5368939
2,4,6-tribromophenol	118-79-6	C6H3Br3O	C1=C(C=C(C(=C1Br)O)Br)Br	InChI=1S/C6H3Br3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H	BSWWXRFVMJHFBN-UHFFFAOYSA-N	1.4	draft_77263_00023	1483
2,5-dimethylfuran	625-86-5	C6H8O	CC1=CC=C(O1)C	InChI=1S/C6H8O/c1-5-3-4-6(2)7-5/h3-4H,1-2H3	GSNUFIFRDBKVIE-UHFFFAOYSA-N	1.4	draft_77263_00024	12266
2,6-diethylnaphthalene	59919-41-4	C14H16	CCC1=CC2=C(C=C1)C=C(C=C2)CC	InChI=1S/C14H16/c1-3-11-5-7-14-10-12(4-2)6-8-13(14)9-11/h5-10H,3-4H2,1-2H3	CJJFFBINNGWEBO-UHFFFAOYSA-N	1.4	draft_77263_00025	3017163
2-methyl-1,3-dinitrobenzene	606-20-2	C7H6N2O4	CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3	XTRDKALNCIHHNI-UHFFFAOYSA-N	1.4	draft_77263_00026	11813
3-(n,n-diisopropylamino)propane-1,2-diol	85721-30-8	C9H21NO2	CC(C)N(CC(CO)O)C(C)C	InChI=1S/C9H21NO2/c1-7(2)10(8(3)4)5-9(12)6-11/h7-9,11-12H,5-6H2,1-4H3	OYYXNGVBOWXTPN-UHFFFAOYSA-N	1.4	draft_77263_00027	574994
3-methylcholanthrene	56-49-5	C21H16	CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1	InChI=1S/C21H16/c1-13-6-7-15-12-20-17-5-3-2-4-14(17)8-9-18(20)19-11-10-16(13)21(15)19/h2-9,12H,10-11H2,1H3	PPQNQXQZIWHJRB-UHFFFAOYSA-N	1.4	draft_77263_00028	1674
3,4-dimethylbenzaldehyde	5973-71-7	C9H10O	CC1=C(C=C(C=C1)C=O)C	InChI=1S/C9H10O/c1-7-3-4-9(6-10)5-8(7)2/h3-6H,1-2H3	POQJHLBMLVTHAU-UHFFFAOYSA-N	1.4	draft_77263_00029	22278
2,5-dimethylbenzaldehyde	5779-94-2	C9H10O	CC1=CC(=C(C=C1)C)C=O	InChI=1S/C9H10O/c1-7-3-4-8(2)9(5-7)6-10/h3-6H,1-2H3	SMUVABOERCFKRW-UHFFFAOYSA-N	1.4	draft_77263_00030	22015
3,5-lutidine	591-22-0	C7H9N	CC1=CC(=CN=C1)C	InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3	HWWYDZCSSYKIAD-UHFFFAOYSA-N	1.4	draft_77263_00031	11565
4-benzyloxybenzaldehyde	4397-53-9	C14H12O2	C1=CC=C(C=C1)COC2=CC=C(C=C2)C=O	InChI=1S/C14H12O2/c15-10-12-6-8-14(9-7-12)16-11-13-4-2-1-3-5-13/h1-10H,11H2	ZVTWZSXLLMNMQC-UHFFFAOYSA-N	1.4	draft_77263_00032	78109
4-hydroxybenzophenone	1137-42-4	C13H10O2	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)O	InChI=1S/C13H10O2/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9,14H	NPFYZDNDJHZQKY-UHFFFAOYSA-N	1.4	draft_77263_00033	14347
diphenyl (4-propan-2-ylphenyl) phosphate	55864-04-5	C21H21O4P	CC(C)C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3	InChI=1S/C21H21O4P/c1-17(2)18-13-15-21(16-14-18)25-26(22,23-19-9-5-3-6-10-19)24-20-11-7-4-8-12-20/h3-17H,1-2H3	JUHFQCKQQLMGAB-UHFFFAOYSA-N	1.4	draft_77263_00034	91908
4-methyl-1,5-heptadiene	998-94-7	C8H14	C/C=C/C(C)CC=C	InChI=1S/C8H14/c1-4-6-8(3)7-5-2/h4-5,7-8H,1,6H2,2-3H3/b7-5+	ITKKJSFRRSLPHX-FNORWQNLSA-N	1.4	draft_77263_00035	5365804
(4-methylphenyl)-phenylmethanone	134-84-9	C14H12O	CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2	InChI=1S/C14H12O/c1-11-7-9-13(10-8-11)14(15)12-5-3-2-4-6-12/h2-10H,1H3	WXPWZZHELZEVPO-UHFFFAOYSA-N	1.4	draft_77263_00036	8652
4-oxo-4-(3-pyridyl)butanamide	_	C23H26BrN3O3	C[C@@H]1C[C@@H](CN(C1)C(=O)C2=C(C=CC(=C2)Br)NC(=O)CCC(=O)C3=CN=CC=C3)C	InChI=1S/C23H26BrN3O3/c1-15-10-16(2)14-27(13-15)23(30)19-11-18(24)5-6-20(19)26-22(29)8-7-21(28)17-4-3-9-25-12-17/h3-6,9,11-12,15-16H,7-8,10,13-14H2,1-2H3,(H,26,29)/t15-,16+	DOZVEMLZTNCJCJ-IYBDPMFKSA-N	1.4	draft_77263_00037	44448824
2-(3-methylbutoxy)oxane	60564-80-9	C10H20O2	CC(C)CCOC1CCCCO1	InChI=1S/C10H20O2/c1-9(2)6-8-12-10-5-3-4-7-11-10/h9-10H,3-8H2,1-2H3	DHDKLGMTNBVEIS-UHFFFAOYSA-N	1.4	draft_77263_00038	12104407
7,12-dimethylbenz[a]anthracene	57-97-6	C20H16	CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C	InChI=1S/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3	ARSRBNBHOADGJU-UHFFFAOYSA-N	1.4	draft_77263_00039	6001
atrazine	1912-24-9	C8H14ClN5	CCNC1=NC(=NC(=N1)Cl)NC(C)C	InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)	MXWJVTOOROXGIU-UHFFFAOYSA-N	1.4	draft_77263_00040	2256
avobenzone	70356-09-1	C20H22O3	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC	InChI=1S/C20H22O3/c1-20(2,3)16-9-5-14(6-10-16)18(21)13-19(22)15-7-11-17(23-4)12-8-15/h5-12H,13H2,1-4H3	XNEFYCZVKIDDMS-UHFFFAOYSA-N	1.4	draft_77263_00041	51040
_-ionone	79-77-6	C13H20O	CC1=C(C(CCC1)(C)C)/C=C/C(=O)C	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+	PSQYTAPXSHCGMF-BQYQJAHWSA-N	1.4	draft_77263_00042	638014
2,4-dibromo-1-(2,4-dibromophenoxy)benzene	5436-43-1	C12H6Br4O	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	InChI=1S/C12H6Br4O/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6H	XYBSIYMGXVUVGY-UHFFFAOYSA-N	1.4	draft_77263_00043	95170
cyclohexyl 2-aminobenzoate	7779-16-0	C13H17NO2	C1CCC(CC1)OC(=O)C2=CC=CC=C2N	InChI=1S/C13H17NO2/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10/h4-5,8-10H,1-3,6-7,14H2	KFEZETDKFSMLMG-UHFFFAOYSA-N	1.4	draft_77263_00044	24510
5-benzoyl-4-hydroxy-2-methoxybenzenesulfonic acid	4065-45-6	C14H12O6S	COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)S(=O)(=O)O	InChI=1S/C14H12O6S/c1-20-12-8-11(15)10(7-13(12)21(17,18)19)14(16)9-5-3-2-4-6-9/h2-8,15H,1H3,(H,17,18,19)	CXVGEDCSTKKODG-UHFFFAOYSA-N	1.4	draft_77263_00045	19988
bis(2-hydroxy-4-methoxyphenyl)methanone	131-54-4	C15H14O5	COC1=CC(=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O)O	InChI=1S/C15H14O5/c1-19-9-3-5-11(13(16)7-9)15(18)12-6-4-10(20-2)8-14(12)17/h3-8,16-17H,1-2H3	SODJJEXAWOSSON-UHFFFAOYSA-N	1.4	draft_77263_00046	8570
1,3-benzothiazole	95-16-9	C7H5NS	C1=CC=C2C(=C1)N=CS2	InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H	IOJUPLGTWVMSFF-UHFFFAOYSA-N	1.4	draft_77263_00047	7222
bis(2-ethylhexyl) benzene-1,2-dicarboxylate	117-81-7	C24H38O4	CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC	InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3	BJQHLKABXJIVAM-UHFFFAOYSA-N	1.4	draft_77263_00048	8343
bisphenol S	29465	C12H10O4S	C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O	InChI=1S/C12H10O4S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8,13-14H	VPWNQTHUCYMVMZ-UHFFFAOYSA-N	1.4	draft_77263_00049	6626
boscalid	188425-85-6	C18H12Cl2N2O	C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl	InChI=1S/C18H12Cl2N2O/c19-13-9-7-12(8-10-13)14-4-1-2-6-16(14)22-18(23)15-5-3-11-21-17(15)20/h1-11H,(H,22,23)	WYEMLYFITZORAB-UHFFFAOYSA-N	1.4	draft_77263_00050	213013
2-biphenylol diphenyl phosphate	132-29-6	C24H19O4P	C1=CC=C(C=C1)C2=CC=CC=C2OP(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4	InChI=1S/C24H19O4P/c25-29(26-21-14-6-2-7-15-21,27-22-16-8-3-9-17-22)28-24-19-11-10-18-23(24)20-12-4-1-5-13-20/h1-19H	QARIOUOTENZTDH-UHFFFAOYSA-N	1.4	draft_77263_00051	67234
butyl benzyl phthalate	85-68-7	C19H20O4	CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2	InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3	IRIAEXORFWYRCZ-UHFFFAOYSA-N	1.4	draft_77263_00052	2347
caffeine	21399	C8H10N4O2	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	RYYVLZVUVIJVGH-UHFFFAOYSA-N	1.4	draft_77263_00053	2519
captafol	2425.06-1	C10H9Cl4NO2S	C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl	InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2	JHRWWRDRBPCWTF-UHFFFAOYSA-N	1.4	draft_77263_00054	17038
