name	CAS	formula	SMILES	InChI	InChIKey	rt	id	PubChem.ID
etofenprox	80844-07-1	C25H28O3	CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3	InChI=1S/C25H28O3/c1-4-27-22-15-13-21(14-16-22)25(2,3)19-26-18-20-9-8-12-24(17-20)28-23-10-6-5-7-11-23/h5-17H,4,18-19H2,1-3H3	YREQHYQNNWYQCJ-UHFFFAOYSA-N	1.4	draft_77263_00073	71245
fipronil	120068-37-3	C12H4Cl2F6N4OS	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F	InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2	ZOCSXAVNDGMNBV-UHFFFAOYSA-N	1.4	draft_77263_00074	3352
fluazinam	79622-59-6	C13H4Cl2F6N4O4	C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F	InChI=1S/C13H4Cl2F6N4O4/c14-6-1-4(12(16,17)18)3-22-11(6)23-9-7(24(26)27)2-5(13(19,20)21)8(15)10(9)25(28)29/h1-3H,(H,22,23)	UZCGKGPEKUCDTF-UHFFFAOYSA-N	1.4	draft_77263_00075	91731
fluoranthene	206-44-0	C16H10	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	InChI=1S/C16H10/c1-2-8-13-12(7-1)14-9-3-5-11-6-4-10-15(13)16(11)14/h1-10H	GVEPBJHOBDJJJI-UHFFFAOYSA-N	1.4	draft_77263_00076	9154
guaiacol	26638-03-9	C7H8O2	COC1=CC=CC=C1O	InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3	LHGVFZTZFXWLCP-UHFFFAOYSA-N	1.4	draft_77263_00077	460
icaridin	119515-38-7	C12H23NO3	CCC(C)OC(=O)N1CCCCC1CCO	InChI=1S/C12H23NO3/c1-3-10(2)16-12(15)13-8-5-4-6-11(13)7-9-14/h10-11,14H,3-9H2,1-2H3	QLHULAHOXSSASE-UHFFFAOYSA-N	1.4	draft_77263_00078	125098
imidacloprid	138261-41-3	C9H10ClN5O2	C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl	InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)	YWTYJOPNNQFBPC-UHFFFAOYSA-N	1.4	draft_77263_00079	86287518
indole	120-72-9	C8H7N	C1=CC=C2C(=C1)C=CN2	InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H	SIKJAQJRHWYJAI-UHFFFAOYSA-N	1.4	draft_77263_00080	798
isoeugenol	1285016	C10H12O2	C/C=C/C1=CC(=C(C=C1)O)OC	InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3-7,11H,1-2H3/b4-3+	BJIOGJUNALELMI-ONEGZZNKSA-N	1.4	draft_77263_00081	853433
metribuzin	21087-64-9	C8H14N4OS	CC(C)(C)C1=NN=C(N(C1=O)N)SC	InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3	FOXFZRUHNHCZPX-UHFFFAOYSA-N	1.4	draft_77263_00082	30479
myclobutanil	88671-89-0	C15H17ClN4	CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl	InChI=1S/C15H17ClN4/c1-2-3-8-15(9-17,10-20-12-18-11-19-20)13-4-6-14(16)7-5-13/h4-7,11-12H,2-3,8,10H2,1H3	HZJKXKUJVSEEFU-UHFFFAOYSA-N	1.4	draft_77263_00083	6336
n-(methylsulfonyl)-o-methylhydroxylamine	80653-53-8	C2H7NO3S	CONS(=O)(=O)C	InChI=1S/C2H7NO3S/c1-6-3-7(2,4)5/h3H,1-2H3	CLXHPJUNPZCTCP-UHFFFAOYSA-N	1.4	draft_77263_00084	542697
n-isopropyl-2,3-dimethyl-2-(1-methylpropyl)valeramide	51115-83-4	C14H29NO	CCC(C)C(C)(C(C)CC)C(=O)NC(C)C	InChI=1S/C14H29NO/c1-8-11(5)14(7,12(6)9-2)13(16)15-10(3)4/h10-12H,8-9H2,1-7H3,(H,15,16)	TUZDHGXGZZMZQV-UHFFFAOYSA-N	1.4	draft_77263_00085	3016608
n-methyl-o-toluidine	611-21-2	C8H11N	CC1=CC=CC=C1NC	InChI=1S/C8H11N/c1-7-5-3-4-6-8(7)9-2/h3-6,9H,1-2H3	GUAWMXYQZKVRCW-UHFFFAOYSA-N	1.4	draft_77263_00086	69137
N'-nitrosoanatabine	71267-22-6	C10H11N3O	C1C=CCN([C@@H]1C2=CN=CC=C2)N=O	InChI=1S/C10H11N3O/c14-12-13-7-2-1-5-10(13)9-4-3-6-11-8-9/h1-4,6,8,10H,5,7H2/t10-/m0/s1	ZJOFAFWTOKDIFH-JTQLQIEISA-N	1.4	draft_77263_00087	51291
naphthalene	1146-65-2	C10H8	C1=CC=C2C=CC=CC2=C1	InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H	UFWIBTONFRDIAS-UHFFFAOYSA-N	1.4	draft_77263_00088	931
nicotine	16760-37-5	C10H14N2	CN1CCC[C@H]1C2=CN=CC=C2	InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1	SNICXCGAKADSCV-JTQLQIEISA-N	1.4	draft_77263_00089	89594
nicotine N'-oxide	491-26-9	C10H14N2O	C[N+]1(CCC[C@H]1C2=CN=CC=C2)[O-]	InChI=1S/C10H14N2O/c1-12(13)7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-,12?/m0/s1	RWFBQHICRCUQJJ-NUHJPDEHSA-N	1.4	draft_77263_00090	68107
2-nonylphenol	25154-52-3	C15H24O	CCCCCCCCCC1=CC=CC=C1O	InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-11-14-12-9-10-13-15(14)16/h9-10,12-13,16H,2-8,11H2,1H3	SNQQPOLDUKLAAF-UHFFFAOYSA-N	12.9	draft_77263_00091	67296
nonylphenol ethoxylate	104-35-8	C17H28O2	CCCCCCCCCC1=CC=C(C=C1)OCCO	InChI=1S/C17H28O2/c1-2-3-4-5-6-7-8-9-16-10-12-17(13-11-16)19-15-14-18/h10-13,18H,2-9,14-15H2,1H3	KUXGUCNZFCVULO-UHFFFAOYSA-N	13.2	draft_77263_00092	7700
nornicotyrine	494-98-4	C9H8N2	C1=CC(=CN=C1)C2=CC=CN2	InChI=1S/C9H8N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1-7,11H	CBTWKRLUNDZXIF-UHFFFAOYSA-N	1.4	draft_77263_00093	68125
o-cymene	25155-15-1	C10H14	CC1=CC=CC=C1C(C)C	InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3	WWRCMNKATXZARA-UHFFFAOYSA-N	1.4	draft_77263_00094	10703
octylphenol	67554-50-1	C14H22O	CCCCCCCCC1=CC=CC=C1O	InChI=1S/C14H22O/c1-2-3-4-5-6-7-10-13-11-8-9-12-14(13)15/h8-9,11-12,15H,2-7,10H2,1H3	DUIOKRXOKLLURE-UHFFFAOYSA-N	1.4	draft_77263_00095	13700
p-cymene	25155-15-1	C10H14	CC1=CC=C(C=C1)C(C)C	InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3	HFPZCAJZSCWRBC-UHFFFAOYSA-N	1.4	draft_77263_00096	7463
1,2,4-trichloro-5-(2,4,5-trichlorophenyl)benzene	35065-27-1	C12H4Cl6	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl	InChI=1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H	MVWHGTYKUMDIHL-UHFFFAOYSA-N	1.4	draft_77263_00097	37034
 1,2,3,4-tetrachloro-5-(2,4,5-trichlorophenyl)benzene	35065-29-3	C12H3Cl7	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	InChI=1S/C12H3Cl7/c13-6-3-8(15)7(14)1-4(6)5-2-9(16)11(18)12(19)10(5)17/h1-3H	WBHQEUPUMONIKF-UHFFFAOYSA-N	1.4	draft_77263_00098	37036
permethrin	52645-53-1	C21H20Cl2O3	CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C	InChI=1S/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3	RLLPVAHGXHCWKJ-UHFFFAOYSA-N	1.4	draft_77263_00099	40326
propiconazole	60207-90-1	C15H17Cl2N3O2	CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl	InChI=1S/C15H17Cl2N3O2/c1-2-3-12-7-21-15(22-12,8-20-10-18-9-19-20)13-5-4-11(16)6-14(13)17/h4-6,9-10,12H,2-3,7-8H2,1H3	STJLVHWMYQXCPB-UHFFFAOYSA-N	1.4	draft_77263_00100	43234
propoxur	114-26-1	C11H15NO3	CC(C)OC1=CC=CC=C1OC(=O)NC	InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)	ISRUGXGCCGIOQO-UHFFFAOYSA-N	1.4	draft_77263_00101	4944
pyrene	129-00-0	C16H10	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H	BBEAQIROQSPTKN-UHFFFAOYSA-N	1.4	draft_77263_00102	31423
stachydrine	471-87-4	C7H13NO2	C[N+]1(CCC[C@H]1C(=O)[O-])C	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1	CMUNUTVVOOHQPW-LURJTMIESA-N	1.4	draft_77263_00103	115244
styrene	100-42-5	C8H8	C=CC1=CC=CC=C1	InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2	PPBRXRYQALVLMV-UHFFFAOYSA-N	1.4	draft_77263_00104	7501
tert-butylhydroquinone	1948-33-0	C10H14O2	CC(C)(C)C1=C(C=CC(=C1)O)O	InChI=1S/C10H14O2/c1-10(2,3)8-6-7(11)4-5-9(8)12/h4-6,11-12H,1-3H3	BGNXCDMCOKJUMV-UHFFFAOYSA-N	1.4	draft_77263_00105	16043
tris(2-chloroethyl) phosphate	115-96-8	C6H12Cl3O4P	C(CCl)OP(=O)(OCCCl)OCCCl	InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2	HQUQLFOMPYWACS-UHFFFAOYSA-N	1.4	draft_77263_00106	8295
tris(1-chloro-2-propyl) phosphate	13674-84-5	C9H18Cl3O4P	CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl	InChI=1S/C9H18Cl3O4P/c1-7(4-10)14-17(13,15-8(2)5-11)16-9(3)6-12/h7-9H,4-6H2,1-3H3	KVMPUXDNESXNOH-UHFFFAOYSA-N	1.4	draft_77263_00107	26176
triethyl phosphate	78-40-0	C6H15O4P	CCOP(=O)(OCC)OCC	InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3	DQWPFSLDHJDLRL-UHFFFAOYSA-N	1.4	draft_77263_00108	6535
tetrabromobisphenol A	79-94-7	C15H12Br4O2	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3	VEORPZCZECFIRK-UHFFFAOYSA-N	1.4	draft_77263_00109	6618
toluene	108-88-3	C7H8	CC1=CC=CC=C1	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3	YXFVVABEGXRONW-UHFFFAOYSA-N	1.4	draft_77263_00110	1140
tripropyl phosphate	513-08-6	C9H21O4P	CCCOP(=O)(OCCC)OCCC	InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3	RXPQRKFMDQNODS-UHFFFAOYSA-N	1.4	draft_77263_00111	10546
triclosan	105093-20-7	C12H7Cl3O2	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H	XEFQLINVKFYRCS-UHFFFAOYSA-N	1.4	draft_77263_00112	5564
trifloxystrobin	141517-21-7	C20H19F3N2O4	C/C(=N\OCC1=CC=CC=C1/C(=N\OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F	InChI=1S/C20H19F3N2O4/c1-13(14-8-6-9-16(11-14)20(21,22)23)24-29-12-15-7-4-5-10-17(15)18(25-28-3)19(26)27-2/h4-11H,12H2,1-3H3/b24-13+,25-18+	ONCZDRURRATYFI-TVJDWZFNSA-N	1.4	draft_77263_00113	11664966
tripropan-2-yl phosphate	513-02-0	C9H21O4P	CC(C)OP(=O)(OC(C)C)OC(C)C	InChI=1S/C9H21O4P/c1-7(2)11-14(10,12-8(3)4)13-9(5)6/h7-9H,1-6H3	OXFUXNFMHFCELM-UHFFFAOYSA-N	1.4	draft_77263_00114	68188
2-piperidone	675-20-7	C5H9NO	C1CCNC(=O)C1	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	XUWHAWMETYGRKB-UHFFFAOYSA-N	1.4	draft_77263_00115	12665
camphene	79-92-5	C10H16	CC1(C2CCC(C2)C1=C)C	InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3	CRPUJAZIXJMDBK-UHFFFAOYSA-N	1.4	draft_77263_00116	6616
limonene	138-86-3	C10H16	CC1=CCC(CC1)C(=C)C	InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3	XMGQYMWWDOXHJM-UHFFFAOYSA-N	1.4	draft_77263_00117	22311
perylene	1520-96-3	C20H12	C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2	InChI=1S/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H	CSHWQDPOILHKBI-UHFFFAOYSA-N	1.4	draft_77263_00118	9142
triphenyl phosphate 	115-86-6	C18H15O4P	C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3	InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H	XZZNDPSIHUTMOC-UHFFFAOYSA-N	1.4	draft_77263_00119	8289
triclocarban	101-20-2	C13H9Cl3N2O	C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl	InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)	ICUTUKXCWQYESQ-UHFFFAOYSA-N	1.4	draft_77263_00120	7547
_-pinene	80-56-8	C10H16	CC1=CCC2CC1C2(C)C	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3	GRWFGVWFFZKLTI-UHFFFAOYSA-N	1.4	draft_77263_00121	6654
