t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	
1	92	8	0	0	
2	85	15	0	0	
3	60	40	0	0	
4	30	70	0	0	
4.5	0	100	0	0	
5	0	100	0	0	
6.4	0	100	0	0	
6.6	95	5	0	0	
6.8	95	5	0	0	
7	95	5	0	0	
