t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	5	95	0	0	0.6
0.1	5	95	0	0	0.6
4.6	20	80	0	0	0.6
5.5	50	50	0	0	0.6
7	50	50	0	0	0.6
7.1	5	95	0	0	0.605
7.2	5	95	0	0	0.61
7.3	5	95	0	0	0.62
7.4	5	95	0	0	0.65
7.5	5	95	0	0	0.7
7.6	5	95	0	0	0.8
7.7	5	95	0	0	0.9
7.8	5	95	0	0	1
12.5	5	95	0	0	1
12.65	5	95	0	0	0.6
