t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.5
2	100	0	0	0	0.5
13	0	100	0	0	0.5
15.5	0	100	0	0	0.5
19	100	0	0	0	0.5
