id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0412_00001			1.585	1982	CC(=O)NP(=O)(OC)SC	CC(=O)NP(=O)(OC)SC							
0412_00002			1.58	15331	CN(C)NC(=O)CCC(=O)O	CN(C)NC(=O)CCC(=O)O							
0412_00003			1.58	4096	COP(=O)(N)SC	COP(=O)(N)SC							
0412_00004			1.58	9576037	CC1=NNC(=O)N(C1)/N=C/C2=CN=CC=C2								
0412_00005			1.795	14210	CNC(=O)CSP(=O)(OC)OC	CNC(=O)CSP(=O)(OC)OC							
0412_00006			10.06	17435	CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC	CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC							
0412_00007			10.07	19395	CCOP(=S)(OCC)OP(=S)(OCC)OCC	CCOP(=S)(OCC)OP(=S)(OCC)OCC							
0412_00008			10.1	6112114	CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC								
0412_00009			10.145	12968	CCCN(CCC)C(=O)SCC	CCCN(CCC)C(=O)SCC							
0412_00010			10.185	213032	CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4								
0412_00011			10.31	5281555	CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C								
0412_00012			10.195	26124	CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1	CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1							
0412_00013			10.215	51369	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2	CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2							
0412_00014			10.22	37995	CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC	CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC							
0412_00015			10.225	43359	CC1=CC(=C(O1)C)C(=O)N(C2CCCCC2)OC	CC1=CC(=C(O1)C)C(=O)N(C2CCCCC2)OC							
0412_00016			10.235	3017	CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C	CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C							
0412_00017			10.25	3346	CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC	CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC							
0412_00018			10.28	86367	CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3	CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3							
0412_00019			10.27	443059	CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C=C[C@H]3[C@@H]2CC(=O)O1)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C								
0412_00020			10.47	135438605	CCC/C(=N\OCC)/C1=C(CC(CC1=O)C2CCCSC2)O								
0412_00021			10.32	91656	CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O	CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O							
0412_00022			10.32	34526	CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C	CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C							
0412_00023			10.335	6758	CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC								
0412_00024			10.39	26033	CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C	CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C							
0412_00025			10.43	3118	CCOP(=S)(OCC)SCCSCC	CCOP(=S)(OCC)SCCSCC							
0412_00026			10.46	91752	CCC(C)SP(=O)(OCC)SC(C)CC	CCC(C)SP(=O)(OCC)SC(C)CC							
0412_00027			10.57	14337	CCN(C1CCCCC1)C(=O)SCC								
0412_00028			10.635	62020	CCCN(CCC)C(=O)SCC1=CC=CC=C1	CCCN(CCC)C(=O)SCC1=CC=CC=C1							
0412_00029			10.64	47759	CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	CCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C							
0412_00030			10.68	83975	CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C	CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C							
0412_00031			10.695	50367	CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2	CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2							
0412_00032			10.725	31957	CCN(CC)C1=NC(=CC(=N1)OP(=S)(OCC)OCC)C	CCN(CC)C1=NC(=CC(=N1)OP(=S)(OCC)OCC)C							
0412_00033			10.73	135491830	CCC/C(=N\OCC)/C1=C(CC(CC1=O)CC(C)SCC)O								
0412_00034			10.76	15558638	CC1=C(C(=O)CC1OC(=O)[C@@H]2[C@H](C2(C)C)C=C(C)C)CC=C								
0412_00035			10.775	3286	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC							
0412_00036			10.795	5794	CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2	CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2							
0412_00037			11.1	41384	CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C	CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C							
