t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	90	10	0	0	0.5
2	90	10	0	0	0.5
22	0	100	0	0	0.5
27	0	100	0	0	0.5
27.1	90	10	0	0	0.5
