id	bits.on
0172_00001	10,15,20,31,39,89,94,134,201,245,264,275,385,453,474,506,508,540,553,590,617,626,662,674,677,678,727,755,981
0172_00002	20,26,48,57,62,77,124,140,153,163,167,171,207,221,283,292,306,308,324,347,358,370,430,442,447,463,481,492,497,508,530,542,544,556,565,622,625,626,640,647,648,662,663,692,698,727,748,755,763,778,781,784,826,857,913,918,948,954,994,1019
0172_00003	15,20,63,68,94,96,116,134,138,139,155,298,401,420,456,487,508,520,550,577,606,616,626,676,725,727,739,915,928,929,931,935,957,966,968,1002
0172_00004	5,38,91,130,134,178,223,245,289,293,342,352,371,405,424,453,470,506,508,551,578,580,582,585,640,662,727,747,937,945,968,981
0172_00005	20,94,153,348,353,392,480,508,513,530,551,591,626,719,727,752,778,863,895,976,1005
0172_00006	20,75,96,134,138,153,223,283,353,387,423,487,497,508,519,530,533,550,575,626,640,663,675,696,719,727,786,828,919,935,945,968
0172_00007	20,24,38,52,68,72,87,94,107,118,134,141,147,153,158,182,190,207,215,256,260,270,307,319,347,389,481,508,515,550,579,605,616,620,626,635,640,676,680,727,733,744,812,871,945,947,968,989,1003
0172_00008	15,20,89,94,134,216,218,223,240,245,289,317,321,401,456,508,513,527,540,604,626,727,743,833,836,936,953,968,1009
0172_00009	20,94,100,144,153,193,258,298,373,480,504,508,626,727,767,837,948,977
0172_00010	4,20,52,72,91,94,107,118,134,141,153,175,182,201,207,226,270,281,347,353,408,481,508,515,549,550,623,626,635,640,666,705,706,727,753,778,808,858,948,968,989,1008
0172_00011	84,89,96,106,134,159,175,215,234,245,260,273,311,373,487,503,506,508,550,638,662,786,796,797,804,836,908,948,968
0172_00012	20,52,72,91,94,107,118,134,138,141,153,182,207,226,270,281,304,353,417,453,474,481,508,515,550,626,635,640,657,697,710,727,753,766,773,808,819,937,968,971,989
0172_00013	15,20,94,96,134,144,225,245,272,371,420,456,487,503,506,508,513,533,542,550,553,591,626,654,662,672,714,727,731,741,786,797,803,866,899,968,983
0172_00014	6,20,80,94,101,102,106,134,153,220,234,264,326,328,387,393,405,420,456,508,552,580,605,626,640,646,674,685,708,719,727,737,845,948,968
0172_00015	20,29,50,94,134,153,248,334,354,372,383,479,480,508,515,522,541,550,621,626,640,654,662,676,684,692,727,762,778,797,812,833,849,887,893,896,947,953,968,974
