t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.25
0.5	95	5	0	0	0.25
5	50	50	0	0	0.25
5.5	5	95	0	0	0.25
6.5	5	95	0	0	0.25
10	95	5	0	0	0.25
