id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00314			2.561	91611	CN1C2=C(NC1=O)NC(=O)N(C2=O)C								
0401_00315			2.58	95433	CCC(C)(C(=O)O)O								
0401_00316			2.581	6305	C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N								
0401_00317			2.582	6088	CNCCC1=CNC2=CC=CC=C21	CNCCC1=CNC2=CC=CC=C21							
0401_00318			2.588	1150	C1=CC=C2C(=C1)C(=CN2)CCN	C1=CC=C2C(=C1)C(=CN2)CCN							
0401_00319			2.595	8369	CC1=C(C(=O)C=CO1)O	CC1=C(C(=O)C=CO1)O							
0401_00320			2.596	4687	CN1C=NC2=C1C(=O)N(C(=O)N2)C	CN1C=NC2=C1C(=O)N(C(=O)N2)C							
0401_00321			2.597	6995182	CSCC[C@H](C(=O)O)NC=O								
0401_00322			2.598	196	C(CCC(=O)O)CC(=O)O	C(CCC(=O)O)CC(=O)O							
0401_00323			2.599	5281417	C1=CC(=O)OC2=CC(=C(C=C21)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O								
0401_00324			2.6	439176	CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O								
0401_00325			2.604	785	C1=CC(=CC=C1O)O	C1=CC(=CC=C1O)O							
0401_00326			2.624	450272	C1=CC=C(C=C1)C(=O)NC(C(=O)O)O	C1=CC=C(C=C1)C(=O)NC(C(=O)O)O							
0401_00327			2.628	439503	C1=CC=C(C(=C1)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O								
0401_00328			2.632	93078	C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N								
0401_00329			2.635	9378	C1=CC(=CC=C1CC(C(=O)O)O)O								
0401_00330			2.6645	2153	CN1C2=C(C(=O)N(C1=O)C)NC=N2	CN1C2=C(C(=O)N(C1=O)C)NC=N2							
0401_00331			2.668	6441567	C/C=C(\C)/C(=O)NCC(=O)O								
0401_00332			2.67	5143	C1=CC=C2C(=C1)C(=O)NS2(=O)=O	C1=CC=C2C(=C1)C(=O)NS2(=O)=O							
0401_00333			2.676	9064	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O								
0401_00334			2.679	999	C1=CC=C(C=C1)CC(=O)O	C1=CC=C(C=C1)CC(=O)O							
0401_00335			2.687	8768	C1=CC(=C(C=C1C=O)O)O	C1=CC(=C(C=C1C=O)O)O							
0401_00336			2.687	12284	CC(CC(=O)O)CC(=O)O	CC(CC(=O)O)CC(=O)O							
0401_00337			2.705	1923	C1=CC2=C(C(=C1)O)N=CC=C2	C1=CC2=C(C(=C1)O)N=CC=C2							
0401_00338			2.714	289	C1=CC=C(C(=C1)O)O								
0401_00339			2.716	68310	CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O								
0401_00340			2.721	16054	C1=CC2=C(C=CN2)C=C1O								
0401_00341			2.734	1826	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O							
0401_00342			2.738	280229	C1CC2=C(C=CN2)C(=O)C1	C1CC2=C(C=CN2)C(=O)C1							
0401_00343			2.739	12046	CC(CCC(=O)O)C(=O)O	CC(CCC(=O)O)C(=O)O							
