t [min]	flow rate [ml/min]	A [%]	B [%]
0	0.25	100	0
2	0.25	100	0
7	0.25	67.7	32.3
14	0.25	63.7	36.3
26	0.25	9.1	90.9
30	0.25	9.1	90.9
31	0.25	100	0
40	0.25	100	0
