t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.3
15	0	100	0	0	0.3
21	0	100	0	0	0.3
22	100	0	0	0	0.3
30	100	0	0	0	0.3
