t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	99	1	0	0	0.2
1	99	1	0	0	0.2
2	61	39	0	0	0.2
13	0.01	99.9	0	0	0.4
15	0.01	99.9	0	0	0.48
15.1	99	1	0	0	0.2
20.1	99	1	0	0	0.2
