t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	60	40	0	0	0.4
2	57	43	0	0	0.4
2.1	50	50	0	0	0.4
12	46	54	0	0	0.4
12.1	30	70	0	0	0.3
18	1	99	0	0	0.3
19	1	99	0	0	0.3
