t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	99	1	0	0	0.6
0.1	99	1	0	0	0.6
10	45	55	0	0	0.6
10.15	35	65	0	0	0.61
10.3	25	75	0	0	0.63
10.45	15	85	0	0	0.67
10.6	5	95	0	0	0.75
10.7	0	100	0	0	0.8
11	0	100	0	0	1
11.55	0	100	0	0	1
11.65	99	1	0	0	1
11.7	99	1	0	0	0.9
11.8	99	1	0	0	0.8
11.9	99	1	0	0	0.7
12	99	1	0	0	0.65
12.1	99	1	0	0	0.61
12.15	99	1	0	0	0.6
12.65	99	1	0	0	0.6
