id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
draft_52580_00001			2.754333333	7028	C[C@@H]([C@H](C1=CC=CC=C1)O)NC								
draft_52580_00002			2.754333333	9294	C[C@@H]([C@@H](C1=CC=CC=C1)O)NC								
draft_52580_00003			2.9315	5917	C1CCC2=NN=NN2CC1	C1CCC2=NN=NN2CC1							
draft_52580_00004			2.9915	1576	CC(C(=O)C1=CC=CC=C1)NC	CC(C(=O)C1=CC=CC=C1)NC							
draft_52580_00005			3.1315	3343	CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O	CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O							
draft_52580_00006			3.2685	64782	C[C@@H]([C@@H](C1=CC=CC=C1)O)N(C)C								
draft_52580_00007			3.4385	45789647	CC(C(=O)C1=CC2=C(C=C1)OCO2)NC								
draft_52580_00008			3.6485	4723	C1=CC=C(C=C1)C2C(=O)N=C(O2)N	C1=CC=C(C=C1)C2C(=O)N=C(O2)N							
draft_52580_00009			3.774333333	3007	CC(CC1=CC=CC=C1)N								
draft_52580_00010			4.2185	2583	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O							
draft_52580_00011			4.225666667	1614	CC(CC1=CC2=C(C=C1)OCO2)N								
draft_52580_00012			4.367166667	4771	CC(C)(CC1=CC=CC=C1)N	CC(C)(CC1=CC=CC=C1)N							
draft_52580_00013			4.4485	75994	C1CN(CCN1)CC2=CC=CC=C2	C1CN(CCN1)CC2=CC=CC=C2							
draft_52580_00014			4.4815	5284371	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O								
draft_52580_00015			4.664333333	10836	C[C@@H](CC1=CC=CC=C1)NC								
draft_52580_00016			4.8115	448223	CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)O								
