t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.3
2	95	5	0	0	0.3
17	0.1	99.9	0	0	0.3
20	0.1	99.9	0	0	0.3
