id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
draft_25135_00001		C7H6O4	2.13		missing SMILES		
draft_25135_00005		C7H6O3	2.96		missing SMILES		
draft_25135_00009		C8H6O4	3.48		missing SMILES		
draft_25135_00013		C8H8O4	3.58		missing SMILES		
draft_25135_00015		C7H6O3	3.86		missing SMILES		
draft_25135_00016		C9H10O5	3.87		missing SMILES		
draft_25135_00017		C8H8O3	3.95		missing SMILES		
draft_25135_00020		C9H10O4	3.98		missing SMILES		
draft_25135_00029		C10H8O5	4.35		missing SMILES		
draft_25135_00033		C8H8O3	4.68		missing SMILES		
draft_25135_00039		C9H10O5	5.01		missing SMILES		
draft_25135_00040		C10H8O4	5.01		missing SMILES		
draft_25135_00041		C9H10O4	5.05		missing SMILES		
draft_25135_00043		C9H6O3	5.14		missing SMILES		
draft_25135_00044		C14H6O8	5.15		missing SMILES		
draft_25135_00045		C10H8O4	5.33		missing SMILES		
draft_25135_00060		C10H8O4	5.66		missing SMILES		
draft_25135_00062		C21H18O12	5.7		missing SMILES		
draft_25135_00064		C23H28O13	5.84		missing SMILES		
draft_25135_00066		C9H6O2	6.03		missing SMILES		
draft_25135_00071		C10H10O3	6.35		missing SMILES		
draft_25135_00077		C21H20O11	6.56		missing SMILES		
draft_25135_00078		C21H20O12	6.58		missing SMILES		
draft_25135_00081		C10H8O3	6.67		missing SMILES		
draft_25135_00083		C15H10O8	6.79		missing SMILES		
draft_25135_00085		C15H10O6	6.94		missing SMILES		
draft_25135_00086		C9H6O3	7.04		missing SMILES		
draft_25135_00087		C9H6O2	7.13		missing SMILES		
draft_25135_00089		C11H10O4	7.18		missing SMILES		
draft_25135_00095		C15H10O7	7.56		missing SMILES		
draft_25135_00100		C15H10O4	7.94		missing SMILES		
draft_25135_00101		C36H54O14	7.98		missing SMILES		
draft_25135_00108		C15H10O7	8.43		missing SMILES		
draft_25135_00109		C15H10O6	8.44		missing SMILES		
draft_25135_00110		C10H8O3	8.55		missing SMILES		
draft_25135_00114		C14H8O4	8.68		missing SMILES		
draft_25135_00119		C10H6O3	9.24		missing SMILES		
draft_25135_00121		C11H6O3	9.31		missing SMILES		
draft_25135_00124		C14H12O5	9.56		missing SMILES		
draft_25135_00126		C15H12O5	9.59		missing SMILES		
draft_25135_00127		C15H10O5	9.64		missing SMILES		
draft_25135_00128		C13H10O4	9.67		missing SMILES		
draft_25135_00130		C15H10O5	9.75		missing SMILES		
draft_25135_00132		C15H8O5	9.8		missing SMILES		
draft_25135_00134		C15H14O5	9.88		missing SMILES		
draft_25135_00135		C15H10O6	9.94		missing SMILES		
draft_25135_00136		C12H8O4	9.98		missing SMILES		
draft_25135_00139		C16H12O6	10.06		missing SMILES		
draft_25135_00140		C16H12O6	10.18		missing SMILES		
draft_25135_00143		C16H12O7	10.26		missing SMILES		
draft_25135_00145		C14H18O4	10.68		missing SMILES		
draft_25135_00148		C12H8O4	11.04		missing SMILES		
draft_25135_00149		C15H10O5	11.07		missing SMILES		
draft_25135_00150		C13H10O5	11.1		missing SMILES		
draft_25135_00152		C10H8O	11.32		missing SMILES		
draft_25135_00154		C16H12O4	11.54		missing SMILES		
draft_25135_00157		C14H8O4	11.82		missing SMILES		
draft_25135_00158		C16H12O7	11.88		missing SMILES		
draft_25135_00159		C11H8O3	12.09		missing SMILES		
draft_25135_00160		C15H10O5	12.1		missing SMILES		
draft_25135_00162		C18H16O7	12.3		missing SMILES		
draft_25135_00163		C20H20O7	12.32		missing SMILES		
draft_25135_00164		C10H14O	12.47		missing SMILES		
draft_25135_00167		C10H16	12.62		missing SMILES		
draft_25135_00169		C16H12O4	12.72		missing SMILES		
draft_25135_00171		C10H16	12.75		missing SMILES		
draft_25135_00172		C16H14O5	12.8		missing SMILES		
draft_25135_00173		C15H8O6	12.82		missing SMILES		
draft_25135_00174		C16H12O5	12.99		missing SMILES		
draft_25135_00175		C15H10O4	13.11		missing SMILES		
draft_25135_00176		C19H18O8	13.19		missing SMILES		
draft_25135_00177		C16H12O5	13.2		missing SMILES		
draft_25135_00178		C14H8O4	13.24		missing SMILES		
draft_25135_00181		C21H20O9	13.53		missing SMILES		
draft_25135_00183		C15H10O2	13.82		missing SMILES		
draft_25135_00184		C12H12O4	13.96		missing SMILES		
draft_25135_00187		C14H8O2	14.62		missing SMILES		
draft_25135_00192		C14H10O	14.77		missing SMILES		
draft_25135_00195		C16H14O4	15.42		missing SMILES		
draft_25135_00197		C15H12O2	15.6		missing SMILES		
draft_25135_00198		C15H10O5	15.8		missing SMILES		
draft_25135_00200		C14H8O3	15.91		missing SMILES		
draft_25135_00203		C15H10O4	16.64		missing SMILES		
draft_25135_00204		C23H26O7	16.85		missing SMILES		
draft_25135_00205		C16H14O4	16.85		missing SMILES		
draft_25135_00211		C19H12O2	17.27		missing SMILES		
draft_25135_00214		C19H18O4	17.66		missing SMILES		
draft_25135_00216		C15H10O4	18.11		missing SMILES		
draft_25135_00218		C18H12O3	18.27		missing SMILES		
draft_25135_00220		C19H12O6	18.37		missing SMILES		
draft_25135_00221		C19H12O2	18.37		missing SMILES		
draft_25135_00225		C16H12O5	19.53		missing SMILES		
draft_25135_00227		C22H10O2	20.27		missing SMILES		
draft_25135_00230		C19H18O3	20.77		missing SMILES		
draft_25135_00232		C19H18O8	20.99		missing SMILES		
draft_25135_00234		C20H20O4	21.12		missing SMILES		
draft_25135_00236		C17H26O4	22.83		missing SMILES		
draft_25135_00237		C15H18	23.28		missing SMILES		
draft_25135_00250		C20H32O3	27.69		missing SMILES		
