t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.5
30	70	30	0	0	0.5
35	60	40	0	0	0.5
50	20	80	0	0	0.5
52	20	80	0	0	0.5
60	100	0	0	0	0.5
65	100	0	0	0	0.5
