id	bits.on
0008_00001	20,57,62,84,96,138,142,153,183,207,267,283,292,308,320,347,370,390,429,430,444,465,497,508,530,540,542,544,556,600,625,626,640,662,700,718,727,734,748,755,763,778,779,781,826,831,833,877,911,918,919,921,932,948,954,955,987,994,1019
0008_00003	20,50,57,62,64,84,96,138,142,153,154,163,183,207,267,283,292,308,312,320,347,361,370,390,429,430,444,465,481,497,508,530,540,542,544,556,558,599,600,625,626,640,662,700,718,727,734,748,755,763,778,779,826,831,833,850,864,877,911,918,919,921,932,948,954,955,987,994,1019
0008_00006	20,50,57,62,64,84,96,101,137,138,142,153,154,183,186,207,267,283,292,295,308,312,320,347,361,370,390,396,429,430,444,465,481,497,508,530,540,542,544,556,588,599,600,625,626,640,662,700,718,727,734,741,748,763,778,779,826,831,833,850,864,877,897,911,918,919,921,932,948,954,955,987,994,1019
0008_00007	20,50,57,64,84,96,138,142,153,154,183,186,207,267,292,295,308,312,320,321,347,361,370,390,396,429,430,444,465,481,497,508,522,530,540,542,544,556,586,588,599,600,611,625,626,640,662,700,715,718,727,734,741,748,763,778,779,804,831,833,850,864,877,897,911,918,919,921,932,948,954,955,987,994,1019
0008_00008	20,50,51,57,62,64,84,96,138,142,153,154,172,183,186,207,267,283,292,295,308,312,320,321,347,361,370,390,396,429,430,444,465,481,508,530,540,544,556,588,599,600,613,625,626,640,662,700,718,726,727,734,741,755,763,778,779,781,826,831,833,850,864,877,897,911,919,921,932,948,954,955,987,994,1019
0008_00009	20,50,51,57,62,64,84,96,101,137,138,142,153,154,172,183,186,207,267,283,292,295,308,312,320,321,347,370,390,396,429,430,444,465,481,508,530,540,544,588,600,613,625,626,640,700,718,726,727,734,741,763,778,779,826,831,833,850,864,877,897,911,919,921,932,948,954,955,987,994,1019
0008_00010	20,50,51,57,64,84,96,138,142,153,172,183,186,207,267,292,295,308,312,320,321,347,370,390,396,429,430,444,465,481,508,522,530,540,544,586,588,600,611,613,625,626,640,700,715,718,726,727,734,741,763,778,779,804,831,833,850,877,897,911,919,921,932,948,954,955,987,994,1019
0008_00011	20,50,57,62,64,84,96,138,142,153,183,186,207,267,292,312,320,321,332,345,347,390,396,429,430,444,465,508,522,530,540,544,586,588,600,611,625,626,640,683,700,715,718,723,727,734,741,763,779,804,831,833,850,877,897,911,919,921,932,948,954,955,987,994,1004,1019
0008_00018	20,26,48,50,51,57,62,64,101,124,137,153,154,167,171,172,186,207,221,283,292,295,306,308,312,321,324,347,358,370,384,396,430,447,481,492,497,508,530,540,542,544,556,565,588,600,622,625,626,639,640,647,648,662,685,692,698,700,718,726,727,741,748,755,763,778,781,826,833,850,857,864,897,918,919,932,948,954,994,1019
0008_00023	20,48,50,57,62,64,84,108,124,138,153,167,171,186,207,267,283,292,306,308,312,320,321,332,345,347,370,396,429,430,434,497,508,522,530,540,542,544,556,565,586,588,600,611,625,640,648,662,685,698,700,715,718,723,727,734,741,746,747,748,755,763,778,781,804,826,833,850,857,877,897,911,918,919,921,932,948,954,994,1004,1019
0008_00024	20,48,50,57,60,62,64,84,108,124,138,153,154,167,171,186,207,267,283,292,306,308,312,320,321,332,345,347,361,370,396,429,430,434,481,497,508,522,530,540,542,544,556,558,565,586,588,599,600,611,625,640,648,662,685,698,700,715,718,723,727,734,741,746,747,748,755,763,778,781,804,826,833,850,857,864,877,897,911,919,921,932,948,954,994,1004,1019
0008_00030	4,30,50,57,62,64,84,138,142,153,154,157,207,267,283,292,312,320,347,357,361,390,418,429,430,465,468,481,508,540,556,558,599,600,603,606,626,641,662,700,718,734,755,763,776,778,779,781,826,833,850,864,877,911,919,921,926,932,948,954,955,987,994
0008_00031	20,26,57,62,77,96,153,163,183,207,221,227,258,283,292,308,347,370,390,430,442,444,447,463,481,492,497,508,530,542,544,556,622,625,626,640,662,692,727,748,755,763,778,779,781,784,826,831,913,918,948,954,955,987,994,1019
0008_00032	20,26,50,57,62,64,77,96,153,154,163,183,207,221,227,258,283,292,308,312,347,361,370,390,430,442,444,447,463,481,492,497,508,530,542,544,556,558,599,622,625,626,640,662,692,727,748,755,763,778,779,781,784,826,831,850,864,913,918,948,954,955,987,994,1019
0008_00033	20,26,50,51,57,62,64,77,96,101,137,153,154,163,172,183,186,207,221,227,258,283,292,295,308,312,321,347,370,390,396,430,442,444,447,463,481,492,508,530,544,588,613,622,625,626,640,692,726,727,741,763,778,779,784,826,831,850,864,897,913,948,954,955,987,994,1019
0008_00034	7,20,44,57,62,64,84,138,153,154,183,207,267,283,292,312,320,347,361,366,374,390,411,418,429,430,481,497,502,508,516,530,540,556,558,559,591,599,600,626,650,662,673,700,718,724,727,729,734,739,755,757,763,778,781,826,833,850,859,877,905,911,918,919,921,932,948,954,955,960,993,994,1007
