t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.2
5	95	5	0	0	0.2
25	5	95	0	0	0.2
25.1	0	100	0	0	0.3
35	0	100	0	0	0.3
35.1	95	5	0	0	0.2
45	95	5	0	0	0.2
