t [min]	flow rate [ml/min]	A [%]	B [%]
0	0.3	95	5
1	0.3	95	5
2	0.3	90	10
9	0.3	67	33
15	0.3	54	46
16	0.3	30	70
21	0.3	10	90
22	0.3	10	90
