t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	99	1	0	0	0.4
5	90	10	0	0	0.4
8	75	25	0	0	0.4
9.1	1	99	0	0	0.4
10	1	99	0	0	0.4
12	99	1	0	0	0.4
