name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Merck Discovery BIO Wide Pore C8	L7	C8			0.83	0.01	-0.22	0.03	0.2	0.19	2.2	240	
Merck Discovery C18	L1	C18			0.98	0.02	-0.12	0.0	0.17	0.15	4.8	241	
Merck Discovery C8	L7	C8			0.83	0.01	-0.23	0.02	0.11	0.14	3.3	242	
Merck Discovery Cyano	L10	CN			0.39	-0.11	-0.61	0.0	-0.03	0.51	0.6	243	
Merck Discovery RP-Amide C16	L60	EP			0.72	0.01	-0.62	0.21	-0.09	-0.02	4.0	244	
Merck Discovery HS PEG		EP			0.31	0.02	-0.71	0.12	-0.53	0.38	0.7	245	
Merck Supelco SUPELCOSIL LC-C18	L1	C18			1.01	-0.04	0.18	0.16	1.59	1.75	5.9	246	
Merck Supelco SUPELCOSIL LC-C18-DB	L1	C18			0.97	-0.02	0.04	0.11	0.48	0.53	5.7	247	
Merck Supelco SUPELCOSIL LC-8	L7	C8			0.83	-0.04	-0.02	0.08	1.11	1.09	3.6	248	
Merck Supelco SUPELCOSIL LC-C8-DB	L7	C8			0.81	-0.03	-0.07	0.14	0.44	0.55	3.4	249	
Merck Supelco SUPELCOSIL LC-PAH	L1	C18			0.85	-0.02	0.1	-0.03	0.64	0.83	4.4	250	
		CN			0.4	-0.11	-0.7	0.0	-0.02	0.49	0.8	252	Thermo/Hypersil
Thermo Scientific Hypersil C18	L1	C18			1.04	0.02	0.11	0.03	0.4	0.34	7.9	253	
Thermo Scientific BDS C18	L1	C18			0.99	0.01	-0.09	0.0	0.33	0.28	5.6	254	
Thermo Scientific Hypersil Elite C18	L1	C18			0.95	0.03	0.15	-0.01	0.31	0.73	6.5	255	
Thermo Scientific Hypersil ODS	L1	C18			0.97	-0.02	-0.12	0.02	0.91	0.97	5.5	256	
Thermo Scientific Hypersil ODS-2	L1	C18			0.98	0.01	0.13	-0.01	0.25	0.37	5.6	257	
		C18			0.94	-0.05	0.23	-0.01	1.43	1.72	5.3	258	Thermo/Hypersil
Thermo Scientific 	L1	C18			0.99	0.03	-0.09	0.0	0.16	0.12	6.4	259	
Thermo Scientific BetaBasic C18	L1	C8			0.83	0.01	-0.24	0.02	0.11	0.11	4.2	260	
Thermo Scientific BetaBasic Neutral	L1	C18			1.09	0.03	0.06	-0.03	-0.03	0.01	17.0	261	
Thermo Scientific BetaBasic CN	L10	CN			0.42	-0.04	-0.45	0.01	0.01	0.9	0.8	262	
Thermo Scientific BetaMax Acid	L26	EP			0.63	0.05	-0.59	0.37	-2.06	-0.51	5.8	263	
Thermo Scientific BetaMax Base Cyano	L10	EP			0.47	-0.06	-0.39	0.01	0.01	1.14	2.2	264	
Thermo Scientific BioBasic 18	L1	C18			0.97	0.02	-0.1	0.0	0.25	0.21	3.2	265	
Thermo Scientific BioBasic 8	L7	C8			0.82	0.01	-0.23	0.02	0.23	0.21	1.8	266	
Thermo Scientific Hypersil GOLD	L1	C18			0.88	0.0	-0.01	0.03	0.16	0.47	3.9	267	
Thermo Scientific HyPURITY C18	L1	C18			0.98	0.02	-0.09	0.0	0.19	0.16	5.6	268	
Thermo Scientific HyPURITY C4	L26	C4			0.71	0.0	-0.29	0.02	0.12	0.25	1.9	269	
Thermo Scientific HyPURITY C8	L7	C8			0.83	0.01	-0.2	0.03	0.15	0.16	3.5	270	
Thermo Scientific HyPURITY CN	L10	CN			0.45	-0.04	-0.49	0.02	-0.01	0.83	0.7	271	
Thermo Scientific Hypersil Prism C18 RP	L60	EP			0.64	0.08	-0.45	0.3	-2.81	-0.71	4.8	272	
Thermo Scientific Hypersil Prism C18 RPN	L60	EP			0.67	0.0	-0.06	0.23	-0.54	0.62	3.4	273	
Thermo Scientific HyPURITY ADVANCE	L60	EP			0.41	-0.05	-0.09	0.24	-1.33	0.78	1.6	274	
Thermo Scientific Flouphase PFP	L43	F			0.67	-0.12	-0.31	0.06	0.81	1.37	4.5	275	
Thermo Scientific Flouphase RP	L43	F			0.69	0.02	0.1	0.03	1.03	1.41	3.4	276	
Thermo Scientific BetaBasic Phenyl	L11	Phenyl			0.58	-0.15	-0.41	0.04	0.1	0.75	1.7	277	
Thermo Scientific BETASIL Phenyl-Hexyl	L11	Phenyl			0.7	-0.05	-0.29	0.02	0.05	0.35	4.3	278	
Agilent OmniSpher C18	L1	C18			1.05	0.05	-0.03	-0.02	0.12	0.05	10.9	279	
Agilent Polaris C18-A	L1	EP			0.92	0.0	-0.22	0.06	0.14	0.16	5.2	280	
Agilent Polaris C8-A	L7	EP			0.6	0.0	-0.6	0.1	-0.07	0.2	2.2	281	
Agilent Pursuit C18	L1	C18			1.0	0.0	-0.16	0.01	0.24	0.22	6.2	282	
Waters µBondapak C18	L1	C18			0.79	-0.07	-0.03	0.01	0.28	0.85	4.6	283	
Waters Nova-Pak C18	L1	C18			1.04	0.0	0.09	-0.02	0.54	0.56	6.5	284	
Waters Nova-Pak C8	L7	C8			0.89	-0.02	-0.09	0.0	0.61	0.62	3.9	285	
Waters Resolve C18	L1	C18			0.96	-0.12	0.33	-0.04	1.92	2.14	7.9	286	
Waters Spherisorb C8	L7	C8			0.76	-0.09	-0.03	0.05	0.73	1.14	4.9	287	
Waters Spherisorb ODS1	L1	C18			0.68	-0.18	0.32	0.01	0.84	1.29	4.6	288	
Waters Spherisorb ODS2	L1	C18			0.96	-0.07	0.07	0.03	0.9	1.26	8.3	289	
Waters Spherisorb ODS-B	L1	C18			0.97	0.02	0.24	0.38	-0.64	1.68	6.9	290	
Waters Atlantis dC18	L1	C18			0.91	-0.03	-0.19	0.0	0.03	0.08	8.1	291	
Waters Delta-Pak C18	L1	C18		100.0	1.02	0.01	-0.01	-0.01	-0.05	0.02	9.0	292	
Waters Delta-Pak C18	L1	C18		300.0	0.95	-0.01	-0.1	0.01	0.23	0.28	3.0	293	
YMC J'Spherer ODS-H80	L1	C18			1.13	0.05	-0.02	-0.06	-0.24	-0.16	13.3	294	
YMC J'Spherer ODS-L80	L1	C18			0.76	-0.03	-0.21	0.0	-0.4	0.34	5.8	295	
YMC J'Spherer ODS-M80	L1	C18			0.92	-0.02	-0.12	0.0	-0.29	0.13	9.1	296	
Waters SunFire C8	L7	C8			0.85	0.03	-0.12	0.0	-0.27	0.0	5.8	297	
Waters SunFire C18	L1	C18			1.03	0.03	0.04	-0.01	-0.18	-0.09	9.9	298	
Waters Symmetry C18	L1	C18		300.0	0.98	0.03	-0.05	0.0	0.22	0.2	3.5	299	
Waters Symmetry C4	L26	C4		300.0	0.65	-0.01	-0.42	0.01	0.1	0.18	1.4	300	
Waters Symmetry C18	L1	C18			1.05	0.06	0.01	-0.02	-0.3	0.12	9.8	301	
Waters Symmetry C8	L7	C8			0.89	0.04	-0.2	0.02	-0.5	0.28	7.0	302	
Waters XTerra MS C18	L1	C18			0.98	0.01	-0.14	-0.01	0.13	0.05	6.3	303	
Waters XTerra MS C8	L7	C8			0.8	0.0	-0.29	0.0	0.05	0.0	3.7	304	
YMC YMCbasic	L7	C8			0.82	0.0	-0.23	0.02	0.07	0.09	3.3	305	
YMC Hydrosphere C18	L1	C18			0.93	-0.02	-0.12	0.0	-0.13	0.15	6.8	306	
YMC YMC-Pack ODS-AQ	L1	C18			0.96	-0.03	-0.13	0.0	-0.06	0.1	8.6	307	
YMC YMC-Pack Pro C18 RS	L1	C18			1.11	0.05	-0.06	-0.05	-0.17	-0.22	12.7	308	
YMC YMC-Pack Pro C18	L1	C18			1.01	0.01	-0.12	0.0	-0.15	0.0	8.7	309	
YMC YMC-Pack Pro C8	L7	C8			0.89	0.01	-0.21	0.0	-0.32	0.01	6.5	310	
Waters Nova-Pak CN HP	L10	CN		60.0	0.36	-0.16	0.1	0.0	0.69	1.17	0.4	311	
Waters SymmetryShield RP18	L1	EP			0.85	0.02	-0.41	0.09	-0.72	0.13	7.3	312	
Waters SymmetryShield RP8	L7	EP			0.73	0.0	-0.55	0.1	-0.62	0.13	5.7	313	
Waters XTerra RP18	L1	EP			0.75	-0.04	-0.48	0.09	-0.17	-0.17	4.3	314	
Waters XTerra RP8	L7	EP			0.65	-0.04	-0.6	0.09	-0.18	-0.19	3.1	315	
Waters XTerra Phenyl	L11	Phenyl			0.68	-0.07	-0.36	0.0	0.11	0.02	2.6	316	
Waters µBondapak Phenyl	L11	Phenyl			0.58	-0.15	-0.24	0.02	0.35	0.97	2.1	317	
Waters Nova-Pak Phenyl	L11	Phenyl			0.7	-0.15	-0.3	0.01	0.76	0.81	2.5	318	
ZirChrom ZirChrom-EZ		Other			1.04	0.11	-0.99	0.0	2.08	2.08	1.1	319	
ZirChrom ZirChrom-PBD	L49	Other			1.28	0.15	-0.38	-0.07	2.18	2.18	1.0	320	
ZirChrom ZirChrom-PS		Other			0.58	-0.23	-0.47	0.06	1.75	1.75	0.3	321	
Imtakt Cadenza 5CL-C18	L1	C18			1.01	0.0	0.09	-0.04	0.14	0.3	9.2	322	
MicroSolv Technology Corp. hQ C18	L1	C18			0.9	-0.06	0.37	0.0	0.19	2.18	8.1	323	
MicroSolv Technology Corp. Cogent Bidentate C18	L1	C18			0.95	0.05	-0.13	0.0	0.78	2.26	5.6	324	
MicroSolv Technology Corp. Cogent HPS C18	L1	C18			1.02	-0.01	-0.07	-0.01	0.1	0.08	10.2	325	
MicroSolv Technology Corp. Cogent UDC-Cholesterol	L101	Other			0.62	0.22	0.52	0.06	0.74	1.21	3.4	326	
Waters Atlantis T3	L1	C18			0.94	-0.03	-0.18	0.0	0.02	0.71	8.4	327	
Advanced Materials Technology HALO C18	L1	C18			1.1	0.04	0.0	-0.05	0.05	0.04	6.1	328	
Advanced Materials Technology HALO C8	L7	C8			0.91	0.02	-0.13	0.0	-0.01	0.18	4.3	329	
Waters ACQUITY UPLC BEH C8	L7	C8			0.85	0.0	0.09	0.05	0.22	0.77	2.7	330	
Waters ACQUITY UPLC BEH Phenyl	L11	Phenyl			0.76	0.07	-0.05	0.06	0.29	0.58	2.0	331	
Waters ACQUITY UPLC BEH Shield RP18	L1	EP			0.9	0.01	-0.03	0.13	-0.05	0.41	3.5	332	
Thermo Scientific AQUASIL C18	L1	EP			0.8	0.11	0.26	0.01	0.23	1.19	7.4	333	
Merck Supelco Ascentis C18	L1	C18			1.07	0.05	0.03	-0.04	-0.08	-0.08	10.5	334	
Merck Supelco Ascentis C8	L7	C8			0.89	0.02	-0.18	0.0	-0.12	-0.03	8.4	335	
Merck Supelco Ascentis Express C18	L1	C18			1.13	0.05	0.02	-0.05	0.06	0.1	6.5	336	
Merck Supelco Ascentis Express C8	L7	C8			0.91	0.01	-0.11	0.0	0.0	0.17	4.6	337	
Merck Supelco Ascentis RP-Amide	L60	EP			0.84	0.07	-0.49	0.18	-0.78	0.08	8.8	338	
Thermo Scientific BETASIL C18	L1	C18			1.05	0.04	-0.1	-0.03	-0.03	-0.04	11.1	339	
MicroSolv Technology Corp. Cogent Bidentate C8	L7	C8			0.68	-0.11	0.36	0.0	0.19	1.35	3.7	340	
Thermo Scientific BioBasic CN	L10	CN			0.39	-0.03	-0.82	0.0	-0.07	0.53	0.4	341	
Thermo Scientific BioBasic Phenyl	L11	Phenyl			0.49	-0.23	-0.67	0.21	0.01	0.39	0.8	342	
Thermo Scientific BioBasic 4	L26	C4			0.69	0.0	-0.19	0.03	0.18	0.39	1.2	343	
Grace-Alltech GraceSmart C18	L1	C18	3.0		0.83	-0.03	0.07	0.0	0.07	0.74	4.0	344	
Thermo Scientific Hypersil GOLD aQ	L1	C18			0.91	-0.01	-0.06	-0.01	0.37	0.63	4.1	345	
Thermo Scientific Hypersil GOLD C8	L7	C8			0.82	0.01	-0.15	0.03	0.09	0.21	2.7	346	
Thermo Scientific Hypersil GOLD PFP	L43	F			0.62	-0.08	-0.11	-0.02	0.37	0.99	1.9	347	
Sepax Technologies Sepax Bio-C18	L1	C18			0.91	-0.02	-0.13	0.01	0.21	0.22	2.6	348	
Sepax Technologies Sepax Bio-C4	L26	C4			0.66	-0.01	-0.29	0.02	0.1	0.22	1.4	349	
Sepax Technologies Sepax Bio-C8	L7	C8			0.77	-0.02	-0.27	0.02	0.16	0.21	1.6	350	
Sepax Technologies Sepax GP-C18	L1	C18			1.01	0.01	-0.11	-0.01	0.1	0.09	9.0	351	
Sepax Technologies Sepax GP-C4	L26	C4			0.69	-0.01	-0.26	0.0	-0.02	0.2	3.9	352	
Sepax Technologies Sepax GP-Phenyl	L11	Phenyl			0.57	-0.11	-0.27	0.02	0.05	0.56	2.6	353	
Sepax Technologies Sepax HP-C18	L1	C18			0.95	-0.02	-0.1	0.0	0.07	0.22	8.5	354	
Sepax Technologies Sepax HP-Cyano	L10	CN			0.42	-0.05	-0.47	0.0	0.0	0.75	1.3	355	
Tosoh Bioscience TSKgel CN-80Ts	L10	CN			0.37	-0.02	-0.61	0.01	-0.36	0.42	0.9	356	
Tosoh Bioscience TSKgel Octyl-80Ts	L7	C8			0.81	0.0	-0.25	0.01	0.08	0.45	4.4	357	
Tosoh Bioscience TSKgel ODS-100S	L1	C18			1.03	0.06	-0.09	-0.03	0.0	-0.03	8.1	358	
Tosoh Bioscience TSKgel ODS-100V	L1	C18			0.9	-0.04	-0.22	0.0	-0.06	-0.02	9.0	359	
Tosoh Bioscience TSKgel ODS-100Z	L1	C18			1.03	0.01	-0.13	-0.03	-0.06	-0.16	11.6	360	
Tosoh Bioscience TSKgel ODS-140HTP	L1	C18			1.0	0.05	-0.25	-0.03	0.13	0.14	2.8	361	
Tosoh Bioscience TSKgel ODS-80Ts	L1	C18			0.97	-0.01	-0.13	0.0	0.01	0.29	8.1	362	
		C18			0.94	-0.03	-0.11	0.0	0.0	0.36	7.8	363	Tosoh Bioscience
Tosoh Bioscience TSKgel Super-Octyl	L7	C8			0.82	0.03	-0.15	0.01	0.12	0.23	2.2	364	
Tosoh Bioscience TSKgel Super-ODS	L1	C18			0.99	0.03	-0.04	-0.01	0.15	0.23	3.8	365	
Tosoh Bioscience TSKgel Super-Phenyl	L11	Phenyl			0.58	-0.1	-0.14	0.01	0.08	0.67	1.0	366	
Grace-Alltech VisionHT C18	L1	C18			0.78	-0.07	-0.09	0.0	0.4	0.69	4.6	367	
Grace-Alltech VisionHT C18-P	L1	C18			0.63	-0.16	0.28	0.03	0.69	1.61	2.7	368	
Agilent ZORBAX Bonus-RP	L60	EP			0.65	0.1	-1.04	0.37	-2.97	-1.1	4.5	369	
Advanced Chromatography Technologies ACE C18-HL	L1	C18		90.0	1.04	0.05	-0.08	-0.03	-0.03	-0.11	10.0	372	
Macherey-Nagel NUCLEODUR C18 Isis	L1	C18			1.02	0.05	-0.07	-0.02	-0.01	0.15	8.8	373	
Macherey-Nagel NUCLEODUR C18 Pyramid	L1	C18			0.95	0.0	-0.13	-0.01	-0.28	0.21	8.0	374	
Macherey-Nagel NUCLEODUR Sphinx RP	L1	Phenyl			0.8	-0.07	-0.27	0.0	0.02	0.72	5.6	375	
Agilent ZORBAX Eclipse Plus C18	L1	C18			1.03	0.0	-0.07	-0.02	0.0	0.02	7.8	376	
Agilent ZORBAX Eclipse Plus C8	L7	C18			0.88	0.01	-0.17	0.0	-0.04	0.05	5.2	377	
ES Industries Epic C18	L1	C18			0.95	-0.02	-0.2	0.0	-0.13	-0.04	10.7	378	
ES Industries Epic C8	L7	C8			0.89	0.02	-0.19	0.0	-0.1	0.03	8.6	379	
ES Industries Epic C4 SD	L26	C4			0.77	0.01	-0.31	0.0	-0.2	0.06	5.9	380	
ES Industries Epic Phenyl Hexyl	L11	phenyl			0.67	-0.08	-0.37	0.0	-0.14	0.3	4.5	381	
Phenomenex Gemini NX-C18	L1	C18			0.96	0.01	-0.2	-0.01	-0.18	-0.13	7.1	382	
Phenomenex Luna PFP(2)	L43	F			0.75	-0.07	-0.38	-0.05	0.08	0.54	4.9	383	
Hichrom Alltima HP Cyano	L10	CN			0.46	-0.01	-0.55	0.0	-0.18	0.44	0.9	384	
Sepax Technologies Sepax BR-C18	L1	C18			1.01	0.03	-0.07	-0.01	-0.01	0.06	8.2	385	
Sepax Technologies Sepax GP-C8	L7	C8			0.84	0.0	-0.13	0.01	-0.07	0.26	5.6	386	
Grace-Alltech VisionHT C18-B	L1	C18			0.68	-0.11	0.35	0.03	0.39	1.41	2.9	387	
Grace-Alltech VisionHT C18-HL	L1	C18			0.99	0.05	0.05	-0.01	0.13	0.14	6.3	388	
Shiseido CAPCELL PAK C18 IF	L1	C18			0.95	0.02	-0.2	0.0	-0.2	-0.01	3.8	389	
Shiseido CAPCELL PAK C18 MGIII	L1	C18			0.95	0.0	-0.11	-0.01	-0.11	0.04	9.3	390	
Grace-Grom Grom Sil ODS-4 HE	L1	C18		120.0	0.97	-0.03	-0.08	0.01	-0.03	0.26	6.8	391	
Zodiac Life Sience ZodiacSIL C18H	L1	C18	5.0	60.0	1.15	0.04	0.06	-0.07	0.1	0.26	12.2	392	
Zodiac Life Sience ZodiacSIL C18-Ace Eps		EP	5.0	120.0	0.77	0.04	-0.59	0.22	-0.3	0.04	8.3	393	
		C18			0.97	0.0	-0.08	0.0	0.13	0.22	8.1	394	Zodiac Life Sciences
		EP			0.94	-0.01	0.21	0.04	-0.13	0.6	9.1	395	Zodiac Life Sciences
Zodiac Life Sience ZodiacSIL C18H	L1	C18	5.0	120.0	1.0	0.0	-0.1	0.0	0.12	0.15	9.7	396	
		C18			1.03	0.01	-0.1	-0.02	0.11	0.4	8.7	397	Zodiac Life Sciences
Zodiac Life Sience ZodiacSIL C18-Ace Eps		EP	5.0	200.0	0.76	0.02	-0.56	0.21	0.02	0.14	4.7	398	
Zodiac Life Sience ZodiacSIL C18H	L1	C18	5.0	200.0	0.95	0.0	-0.12	0.01	0.16	0.21	4.8	399	
		C18			0.97	-0.01	-0.05	0.0	0.12	0.02	6.3	400	Zodiac Life Sciences
Zodiac Life Sience ZodiacSIL C18-Ace Eps		EP	5.0	300.0	0.76	0.02	-0.57	0.21	-0.05	0.13	2.9	402	
Zodiac Life Sience ZodiacSIL C18H	L1	C18	5.0	300.0	0.95	-0.01	-0.09	0.01	0.24	0.24	3.2	403	
Waters XBridge C18	L1	C18			1.0	0.02	-0.09	0.0	0.17	0.13	4.6	404	
Waters XBridge Phenyl	L11	Phenyl			0.73	-0.07	-0.35	0.03	0.19	0.2	2.4	405	
Waters XBridge Shield RP18	L1	EP			0.83	-0.02	-0.37	0.09	-0.12	-0.05	3.7	406	
Advanced Chromatography Technologies ACE C18-AR	L1	Phenyl		100.0	0.88	-0.05	-0.2	-0.01	0.07	0.15	5.7	407	
Restek Allure Aqueous C18	L1	C18			0.96	-0.1	0.39	-0.04	0.0	1.38	17.0	408	
Restek Allure Basix	L10	CN			0.43	-0.07	-0.42	0.0	0.01	0.86	2.4	409	
Restek Allure Biphenyl	L11	Phenyl			0.71	-0.19	-0.29	0.02	-0.01	0.69	7.2	410	
Restek Allure Organic Acids	L3	C18			0.91	-0.12	0.53	-0.02	0.19	1.5	14.5	411	
Merck Supelco Ascentis Express RP-Amide	L60	EP			0.84	0.06	-0.41	0.19	-0.47	0.26	5.1	412	
Merck Supelco Ascentis Phenyl	L11	Phenyl			0.72	-0.1	-0.28	0.0	0.0	0.57	4.8	413	
Higgins Analytical Clipeus C18	L1	C18			1.0	0.0	-0.04	-0.01	0.07	0.34	9.5	414	
Higgins Analytical Clipeus C8	L7	C8			0.82	-0.01	-0.18	0.02	0.09	0.24	4.9	415	
Higgins Analytical Clipeus Cyano	L10	CN			0.42	-0.06	-0.42	0.01	0.05	0.78	1.2	416	
Higgins Analytical Clipeus Phenyl	L11	Phenyl			0.58	-0.11	-0.3	0.03	0.07	0.48	2.5	417	
Merck Discovery HS F5	L43	F			0.67	0.08	-0.28	0.0	0.91	1.42	4.1	418	
Phenomenex Gemini C6-Phenyl	L11	Phenyl		110.0	0.8	0.03	-0.34	0.0	-0.4	-0.26	4.8	419	
Higgins Analytical HAISIL C18	L1	C18		300.0	0.94	0.0	-0.03	0.0	0.42	0.68	2.2	420	
Higgins Analytical HAISIL HL C18	L1	C18			1.04	-0.03	-0.07	-0.02	0.04	-0.05	10.4	421	
Advanced Materials Technology HALO Phenyl-Hexyl	L11	Phenyl			0.78	-0.09	-0.23	0.0	0.1	0.45	3.5	422	
Advanced Materials Technology HALO RP-Amide	L60	EP			0.85	0.08	-0.38	0.19	-0.41	0.31	4.6	423	
Higgins Analytical HEAVY C18	L1	C18			1.04	0.03	-0.13	-0.03	-0.08	-0.12	11.5	424	
Phenomenex HyperClone BDS C18	L1	C18			0.98	0.03	0.01	-0.01	0.19	0.42	5.3	425	
Phenomenex HyperClone BDS C8	L7	C8			0.84	0.0	-0.14	0.01	0.23	0.26	3.9	426	
Phenomenex HyperClone CN (CPS)	L10	CN			0.4	-0.08	-0.55	0.0	0.92	1.04	0.8	427	
Phenomenex HyperClone MOS (C8)	L7	EP			0.84	-0.05	0.04	0.13	1.14	1.12	3.7	428	
Phenomenex HyperClone ODS (C18)	L1	C18			1.03	-0.02	0.06	0.09	1.03	0.96	6.1	429	
		Other			0.98	0.0	0.18	-0.02	1.16	1.11	4.9	430	Phenomenex
GL Science Inertsil ODS-4	L1	C18			0.91	-0.02	-0.22	-0.03	-0.02	-0.14	9.1	431	
GL Science Inertsil ODS-SP	L1	C18			0.85	-0.02	-0.22	-0.02	-0.04	-0.07	7.8	432	
Phenomenex Kinetex C18	L1	C18		100.0	0.96	0.0	-0.13	-0.01	0.0	0.12	4.9	433	
Phenomenex Kinetex PFP	L43	F			0.68	0.08	-0.27	-0.03	0.94	1.53	2.4	434	
Agilent Microsorb C8	L7	C8	5.0	100.0	0.87	0.06	0.09	0.19	0.61	0.82	5.4	435	
Agilent Microsorb Phenyl	L11	phenyl	5.0	100.0	0.71	-0.14	-0.19	0.16	0.6	0.78	3.1	436	
Agilent Microsrb C4	L26	C4	5.0	300.0	0.66	-0.02	-0.31	0.03	0.2	0.41	1.0	437	
Agilent Microsorb-MV CN	L10	CN		100.0	0.35	-0.24	-0.85	-0.02	0.14	0.78	1.3	438	
		C18			0.97	-0.02	0.0	-0.03	0.14	0.59	9.7	439	Macherey Nagel
		C18			0.77	-0.04	-0.15	0.0	0.04	0.82	5.4	440	Macherey Nagel
Higgins Analytical Phalanx C18	L1	C18			0.95	-0.03	-0.2	0.0	-0.07	-0.01	10.4	441	
Restek Pinnacle DB Aqueous C18	L1	C18			0.69	-0.14	0.22	0.03	0.37	1.13	3.5	442	
Restek Pinnacle DB Biphenyl	L11	Phenyl			0.64	-0.17	-0.34	0.05	0.19	0.51	2.3	443	
Restek Pinnacle DB C18	L1	C18			1.01	0.02	-0.03	0.0	0.36	0.28	6.3	444	
Restek Pinnacle DB C8	L7	C8			0.83	0.0	-0.19	0.03	0.26	0.23	3.8	445	
Restek Pinnacle DB Cyano	L10	CN			0.37	-0.07	-0.38	0.0	0.22	0.72	0.7	446	
Restek Pinnacle DB PFP Propyl	L43	F			0.64	-0.06	-0.25	0.05	0.59	1.1	2.5	447	
Restek Pinnacle DB Phenyl	L11	Phenyl			0.57	-0.12	-0.46	0.04	0.16	0.28	1.7	448	
Restek Pinnacle II Biphenyl	L11	Phenyl			0.64	-0.19	-0.24	0.05	0.46	0.73	2.9	449	
Restek Pinnacle II C18	L1	C18			1.03	0.01	-0.03	0.0	0.44	0.34	8.4	450	
Restek Pinnacle II C8	L7	C8			0.85	0.0	-0.11	0.03	0.39	0.43	5.3	451	
Restek Pinnacle II Cyano	L10	CN			0.37	-0.08	-0.21	-0.01	0.2	0.78	1.2	452	
Restek Pinnacle II PAH	L1	C18			0.97	-0.02	0.35	-0.02	0.74	1.18	6.8	453	
Restek Pinnacle II Phenyl	L11	Phenyl			0.59	-0.13	-0.4	0.06	0.37	0.49	2.3	454	
Agilent Polaris Amide-C18	L60	EP			0.84	0.11	-0.33	0.34	-1.65	-0.55	4.2	455	
Higgins Analytical PROTO C18	L1	C18		300.0	0.96	0.01	-0.13	0.0	0.22	0.14	2.9	456	
		Phenyl			0.57	-0.13	-0.53	0.04	0.15	0.26	1.7	457	Agilent Technologies/Varian
Agilent Pursuit PFP	L43	F			0.65	-0.08	-0.25	-0.02	0.05	0.53	2.2	458	
		C18			1.06	0.06	-0.05	0.0	-0.07	0.2	4.6	459	Agilent Technologies/Varian
Higgins Analytical Targa C8	L7	C8			0.82	-0.02	-0.22	0.0	-0.02	0.17	6.0	460	
Tosoh Bioscience TSKgel ODS-120A	L1	C18			0.89	-0.03	0.28	0.0	0.26	0.96	6.5	461	
Tosoh Bioscience TSKgel ODS-120T	L1	C18			0.97	0.03	0.11	-0.01	0.19	0.22	6.5	462	
		C18			0.96	-0.03	0.14	-0.01	0.16	0.58	8.3	463	Tosoh Bioscience
Tosoh Bioscience TSKgel OligoDNA-RP	L1	C18			0.86	0.02	0.14	0.01	0.31	0.65	3.3	464	
Restek Ultra Aqueous C18	L1	C18			0.8	-0.12	0.37	0.01	0.22	1.25	8.1	465	
Restek Ultra Biphenyl	L11	Phenyl			0.66	-0.18	-0.28	0.04	0.2	0.72	3.9	466	
Restek Ultra C1	L13	C1			0.61	-0.05	-0.4	0.01	-0.03	0.05	3.5	467	
Restek Ultra C4	L26	C4			0.73	-0.01	-0.27	0.01	0.03	0.31	5.2	468	
Restek Ultra  cyano	L10	CN			0.4	-0.04	-0.8	-0.01	-0.11	0.62	1.6	469	
Restek Ultra IBD	L68	EP			0.67	-0.03	-0.05	0.23	-0.56	0.86	4.6	470	
Restek Ultra II Aqueous C18	L1	C18			0.78	-0.15	0.32	0.01	0.46	1.16	7.4	471	
Restek Ultra II Aromax	L11	Phenyl			0.73	-0.19	-0.34	0.02	0.47	0.64	5.3	472	
Restek Ultra II C18	L1	C18			1.04	0.02	-0.03	-0.01	0.26	0.18	10.8	473	
Restek Ultra II IBD	L68	EP			0.67	-0.04	-0.02	0.22	-0.25	0.86	4.0	474	
Restek Ultra II PFP Propyl	L43	F			0.67	-0.08	-0.3	0.0	0.76	1.21	4.3	475	
Restek Ultra PFP	L43	F			0.44	-0.05	-0.24	0.01	-0.22	0.15	1.6	476	
Restek Ultra Phenyl	L11	Phenyl			0.58	-0.12	-0.33	0.03	0.04	0.43	3.0	477	
Restek Ultra Quat		Other			0.85	0.01	-0.17	0.01	0.02	0.13	7.3	478	
Restek Viva Biphenyl	L11	Phenyl			0.6	-0.18	-0.3	0.04	0.33	0.54	1.3	479	
Restek Viva C18	L1	C18			0.98	0.01	-0.07	0.01	0.35	0.3	4.0	480	
Restek Viva C4	L26	C4			0.7	-0.01	-0.28	0.03	0.22	0.31	1.7	481	
Restek Viva C8	L7	C8			0.83	0.0	-0.22	0.03	0.26	0.22	2.6	482	
Restek Viva PFP Propyl	L43	F			0.62	-0.06	-0.25	0.02	0.28	0.76	1.5	483	
Waters XBridge C8	L7	C8			0.8	0.01	-0.29	0.01	0.12	0.06	3.4	484	
ZirChrom ZirChrom-MS		Other			0.94	-0.17	-0.45	0.32	0.48	0.55	2.0	485	
Agilent ZORBAX Eclipse PAH	L1	C18			1.03	-0.01	0.68	-0.05	0.07	1.4	5.9	486	
Chromatopak Peerless Basic C18	L1	C18			0.98	-0.01	-0.15	-0.01	-0.16	-0.09	11.7	488	
Chromatopak Peerless C18	L1	C18			0.99	-0.02	0.03	-0.01	0.0	0.45	10.2	489	
Agilent Pursuit XRs C18	L1	C18			1.04	0.03	-0.12	-0.03	-0.01	-0.1	11.7	490	
Agilent Pursuit XRs C8	L7	C8			0.88	0.02	-0.22	0.0	-0.15	-0.06	8.2	491	
		Phenyl			0.63	-0.13	-0.43	0.03	0.04	0.39	4.0	492	Agilent Technologies/Varian
