hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
702	YMC, YMC-Triart PFP	L43	F	0.586	-0.182	-0.0140	-0.0450	0.363	1.36	3.8					
701	YMC, YMC-Triart Phenyl	L11	phenyl	0.723	-0.0720	-0.376	-0.00800	-0.0210	-0.0840	5.3					
319	ZirChrom, ZirChrom-EZ	NA	Other	1.04	0.110	-0.990	0	2.08	2.08	1.1					
485	ZirChrom, ZirChrom-MS	NA	Other	0.940	-0.170	-0.450	0.320	0.480	0.550	2					
320	ZirChrom, ZirChrom-PBD	L49	Other	1.28	0.150	-0.380	-0.0700	2.18	2.18	1					
321	ZirChrom, ZirChrom-PS	NA	Other	0.580	-0.230	-0.470	0.0600	1.75	1.75	0.3					
557	Zodiac Life Sciences, Zodiac C18	L1	C18	1.07	0.0520	-0.0690	-0.0390	-0.184	-0.152	11.626					
556	Zodiac Life Sciences, Zodiac C18(1)	L1	C18	0.973	0.00800	-0.124	0.0190	0.204	0.156	5.091					
393	Zodiac Life Sience, ZodiacSIL C18-Ace Eps	NA	EP	0.770	0.0400	-0.590	0.220	-0.300	0.0400	8.3	120A	5µm			
398	Zodiac Life Sience, ZodiacSIL C18-Ace Eps	NA	EP	0.760	0.0200	-0.560	0.210	0.0200	0.140	4.7	200A	5µm			
402	Zodiac Life Sience, ZodiacSIL C18-Ace Eps	NA	EP	0.760	0.0200	-0.570	0.210	-0.0500	0.130	2.9	300A	5µm			
392	Zodiac Life Sience, ZodiacSIL C18H	L1	C18	1.15	0.0400	0.0600	-0.0700	0.100	0.260	12.2	60A	5µm			
396	Zodiac Life Sience, ZodiacSIL C18H	L1	C18	1.00	0	-0.100	0	0.120	0.150	9.7	120A	5µm			
399	Zodiac Life Sience, ZodiacSIL C18H	L1	C18	0.950	0	-0.120	0.0100	0.160	0.210	4.8	200A	5µm			
403	Zodiac Life Sience, ZodiacSIL C18H	L1	C18	0.950	-0.0100	-0.0900	0.0100	0.240	0.240	3.2	300A	5µm			
