hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
620	Thermo Fisher, Accucore C18	L1	C18	1.03	0.0460	-0.0370	-0.00900	0.200	0.171	4.45	150A				
619	Thermo Fisher, Accucore C30	L62	C30	0.978	-0.0200	-0.143	-0.00200	0.321	0.462	4.52					
621	Thermo Fisher, Accucore C4	L26	C4	0.738	-0.00800	-0.309	0.0230	0.130	0.224	2.17	150A				
618	Thermo Fisher, Accucore C8	L7	C8	0.924	0.0150	-0.0840	-0.00300	0.00200	0.186	5.2					
625	Thermo Fisher, Accucore PFP	L43	F	0.729	-0.0980	-0.249	-0.0360	0.873	1.66	3.22					
624	Thermo Fisher, Accucore Phenyl-Hexyl	L11	Phenyl	0.786	-0.0470	-0.223	0.00600	0.0550	0.574	3.6					
623	Thermo Fisher, Accucore Phenyl-X	L11	Phenyl	0.781	-0.103	-0.554	0.0440	-0.294	-0.0820	3.64					
627	Thermo Fisher, Accucore Polar Premium	L60	EP	0.871	0.103	-0.567	0.217	-0.207	0.787	5.6					
615	Thermo Fisher, Accucore XL C18	L1	C18	1.09	0.0590	0.0510	-0.0380	0.0860	0.384	5.22					
616	Thermo Fisher, Accucore XL C8	L7	C8	0.926	0.0200	-0.161	-0.00100	0.0200	-0.432	4.63					
333	Thermo Fisher, AQUASIL C18	L1	EP	0.800	0.110	0.260	0.0100	0.230	1.19	7.4					
254	Thermo Fisher, BDS C18	L1	C18	0.990	0.0100	-0.0900	0	0.330	0.280	5.6					
260	Thermo Fisher, BetaBasic C18	L1	C8	0.830	0.0100	-0.240	0.0200	0.110	0.110	4.2					
262	Thermo Fisher, BetaBasic CN	L10	CN	0.420	-0.0400	-0.450	0.0100	0.0100	0.900	0.8					
261	Thermo Fisher, BetaBasic Neutral	L1	C18	1.09	0.0300	0.0600	-0.0300	-0.0300	0.0100	17					
277	Thermo Fisher, BetaBasic Phenyl	L11	Phenyl	0.580	-0.150	-0.410	0.0400	0.100	0.750	1.7					
263	Thermo Fisher, BetaMax Acid	L26	EP	0.630	0.0500	-0.590	0.370	-2.06	-0.510	5.8					
264	Thermo Fisher, BetaMax Base Cyano	L10	EP	0.470	-0.0600	-0.390	0.0100	0.0100	1.14	2.2					
339	Thermo Fisher, BETASIL C18	L1	C18	1.05	0.0400	-0.100	-0.0300	-0.0300	-0.0400	11.1					
755	Thermo Fisher, BETASIL C18	L1	C18	1.06	0.0330	0.0340	-0.0140	0.0950	0.0990	12.3					
759	Thermo Fisher, BETASIL C8	L7	C8	0.875	-0.00270	-0.164	0.0310	0.0840	0.0760	8.1					
278	Thermo Fisher, BETASIL Phenyl-Hexyl	L11	Phenyl	0.700	-0.0500	-0.290	0.0200	0.0500	0.350	4.3					
265	Thermo Fisher, BioBasic 18	L1	C18	0.970	0.0200	-0.100	0	0.250	0.210	3.2					
343	Thermo Fisher, BioBasic 4	L26	C4	0.690	0	-0.190	0.0300	0.180	0.390	1.2					
266	Thermo Fisher, BioBasic 8	L7	C8	0.820	0.0100	-0.230	0.0200	0.230	0.210	1.8					
341	Thermo Fisher, BioBasic CN	L10	CN	0.390	-0.0300	-0.820	0	-0.0700	0.530	0.4					
342	Thermo Fisher, BioBasic Phenyl	L11	Phenyl	0.490	-0.230	-0.670	0.210	0.0100	0.390	0.8					
275	Thermo Fisher, Flouphase PFP	L43	F	0.670	-0.120	-0.310	0.0600	0.810	1.37	4.5					
276	Thermo Fisher, Flouphase RP	L43	F	0.690	0.0200	0.100	0.0300	1.03	1.41	3.4					
253	Thermo Fisher, Hypersil C18	L1	C18	1.04	0.0200	0.110	0.0300	0.400	0.340	7.9					
255	Thermo Fisher, Hypersil Elite C18	L1	C18	0.950	0.0300	0.150	-0.0100	0.310	0.730	6.5					
267	Thermo Fisher, Hypersil GOLD	L1	C18	0.880	0	-0.0100	0.0300	0.160	0.470	3.9					
345	Thermo Fisher, Hypersil GOLD aQ	L1	C18	0.910	-0.0100	-0.0600	-0.0100	0.370	0.630	4.1					
612	Thermo Fisher, Hypersil GOLD C4	L26	C4	0.705	-0.00300	-0.285	0.0260	0.110	0.235	2.19					
346	Thermo Fisher, Hypersil GOLD C8	L7	C8	0.820	0.0100	-0.150	0.0300	0.0900	0.210	2.7					
614	Thermo Fisher, Hypersil GOLD L10	L10	CN	0.397	-0.0350	-0.886	-0.0190	-0.0690	0.660	0.75					
347	Thermo Fisher, Hypersil GOLD PFP	L43	F	0.620	-0.0800	-0.110	-0.0200	0.370	0.990	1.9					
613	Thermo Fisher, Hypersil GOLD Phenyl	L11	Phenyl	0.650	-0.0910	-0.362	0.0300	0.161	0.416	2					
256	Thermo Fisher, Hypersil ODS	L1	C18	0.970	-0.0200	-0.120	0.0200	0.910	0.970	5.5					
758	Thermo Fisher, Hypersil ODS	L1	C18	0.973	-0.0510	-0.0940	0.0190	1.10	0.895	5.7					
257	Thermo Fisher, Hypersil ODS-2	L1	C18	0.980	0.0100	0.130	-0.0100	0.250	0.370	5.6					
272	Thermo Fisher, Hypersil Prism C18 RP	L60	EP	0.640	0.0800	-0.450	0.300	-2.81	-0.710	4.8					
273	Thermo Fisher, Hypersil Prism C18 RPN	L60	EP	0.670	0	-0.0600	0.230	-0.540	0.620	3.4					
