name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Thermo Scientific Hypersil GOLD aQ	Thermo Fisher, Hypersil GOLD aQ		Aqua	2.09	1.44	2.33	0.69	1.42	0.12	5	175	Hypersil GOLD aQ		Hypersil GOLD aQ
Thermo Scientific Hypersil GOLD PFP	Thermo Fisher, Hypersil GOLD PFP		PFP	0.7	1.25	2.55	1.02	0.94	0.17	5	175	Hypersil GOLD PFP		Hypersil GOLD PFP
Thermo Scientific Hypersil GOLD PFP	Thermo Fisher, Hypersil GOLD PFP		PFP	0.54	1.11	2.45	1.15	1.63	0.34	1.9	175	Hypersil Gold PFP 1.9 µm		Hypersil Gold PFP 1.9 µm
Thermo Scientific Hypersil GOLD PFP	Thermo Fisher, Hypersil GOLD PFP		PFP	0.78	1.21	2.37	0.58	0.58	0.17	3	175	Hypersil Gold PFP 3.0 µm		Hypersil Gold PFP 3.0 µm
Thermo Scientific Hypersil GOLD Phenyl	Thermo Fisher, Hypersil GOLD Phenyl		Phenyl	0.88	1.3	1.04	1.04	0.44	0.12	3	175	Hypersil GOLD phenyl 3um		Hypersil GOLD phenyl 3um
Thermo Scientific Hypersil ODS	Thermo Fisher, Hypersil ODS		C18	4.44	1.45	1.28	0.38	1.04	0.64	5	120	Hypersil ODS		Hypersil ODS
Thermo Scientific Hypersil Phenyl			Phenyl	0.47	1.25	0.92	2.04	2	0.85	5	120	Hypersil phenyl		Hypersil phenyl
			PEG	1.13	1	1.59	0.39	0.8	0.13	5	190	HyPURITY Advance (C8)		HyPURITY Advance (C8)
Thermo Scientific HyPURITY AQUASTAR			Aqua	1.32	1.39	2.65	1.25	2.66	0.13	5	190	HyPURITY AQUASTAR		HyPURITY AQUASTAR
Thermo Scientific HyPURITY C18			C18	3.2	1.47	1.6	0.37	0.29	0.1	5	190	HyPURITY C18		HyPURITY C18
Thermo Scientific HyPURITY C4			C4	0.55	1.3	0.72	0.44	0.3	0.1	5	190	HyPURITY C4		HyPURITY C4
Thermo Scientific HyPURITY C8			C8	1.59	1.35	1	0.34	0.3	0.11	5	190	HyPURITY C8		HyPURITY C8
Thermo Scientific HyPURITY Cyano			CN	0.08	1.12	1.87	0.81	2.21	0.08	5	190	HyPURITY CN		HyPURITY CN
GL Sciences Inertsil CN-3			CN	0.57	1.04	1.97	0.26	3.27	0.03	5	100	Inertsil CN3		Inertsil CN3
			C18	6.31	1.47	1.57	0.36	0.53	0.01	5	100	Inertsil ODS		Inertsil ODS
GL Sciences Inertsil ODS-3			C18	7.74	1.45	1.29	0.48	0.29	0.01	5	100	Inertsil ODS3		Inertsil ODS3
			Phenyl	1.03	1.26	1	1.04	0.57	0.09	5	150	Inertsil phenyl		Inertsil phenyl
GL Sciences InertSustain C18			C18	8.35	1.48	1.21	0.42	0.29	0.1	5	100	InertSustain C18		InertSustain C18
			Proprietary	5.44	1.45	1.25	0.67	0.91	0.08	2.2	100	Interchrom RPX 2.2 µm		Interchrom RPX 2.2 µm
			C18	10.6	1.51	1.59	0.39	0.43	0.06		80	J'Sphere JH ODS		J'Sphere JH ODS
Phenomenex Jupiter C18			C18	2.57	1.45	1.44	0.37	0.36	0.12	3	300	Jupiter 3 µm C18 300A		Jupiter 3 µm C18 300A
Phenomenex Kinetex Biphenyl	Phenomenex, Kinetex Biphenyl		Biphenyl	1.81	1.31	1.52	2.14	0.8	0.16	2.6	100	Kinetex Biphenyl		Kinetex Biphenyl
Phenomenex Kinetex C18	Phenomenex, Kinetex C18		C18	3.6	1.47	1.28	0.46	0.12	0.09	1.7 spp	100	Kinetex C18 1.7 µm		Kinetex C18 1.7 µm
Phenomenex Kinetex C18	Phenomenex, Kinetex C18		C18	3.59	1.45	1.26	0.46	0.41	0.1	2.6 spp	100	Kinetex C18 2.6 µm sp		Kinetex C18 2.6 µm sp
Phenomenex Kinetex C8	Phenomenex, Kinetex C8		C8	1.84	1.35	1.15	0.36	0.42	0.09	2.6	100	Kinetex C8		Kinetex C8
Phenomenex Kinetex EVO C18	Phenomenex, Kinetex EVO C18		C18	3.07	1.44	1.12	0.42	0.37	0.09	2.6	100	Kinetex EVO C18		Kinetex EVO C18
Phenomenex Kinetex F5	Phenomenex, Kinetex F5		PFP	1.36	1.32	2.29	0.77	0.71	0.13	2.6	100	Kinetex F5		Kinetex F5
Phenomenex Kinetex PFP	Phenomenex, Kinetex PFP		PFP	1.38	1.26	2.56	0.61	1.26	0.39	2.6 spp	100	Kinetex PFP 2.6 µm sp		Kinetex PFP 2.6 µm sp
			C18	3.08	1.42	1.32	0.36	0.42	0.12	1.8	175	Knaur Blue Orchid 175 1.8um C18		Knaur Blue Orchid 175 1.8um C18
			C18	3.71	1.45	2.08	0.45	0.77	0.11	1.8	175	Knaur Blue Orchid 175 1.8um C18A		Knaur Blue Orchid 175 1.8um C18A
Nouryon-Kromasil Kromasil C18			C18	7.01	1.48	1.53	0.4	0.31	0.11	5	100	Kromasil C18		Kromasil C18
Nouryon-Kromasil Kromasil Eternity C18			C18	5.21	1.42	1.15	0.45	0.22	0.1	2.5	100	Kromasil Eternity C18 2.5 µm		Kromasil Eternity C18 2.5 µm
Nouryon-Kromasil Kromasil Eternity C18			C18	5.08	1.42	1.18	0.46	0.22	0.1	5	100	Kromasil Eternity C18 5.0 µm		Kromasil Eternity C18 5.0 µm
Nouryon-Kromasil Kromasil Eternity PhenylHexyl			Phenyl	3.44	1.35	1	0.62	0.4	0.11	2.5	100	Kromasil Eternity phenyl hexyl 2.5 µm		Kromasil Eternity phenyl hexyl 2.5 µm
Nouryon-Kromasil Kromasil Phenyl			Phenyl	2.02	1.3	1	0.96	0.48	0.13	5	100	Kromasil phenyl		Kromasil phenyl
Merck LiChrospher 60 RP-Select B			C8	2.76	1.32	1.21	0.66	1.4	0.14	5	60	Lichrospher RP Select B		Lichrospher RP Select B
			C18	7.92	1.48	1.73	0.54	1.39	0.19	5	100	Lichrospher RP18		Lichrospher RP18
Phenomenex Luna C18	Phenomenex, Luna C18		C18	5.97	1.47	1.17	0.4	0.24	0.08	5	100	Luna C18		Luna C18
Phenomenex Luna C18(2)	Phenomenex, Luna C18(2)		C18	6.34	1.47	1.23	0.41	0.26	0.06	5	100	Luna C18 (2)		Luna C18 (2)
Phenomenex Luna CN	Phenomenex, Luna CN		CN	0.17	1.14	1.47	0.75	3.51	0.24	5	100	Luna CN		Luna CN
Phenomenex Luna NH2			Amino	-0.17	1.01	4.05	0.47	0.43	3.41	5	100	Luna NH2 (tests not appropriate)		Luna NH2 (tests not appropriate)
Phenomenex Luna Omega C18	Phenomenex, Luna Omega C18		C18	5.42	1.46	1.13	0.45	0.42	0.11	1.6	100	Luna Omega C18		Luna Omega C18
Phenomenex Luna Omega Polar C18	Phenomenex, Luna Omega Polar C18		C18	3.58	1.43	1.14	0.67	0.66	0.13	1.6	100	Luna Omega Polar C18		Luna Omega Polar C18
Phenomenex Luna Omega PS C18	Phenomenex, Luna Omega PS C18		C18	3.84	1.43	1.11	0.53	0.51	0.08	1.6	100	Luna Omega PS C18		Luna Omega PS C18
Phenomenex Kinetex PFP			PFP	3.26	1.35	2.42	0.76	0.59	0.09	5	100	Luna PFP		Luna PFP
Phenomenex Luna Phenyl-Hexyl	Phenomenex, Luna Phenyl-Hexyl		Phenyl	2.82	1.33	1.1	0.91	0.33	0.11	5	100	Luna Phenyl-Hexyl		Luna Phenyl-Hexyl
			C18	6.19	1.5	1.24	0.41	0.27	0.15	5	50	Magellan C18		Magellan C18
			Mixed alkyl	2.03	1.32	1.25	0.32	0.29	0.09	5	100	MetaSil Basic		MetaSil Basic
Agilent Monochrom CN			CN	0.24	1	1.96	0.38	0.53	0.18	5	110	MonoChrom CN		MonoChrom CN
Agilent Monochrom Diol			diol	0	1	3.7	0.49	3.3	0	5	110	MonoChrom Diol		MonoChrom Diol
Agilent Monochrom MS			PFP	1.69	1.27	2.53	0.83	0.66	0.15	5	110	Monochrom MS		Monochrom MS
Waters Nova-Pak C18			C18	4.49	1.49	1.44	0.48	0.27	0.14	5	60	Novapak C18		Novapak C18
Waters Nova-Pak Phenyl			Phenyl	0.98	1.29	1	1.56	0.89	0.25	5	60	Novapak phenyl		Novapak phenyl
Macherey-Nagel NUCLEODUR C18 ec			C18	7.86	1.48	1.74	0.44	0.76	0.08	5	110	Nucleodur C18 ec		Nucleodur C18 ec
Macherey-Nagel NUCLEODUR C18 Gravity	Macherey-Nagel, NUCLEODUR C18 Gravity 		C18	9	1.53	1.39	0.37	0.26	0.07	1.8	110	Nucleodur C18 Gravity 1.8 µm		Nucleodur C18 Gravity 1.8 µm
Macherey-Nagel NUCLEODUR C18 Gravity	Macherey-Nagel, NUCLEODUR C18 Gravity 		C18	9.35	1.52	1.38	0.37	0.27	0.07	3	110	Nucleodur C18 Gravity 3.0 µm		Nucleodur C18 Gravity 3.0 µm
Macherey-Nagel NUCLEODUR C8 Gravity	Macherey-Nagel, NUCLEODUR C8 Gravity		C18	2.91	1.36	0.83	0.3	0.35	0.06		110	Nucleodur C8 Gravity		Nucleodur C8 Gravity
Macherey-Nagel NUCLEODUR C18 Isis	Macherey-Nagel, NUCLEODUR C18 Isis		C18	8	1.5	1.8	0.35	0.54	0.06	1.8	110	Nucleodur Isis 1.8 µm		Nucleodur Isis 1.8 µm
Macherey-Nagel NUCLEODUR C18 Isis	Macherey-Nagel, NUCLEODUR C18 Isis		C18	7.22	1.48	1.89	0.33	0.48	0.07	3	110	Nucleodur Isis 3um		Nucleodur Isis 3um
Macherey-Nagel NUCLEODUR C18 Pyramid	Macherey-Nagel, NUCLEODUR C18 Pyramid		C18 polar endcap	8.28	1.5	1.24	0.47	0.4	0.06	1.8	110	Nucleodur Pyramid 1.8 µm		Nucleodur Pyramid 1.8 µm
Macherey-Nagel NUCLEODUR C18 Pyramid	Macherey-Nagel, NUCLEODUR C18 Pyramid		C18 polar endcap	6.95	1.5	1.19	0.49	0.41	0.04	3	110	Nucleodur Pyramid 3.0 µm		Nucleodur Pyramid 3.0 µm
Macherey-Nagel NUCLEODUR Sphinx RP	Macherey-Nagel, NUCLEODUR Sphinx RP		C18/phenyl	5.26	1.45	1	0.69	0.4	0.09	1.8	110	Nucleodur Sphinx 1.8 µm		Nucleodur Sphinx 1.8 µm
Macherey-Nagel NUCLEODUR Sphinx RP	Macherey-Nagel, NUCLEODUR Sphinx RP		C18/phenyl	4.74	1.43	0.96	0.67	0.45	0.09	3	110	Nucleodur Sphinx 3.0 µm		Nucleodur Sphinx 3.0 µm
Merck Supelco 100 C18 HD	Macherey-Nagel, NUCLEOSIL C18 HD		C18	6.04	1.48	1.54	0.4	0.47	0.1	5	100	Nucleosil 100-5 C18 HD		Nucleosil 100-5 C18 HD
Merck Supelcosil NUCLEOSIL 100 C18 Nautilus	Macherey-Nagel, NUCLEOSIL C18 Nautilus		PEG	3.37	1.4	1.98	0.33	0.48	0.01	5	100	Nucleosil 100-5 C18 Nautilus		Nucleosil 100-5 C18 Nautilus
Merck Supelco 100 C8 HD	Macherey-Nagel, NUCLEOSIL C8 HD		C8	3.05	1.38	0.91	0.49	0.51	0.13	5	100	Nucleosil 100-5 C8 HD		Nucleosil 100-5 C8 HD
Merck Supelcosil NUCLEOSIL 300 C18	Macherey-Nagel, NUCLEOSIL C18		C18	1.33	1.43	1.9	0.88	2.22	0.22	5	300	Nucleosil 300-5 C18		Nucleosil 300-5 C18
Merck Supelcosil NUCLEOSIL C18	Macherey-Nagel, NUCLEOSIL C18		C18	4.8	1.44	1.68	0.7	2.18	0.13	5	100	Nucleosil C18		Nucleosil C18
			C18	8.54	1.48	1.69	0.41	0.56	0.11	5	110	Omnisphere C18		Omnisphere C18
			C18	5.87	1.48	1.26	0.51	0.3	0.09	5	120	Optimal ODS-L		Optimal ODS-L
			C18	6.15	1.48	1.38	0.44	0.24	0.09	5	120	Optimal-ODS H		Optimal-ODS H
Phenomenex Aqua C18			Aqua	6.21	1.48	1.27	0.6	0.52	0.11	5	125	Phenonemex Aqua		Phenonemex Aqua
			C18	3.11	1.43	1.48	0.53	2.19	0.2	5	200	pHidelity C18		pHidelity C18
Restek Pinnacle DB PFP Propyl			PFP	0.82	1.22	2.45	0.65	0.85	0.3	5	140	Pinnacle DB PFPP		Pinnacle DB PFPP
Grace Alltech Platinum C18			C18	2.12	1.39	1.23	0.81	2.82	0.21	5	100	Platinum C18		Platinum C18
Grace Alltech Platinum EPS C18			C18	0.97	1.31	1.98	2.62	10.11	0.26	5	100	Platinum C18 EPS		Platinum C18 EPS
Agilent Polaris Amide-C18			PEG	2.87	1.43	2.43	0.2	0.15	-0.02	5	200	Polaris Amide C18		Polaris Amide C18
Agilent Polaris C18-A			C18	3.2	1.44	1.85	0.34	0.33	0.11	5	200	Polaris C18 A		Polaris C18 A
Agilent Polaris C18-Ether			PEG/C18	2.98	1.45	1.63	0.46	0.38	0.1	5	200	Polaris C18 Ether		Polaris C18 Ether
Agilent Polaris C8-Ether			PEG/C8	0.82	1.29	1.49	0.5	0.56	0.31	5	200	Polaris C8 Ether		Polaris C8 Ether
Agilent InfinityLab Poroshell 120 EC-C18	Agilent, InfinityLab Poroshell 120 EC-C18		C18	5.29	1.49	1.29	0.41	0.35	0.1	2.7 spp	120	Poroshell 120 EC-C18 2.7 mm		Poroshell 120 EC-C18 2.7 mm
Agilent InfinityLab Poroshell 120 SB-C18	Agilent, InfinityLab Poroshell 120 SB-C18		C18	3.43	1.45	1.21	0.55	0.62	0.12	2.7 spp	120	Poroshell 120 SB-C18 2.7 µm		Poroshell 120 SB-C18 2.7 µm
Agilent InfinityLab Poroshell 120 Bonus-RP	Agilent, InfinityLab Poroshell 120 Bonus-RP		PEG	1.73	1.34	1.57	0.39	0.31	0.01	2.7	120	Poroshell Bonus RP		Poroshell Bonus RP
Agilent InfinityLab Poroshell 120 HPH-C18	Agilent, InfinityLab Poroshell 120 HPH-C18		C18	3.83	1.49	1.26	0.45	0.38	0.1	2.7	120	Poroshell HPH C18		Poroshell HPH C18
Agilent InfinityLab Poroshell 120 SB-Aq			Aqua	0.55	1.3	1.11	0.36	1.14	0.18	2.7	120	Poroshell SB-Aq		Poroshell SB-Aq
Agilent InfinityLab Poroshell 120 PFP			PFP	1.25	1.5	2.8	0.67	0.67	0.04	2.7	120	PoroshellPFP		PoroshellPFP
Agilent InfinityLab Poroshell 120 Phenyl-Hexyl	Agilent, InfinityLab Poroshell 120 Phenyl-Hexyl		Phenyl	1.98	1.33	1.21	0.86	0.44	0.14	2.7	120	PoroshellPhenyl Hexyl		PoroshellPhenyl Hexyl
SIELC Technologies Primesep 100			Alkyl/WCX	1.78	1.28	1.92	0.88	9.6	7.83	5	100	Primesep 100		Primesep 100
SIELC Technologies Primesep 200			Alkyl/WCX	1.79	1.26	2.27	0.8	11.12	2.12	5	100	Primesep 200		Primesep 200
SIELC Technologies Primesep A			Alkyl/SCX	1.63	1.26	1.89	1.03	16.3	12.11	5	100	Primesep A		Primesep A
SIELC Technologies Primesep B			Alkyl/SAX	1.78	1.38	2	0.56	0.21	-0.03	5	100	Primesep B		Primesep B
			PEG	1.68	1.35	2.24	0.42	1.23	0.01	5	100	Prism NRP (nec)		Prism NRP (nec)
			PEG	2.54	1.33	1.66	0.38	0.59	0.01	5	100	Prism RP (ec)		Prism RP (ec)
Phenomenex Prodigy ODS2			C18	4.94	1.49	1.43	0.37	0.5	0.01	5	150	Prodigy ODS2		Prodigy ODS2
Phenomenex Prodigy ODS3			C18	7.27	1.49	1.26	0.42	0.27	0.09	5	100	Prodigy ODS3		Prodigy ODS3
Phenomenex Prodigy Phenyl-3			Phenyl	0.87	1.22	1	1	2.52	0.16	5	100	Prodigy phenyl		Prodigy phenyl
Knauer ProntoSIL C18-AQ			Aqua	4.8	1.46	1.28	0.58	0.56	0.11	5	120	Prontosil C18-AQ		Prontosil C18-AQ
Merck Purospher RP-18			C18	4.78	1.44	1.93	0.72	1.29	-0.07	5	90	Purospher RP18		Purospher RP18
Merck Purospher RP-18e			C18	6.51	1.48	1.75	0.46	0.34	0.08	5	90	Purospher RP18e		Purospher RP18e
			C18	8.31	1.47	1.74	0.43	0.36	0.1	2	120	Purospher STAR RP C18 2 µm		Purospher STAR RP C18 2 µm
Merck Purospher STAR RP-18			C18	8.41	1.52	1.88	0.4	0.28	0.09	3	120	Purospher STAR RP18 3 µm		Purospher STAR RP18 3 µm
Merck Purospher STAR RP-18e			C18	6.57	1.48	1.56	0.34	0.34	0.1	5	120	Purospher STAR RP18e		Purospher STAR RP18e
Agilent Pursuit C18			C18	3.73	1.47	1.57	0.38	0.37	0.11	5	200	Pursuit C18		Pursuit C18
Agilent Pursuit Diphenyl			Diphenyl	0.52	1.21	0.89	0.77	0.44	0.23	5	200	Pursuit Diphenyl		Pursuit Diphenyl
Agilent Pursuit PFP			PFP	1.03	1.28	2.46	0.73	0.4	0.12	5	200	Pursuit PFP		Pursuit PFP
Agilent Pursuit XRs C18			C18	8.23	1.5	1.45	0.42	0.32	0.1	5	100	Pursuit XRs C18		Pursuit XRs C18
Agilent Pursuit XRs Diphenyl			Diphenyl	5.97	1.18	0.87	0.88	0.46	0.14	5	100	Pursuit XRs DP		Pursuit XRs DP
Interchim Technology Uptisphere Strategy C8-2			C18	6.05	1.49	1.54	0.42	0.43	0.08	5	100	QS Strategy C18-2		QS Strategy C18-2
			C18	4.88	1.46	1.29	0.57	0.55	0.11	3	120	QS Uptisphere 3 HDO		QS Uptisphere 3 HDO
Interchim Technology Uptisphere ODB			C18	6.19	1.48	1.36	0.49	0.52	0.1	3	120	QS Uptisphere 3 ODB		QS Uptisphere 3 ODB
			C8/SCX	1.8	1.39	0.94	0.45	0.73	0.66	5	120	QS Uptisphere 5 MM1		QS Uptisphere 5 MM1
Interchim Technology Uptisphere PLP			PEG	1.18	1.33	1.81	0.44	0.39	-0.12	5	120	QS Uptisphere 5 PLP		QS Uptisphere 5 PLP
Interchim Technology Uptisphere TF			C18	1.77	1.52	3.11	0.33	0.61	0.15	5	120	QS Uptisphere 5 TF		QS Uptisphere 5 TF
Waters Resolve C18			C18	2.4	1.46	1.59	1.29	4.06	1.23	5	90	Resolve C18		Resolve C18
			C18	4.94	1.45	1.69	0.68	1.98	0.14	5	100	Selectosil C18		Selectosil C18
			PEG	1.74	1.39	2.53	0.18	1	-0.01	5	100	Shimadzu Pathfinder AP		Shimadzu Pathfinder AP
			PEG	2.63	1.41	2.67	0.19	0.31	0	5	100	Shimadzu Pathfinder AS		Shimadzu Pathfinder AS
			PEG	2.08	1.39	2.75	0.14	0.24	-0.03	5	100	Shimadzu Pathfinder MR		Shimadzu Pathfinder MR
Shimadzu Shim-pack GISS C18			C18	2.9	1.44	1.22	0.44	0.25	0.13	5	200	Shim-pack GISS C18		Shim-pack GISS C18
Shimadzu Shim-pack GIST C18			C18	7.94	1.46	1.15	0.4	0.24	0.1	5	100	Shim-pack GIST C18		Shim-pack GIST C18
Shimadzu Shim-pack GIST C18-AQ			Aqua	6.81	1.46	1.27	0.44	0.26	0.11	5	100	Shim-pack GIST C18-AQ		Shim-pack GIST C18-AQ
Shimadzu Shim-pack Scepter C18			C18	6.32	1.44	1.26	0.46	0.25	0.11	5	120	Shim-pack Scepter C18		Shim-pack Scepter C18
Shimadzu Shim-pack Velox C18	Shimadzu, Shim-pack Velox C18		C18	4.13	1.5	1.55	0.34	0.3	0.1	5	90	Shim-pack Velox C18		Shim-pack Velox C18
			C18	7.26	1.48	1.59	0.56	0.93	0.07	5	100	SMT Total coverage C18		SMT Total coverage C18
			C18	0.73	1.41	1.71	0.84	1.44	13.39	5	80	Spherisorb A5Y		Spherisorb A5Y
Waters Spherisorb ODS1			C18	1.78	1.47	1.64	1.57	2.84	2.55	5	80	Spherisorb ODS1		Spherisorb ODS1
Waters Spherisorb ODS2			C18	3	1.51	1.56	0.59	0.76	0.23	5	80	Spherisorb ODS2		Spherisorb ODS2
Waters Spherisorb ODSB			C18	5.09	1.46	1.78	0.8	3.56	0.06	5	80	Spherisorb ODSB		Spherisorb ODSB
Waters Spherisorb Phenyl			Phenyl	0.05	1	1	5.91	15.1	1	5	80	Spherisorb phenyl		Spherisorb phenyl
Altmann Analytik Stability BS-C23			Alkyl/SAX	2.59	1.3	2.77	0.14	0.04	-0.07	5	100	Stability 100 BS23		Stability 100 BS23
			C18	5.45	1.47	1.29	0.56	0.4	0.1	5	120	Summit ODS (W)		Summit ODS (W)
Waters SunFire C18			C18	6.57	1.49	1.25	0.41	0.31	0.05	5	100	Sunfire C18		Sunfire C18
ChromaNik Technologies Inc. Sunniest RP-AQUA			C18	7.06	1.48	1.65	0.43	0.27	0.11	5	120	Sunniest C18 5um		Sunniest C18 5um
ChromaNik Technologies Inc. SunShell C18	ChromNik Technologies, SunShell C18		C18	6.03	1.49	1.56	0.4	0.34	0.09	2.6 spp	90	Sunshell C18 2.6um		Sunshell C18 2.6um
ChromaNik Technologies Inc. SunShell C8	ChromNik Technologies, SunShell C8		C18	2.96	1.39	1.14	0.31	0.29	0.09	2.6 spp	90	Sunshell C8 2.6um		Sunshell C8 2.6um
ChromaNik Technologies Inc. SunShell PFP	ChromNik Technologies, SunShell PFP		PFP	1.19	1.24	2.67	1.03	4.14	0.41	2.6 spp	90	Sunshell PFP 2.6um		Sunshell PFP 2.6um
			C18	11.99	1.44	2.81	0.34	0.2	0.06	5	100	Supelcogel TR-100		Supelcogel TR-100
Merck Supelco SUPELCOSIL LC-C18			C18	4.82	1.47	1.42	0.46	1.93	0.89	5	120	Supelcosil LC18		Supelcosil LC18
Merck Supelco SUPELCOSIL LC-C18-DB			C18	5.16	1.51	1.4	0.42	0.47	0.14	5	120	Supelcosil LC18-DB		Supelcosil LC18-DB
Merck Supelco SUPELCOSIL LC-ABZ			PEG	3.14	1.37	2.23	0.24	0.2	0.03	5	120	Supelcosil LC-ABZ		Supelcosil LC-ABZ
			C18	5.47	1.47	1.64	0.44	0.42	0.11	5	100	Superspher RP18e		Superspher RP18e
Merck Supelco SUPELCOSIL Suplex pkb-100			PEG	1.24	1.35	2.84	0.34	0.29	0	5	120	Suplex pkb 100		Suplex pkb 100
Waters Symmetry C18	Waters, Symmetry C18		C18	6.51	1.46	1.49	0.41	0.68	0.01	5	100	Symmetry C18		Symmetry C18
Waters Symmetry C8	Waters, Symmetry C8		C8	3.47	1.38	0.95	0.39	0.4	0.02	5	100	Symmetry C8		Symmetry C8
Waters Symmetry Shield RP18	Waters, SymmetryShield RP18		PEG	4.66	1.41	2.22	0.27	0.2	0.04	5	100	Symmetry Shield RP18		Symmetry Shield RP18
Waters Symmetry Shield RP8	Waters, SymmetryShield RP8		PEG	2.3	1.32	1.87	0.27	0.19	0.04	5	100	Symmetry Shield RP8		Symmetry Shield RP8
Phenomenex Synergi Fusion-RP	Phenomenex, Synergi Fusion-RP		PEG	2.69	1.37	1.04	0.53	0.4	0.07	4	80	Synergi Fusion-RP		Synergi Fusion-RP
Phenomenex Synergi Max-RP	Phenomenex, Synergi Max-RP		C12	4.91	1.44	1.15	0.33	0.32	0.08	4	80	Synergi Max RP		Synergi Max RP
Phenomenex Synergi Polar-RP	Phenomenex, Synergi Polar-RP		Phenyl ether	1.18	1.22	1.35	2.53	1	0.14	4	80	Synergi Polar RP		Synergi Polar RP
Phenomenex Synergi Hydro-RP	Phenomenex, Synergi Hydro-RP		C18	7.63	1.47	1.47	0.58	0.83	0.25	4	80	Syngeri Hydro-RP		Syngeri Hydro-RP
Higgins Analytical TARGA C18			C18	6.06	1.63	1.27	0.52	0.1	0.14	5	120	Targa C18		Targa C18
Merck Supelco Titan C18			C18	6.91	1.5	1.13	0.49	0.5	0.12	1.9	80	Titan C18		Titan C18
			C18	2.22	1.47	1.65	0.33	0.33	0.1	2	140	TSKGel super ODS		TSKGel super ODS
Tosoh Bioscience TSKgel ODS-80Ts			C18	5.07	1.46	1.34	0.58	0.65	0.09	5	80	TSKGelODS-80TM		TSKGelODS-80TM
Tosoh Bioscience TSKgel ODS-80Tm			C18	4.57	1.45	1.24	0.52	0.3	0.08	5	80	TSKGelODS-80TS		TSKGelODS-80TS
Waters µBondapak C18			C18	1.97	1.39	1.28	0.78	1.12	0.15	5	125	uBondpak C18		uBondpak C18
Restek Ultra Aqueous C18			Aqua	6.04	1.45	1.9	0.97	2.21	0.09	5	100	Ultra Aqueous C18		Ultra Aqueous C18
Restek Ultra IBD			PEG	1.95	1.38	2.32	0.55	1.37	0.03	5	100	Ultra IBD		Ultra IBD
Restek Ultra PFPP			PFP	0.17	1	1	1.22	2.46	0.16	5	100	Ultra PFP propyl		Ultra PFP propyl
Phenomenex Ultracarb ODS (30)			C18	13.27	1.52	1.39	0.48	0.73	0.06	5	60	Ultracarb ODS(30)		Ultracarb ODS(30)
Hichrom Ultrasphere ODS			C18	6.41	1.52	1.42	0.48	0.31	0.16	5	80	Ultrasphere ODS		Ultrasphere ODS
			C18	1.86	1.46	2.35	0.56	1.23	0.09	5	300	Vydac C18 multiring		Vydac C18 multiring
Waters XBridge BEH C18	Waters, XBridge C18		C18	2.22	1.45	1.37	0.38	0.24	0.13	3.5	300	XBridge BEH C18 300 3.5 µm		XBridge BEH C18 300 3.5 µm
Waters XBridge BEH C18	Waters, XBridge C18		C18	2.18	1.45	1.39	0.34	0.23	0.12	5	300	XBridge BEH C18 300 5 µm		XBridge BEH C18 300 5 µm
	Waters, XBridge C18		C18	3.81	1.45	1.38	0.34	0.27	0.14	3.5	130	XBridge C18		XBridge C18
	Waters, XBridge Phenyl		Phenyl	1.45	1.31	1	0.86	0.41	0.19	3.5	130	XBridge Phenyl		XBridge Phenyl
	Waters, XBridge Shield RP18		PEG	2.85	1.38	2.22	0.33	0.26	0.12	3.5	130	XBridge Shield RP18 3.5 µm		XBridge Shield RP18 3.5 µm
Waters XSelect CSH C18			C18	4.07	1.45	1.36	0.39	0.35	0.09	2.5	135	XSelect CSH C18		XSelect CSH C18
Waters Xselect CSH Fluoro-Phenyl			PFP	0.43	1	3.05	1.75	1.36	-0.14	3.5	135	XSelect Fluoro phenyl		XSelect Fluoro phenyl
Waters XSelect HSS C18			C18	7	1.51	1.48	0.36	0.24	0.1	3.5	135	XSelect HSS C18		XSelect HSS C18
Waters XSelect HSS C18 SB			C18	2.37	1.38	1.93	1.77	5.07	0.11	3.5	135	XSelect HSS C18 SB		XSelect HSS C18 SB
Waters XSelect HSS T3			C18	5.5	1.49	1.18	0.5	0.33	0.11	3.5	135	XSelect HSS T3		XSelect HSS T3
			Phenyl	1.45	1.33	1	0.7	0.34	0.06	3.5	135	XSelect Phenyl hexyl		XSelect Phenyl hexyl
Waters XTerra MS C18	Waters, XTerra MS C18		C18	3.52	1.42	1.26	0.42	0.35	0.1	3.5	125	XTerra MS C18		XTerra MS C18
Waters XTerra MS C8	Waters, XTerra MS C8		C8	1.15	1.3	0.87	0.42	0.33	0.1	3.5	125	XTerra MS C8		XTerra MS C8
Waters XTerra Phenyl	Waters, XTerra Phenyl		Phenyl	1.26	1.28	0.88	0.62	0.35	0.11	3.5	125	XTerra Phenyl		XTerra Phenyl
Waters XTerra Shield RP18	Waters, XTerra RP18		PEG	2.38	1.29	1.83	0.33	0.2	0.07	3.5	125	XTerra RP18		XTerra RP18
Waters XTerra Shield RP8	Waters, XTerra RP8		PEG	1.1	1.26	1.73	0.3	0.17	0.07	3.5	125	XTerra RP8		XTerra RP8
YMC YMCbasic			C8	1.4	1.26	0.98	0.57	0.51	0.27	3	proprietary	YMC Basic (C8)		YMC Basic (C8)
YMC Hydrosphere C18	YMC, Hydrosphere C18		C18	3.9	1.34	1.2	0.56	0.39	0.08	5	120	YMC Hydrosphere C18		YMC Hydrosphere C18
