name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Advanced Chromatography Technologies ACE Phenyl	Advanced Chromatography Techn., ACE Phenyl		Phenyl	1.2	1.26	1	1.14	0.46	0.14	5	100	ACE 5 phenyl		ACE 5 Phenyl
Advanced Chromatography Technologies ACE SuperC18	Advanced Chromatography Techn., ACE SuperC18		C18	7.93	1.49	1.46	0.44	0.18	0.11	5	90	ACE 5 SuperC18		ACE 5 SuperC18
Advanced Chromatography Technologies ACE C18	Advanced Chromatography Techn., ACE C18		C18	5.47	1.47	1.51	0.38	0.25	0.11	2	100	ACE C18 2um		ACE C18 2um
Advanced Chromatography Technologies ACE C18-Amide	Advanced Chromatography Techn., ACE C18-Amide		PEG	4.17	1.39	2.07	0.26	0.21	0.07	10	100	ACE C18-Amide 10 µm		ACE C18-Amide 10 µm
Advanced Chromatography Technologies ACE C18-Amide			PEG	4.03	1.41	2.07	0.26	0.21	0.08	3	100	ACE C18-Amide 3 µm		ACE C18-Amide 3 µm
Advanced Chromatography Technologies ACE C18-Amide			PEG	4.3	1.41	2.11	0.25	0.2	0.07	5	100	ACE C18-Amide 5 µm		ACE C18-Amide 5 µm
Advanced Chromatography Technologies ACE C18-AR	Advanced Chromatography Techn., ACE C18-AR		Phenyl	4.35	1.41	1.71	0.75	0.29	0.12	2	100	ACE C18-AR 2um		ACE C18-AR 2um
Advanced Chromatography Technologies ACE C18-PFP	Advanced Chromatography Techn., ACE C18-PFP		PFP	4.81	1.38	2.98	0.53	0.24	0.11	2	100	ACE C18-PFP 2um		ACE C18-PFP 2um
Advanced Chromatography Technologies ACE CN-ES			Cyano	2.34	1.3	4.44	0.17	0	0.04	2	100	ACE CN-ES 2um		ACE CN-ES 2um
Advanced Chromatography Technologies ACE CN-ES			Cyano	2.14	1.3	4.5	0.18	0	0.04	3	100	ACE CN-ES 3um		ACE CN-ES 3um
Advanced Chromatography Technologies ACE CN-ES			Cyano	2.19	1.3	4.57	0.17	0.22	0.05	5	100	ACE CN-ES 5um		ACE CN-ES 5um
Advanced Chromatography Technologies ACE SuperC18			C18	8.1	1.48	1.44	0.42	0.22	0.1	3.5	90	ACE Super C18 2um		ACE Super C18 2um
Advanced Chromatography Technologies ACE SuperC18			C18	7.28	1.47	1.42	0.43	0.23	0.11	3	90	ACE Super C18 3um		ACE Super C18 3um
Advanced Chromatography Technologies ACE UltraCore SuperPhenylHexyl			Phenyl	2.63	1.36	1.11	0.68	0.32	0.09	2.5spp	95	ACE Ultracore Super phenyl hexyl 2.5um		ACE Ultracore Super phenyl hexyl 2.5um
