name_normalized	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P.1	particle size [µm]	pore size [A]	hplccolumns_number
Waters ACQUITY UPLC BEH Phenyl		Phenyl	1.64	1.3	1.0	0.85	0.42	0.18	1.7	130	
Waters ACQUITY UPLC BEH Shield RP18		PEG	2.08	1.41	2.36	0.3	0.27	0.13	1.7	130	
Waters ACQUITY UPLC CSH C18		C18	3.53	1.44	1.35	0.4	0.38	0.09	1.7	130	
Waters ACQUITY UPLC CSH Fluoro-Phenyl		PFP	0.46	1.0	3.1	1.72	1.24	-0.06	1.7	130	
Waters ACQUITY UPLC CSH Phenyl-Hexyl		Phenyl	1.47	1.31	1.13	0.7	0.42	0.07	1.7	130	
Waters ACQUITY UPLC HSS C18		C18	7.38	1.48	1.47	0.37	0.24	0.11	1.8	100	
Waters ACQUITY UPLC HSS C18 SB		C18	2.57	1.39	1.94	1.86	4.99	0.16	1.8	100	
Waters ACQUITY UPLC HSS T3		C18	6.02	1.5	1.19	0.5	0.34	0.12	1.8	100	
Waters ACQUITY UPLC BEH C18		C18	3.99	1.47	1.38	0.37	0.23	0.09	1.7	130	
		C18	1.97	1.48	1.41	0.38	0.22	0.11	1.7	300	
Phenomenex Aeris PEPTIDE XB-C18		C18	4.2	1.48	1.16	0.49	0.56	0.1	3.6 spp	100	
Phenomenex Aeris WIDEPORE C4		C4	0.39	1.06	0.85	0.39	0.42	0.16	3.6 spp	200	
Phenomenex Aeris WIDEPORE XB-C18		C18	1.15	1.44	1.16	0.52	0.6	0.16	3.6 spp	200	
		C18	8.79	1.49	1.55	0.39	0.51	0.17	5	100	
Phase Analytical Technology, LLC ACME AIDA C18		C18	4.84	1.52	1.35	0.42	0.3	0.09	5	120	
Hichrom Alltima HP C18		C18	2.47	1.43	2.79	0.26	0.35	0.04	5	190	
Hichrom Alltima HP C18-Amide		PEG	2.48	1.43	2.74	0.27	0.35	0.03	5	190	
Hichrom Alltima HP C18-AQ		Aqua	4.23	1.42	1.97	1.1	3.1	0.1	5	190	
Hichrom Alltima HP C18-EPS		C18	0.61	1.34	1.95	2.25	4.35	0.2	5	190	
Hichrom Alltima HP C18-HL		C18	7.84	1.51	1.57	0.39	0.4	0.1	5	190	
