name_normalized	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P.1	particle size [µm]	pore size [A]	hplccolumns_number
Knauer ProntoSIL C18-AQ		Aqua	4.8	1.46	1.28	0.58	0.56	0.11	5	120	
Merck Purospher RP-18		C18	4.78	1.44	1.93	0.72	1.29	-0.07	5	90	
Merck Purospher RP-18e		C18	6.51	1.48	1.75	0.46	0.34	0.08	5	90	
		C18	8.31	1.47	1.74	0.43	0.36	0.1	2	120	
Merck Purospher STAR RP-18		C18	8.41	1.52	1.88	0.4	0.28	0.09	3	120	
Merck Purospher STAR RP-18e		C18	6.57	1.48	1.56	0.34	0.34	0.1	5	120	
Agilent Pursuit C18		C18	3.73	1.47	1.57	0.38	0.37	0.11	5	200	
Agilent Pursuit Diphenyl		Diphenyl	0.52	1.21	0.89	0.77	0.44	0.23	5	200	
Agilent Pursuit PFP		PFP	1.03	1.28	2.46	0.73	0.4	0.12	5	200	
Agilent Pursuit XRs C18		C18	8.23	1.5	1.45	0.42	0.32	0.1	5	100	
Agilent Pursuit XRs Diphenyl		Diphenyl	5.97	1.18	0.87	0.88	0.46	0.14	5	100	
Interchim Technology Uptisphere Strategy C8-2		C18	6.05	1.49	1.54	0.42	0.43	0.08	5	100	
		C18	4.88	1.46	1.29	0.57	0.55	0.11	3	120	
Interchim Technology Uptisphere ODB		C18	6.19	1.48	1.36	0.49	0.52	0.1	3	120	
		C8/SCX	1.8	1.39	0.94	0.45	0.73	0.66	5	120	
Interchim Technology Uptisphere PLP		PEG	1.18	1.33	1.81	0.44	0.39	-0.12	5	120	
Interchim Technology Uptisphere TF		C18	1.77	1.52	3.11	0.33	0.61	0.15	5	120	
Waters Resolve C18		C18	2.4	1.46	1.59	1.29	4.06	1.23	5	90	
		C18	4.94	1.45	1.69	0.68	1.98	0.14	5	100	
		PEG	1.74	1.39	2.53	0.18	1.0	-0.01	5	100	
		PEG	2.63	1.41	2.67	0.19	0.31	0.0	5	100	
		PEG	2.08	1.39	2.75	0.14	0.24	-0.03	5	100	
Shimadzu Shim-pack GISS C18		C18	2.9	1.44	1.22	0.44	0.25	0.13	5	200	
Shimadzu Shim-pack GIST C18		C18	7.94	1.46	1.15	0.4	0.24	0.1	5	100	
Shimadzu Shim-pack GIST C18-AQ		Aqua	6.81	1.46	1.27	0.44	0.26	0.11	5	100	
Shimadzu Shim-pack Scepter C18		C18	6.32	1.44	1.26	0.46	0.25	0.11	5	120	
Shimadzu Shim-pack Velox C18		C18	4.13	1.5	1.55	0.34	0.3	0.1	5	90	
		C18	7.26	1.48	1.59	0.56	0.93	0.07	5	100	
		C18	0.73	1.41	1.71	0.84	1.44	13.39	5	80	
Waters Spherisorb ODS1		C18	1.78	1.47	1.64	1.57	2.84	2.55	5	80	
Waters Spherisorb ODS2		C18	3.0	1.51	1.56	0.59	0.76	0.23	5	80	
Waters Spherisorb ODSB		C18	5.09	1.46	1.78	0.8	3.56	0.06	5	80	
Waters Spherisorb Phenyl		Phenyl	0.05	1.0	1.0	5.91	15.1	1.0	5	80	
Altmann Analytik Stability BS-C23		Alkyl/SAX	2.59	1.3	2.77	0.14	0.04	-0.07	5	100	
		C18	5.45	1.47	1.29	0.56	0.4	0.1	5	120	
Waters SunFire C18		C18	6.57	1.49	1.25	0.41	0.31	0.05	5	100	
ChromaNik Technologies Inc. Sunniest RP-AQUA		C18	7.06	1.48	1.65	0.43	0.27	0.11	5	120	
ChromaNik Technologies Inc. SunShell C18		C18	6.03	1.49	1.56	0.4	0.34	0.09	2.6 spp	90	
ChromaNik Technologies Inc. SunShell C8		C18	2.96	1.39	1.14	0.31	0.29	0.09	2.6 spp	90	
ChromaNik Technologies Inc. SunShell PFP		PFP	1.19	1.24	2.67	1.03	4.14	0.41	2.6 spp	90	
		C18	11.99	1.44	2.81	0.34	0.2	0.06	5	100	
Merck Supelco SUPELCOSIL LC-C18		C18	4.82	1.47	1.42	0.46	1.93	0.89	5	120	
Merck Supelco SUPELCOSIL LC-C18-DB		C18	5.16	1.51	1.4	0.42	0.47	0.14	5	120	
Merck Supelco SUPELCOSIL LC-ABZ		PEG	3.14	1.37	2.23	0.24	0.2	0.03	5	120	
		C18	5.47	1.47	1.64	0.44	0.42	0.11	5	100	
Merck Supelco SUPELCOSIL Suplex pkb-100		PEG	1.24	1.35	2.84	0.34	0.29	0.0	5	120	
Waters Symmetry C18		C18	6.51	1.46	1.49	0.41	0.68	0.01	5	100	
Waters Symmetry C8		C8	3.47	1.38	0.95	0.39	0.4	0.02	5	100	
Waters Symmetry Shield RP18		PEG	4.66	1.41	2.22	0.27	0.2	0.04	5	100	
Waters Symmetry Shield RP8		PEG	2.3	1.32	1.87	0.27	0.19	0.04	5	100	
Phenomenex Synergi Fusion-RP		PEG	2.69	1.37	1.04	0.53	0.4	0.07	4	80	
Phenomenex Synergi Max-RP		C12	4.91	1.44	1.15	0.33	0.32	0.08	4	80	
Phenomenex Synergi Polar-RP		Phenyl ether	1.18	1.22	1.35	2.53	1.0	0.14	4	80	
Phenomenex Synergi Hydro-RP		C18	7.63	1.47	1.47	0.58	0.83	0.25	4	80	
Higgins Analytical TARGA C18		C18	6.06	1.63	1.27	0.52	0.1	0.14	5	120	
Merck Supelco Titan C18		C18	6.91	1.5	1.13	0.49	0.5	0.12	1.9	80	
		C18	2.22	1.47	1.65	0.33	0.33	0.1	2	140	
Tosoh Bioscience TSKgel ODS-80Ts		C18	5.07	1.46	1.34	0.58	0.65	0.09	5	80	
Tosoh Bioscience TSKgel ODS-80Tm		C18	4.57	1.45	1.24	0.52	0.3	0.08	5	80	
Waters µBondapak C18		C18	1.97	1.39	1.28	0.78	1.12	0.15	5	125	
Restek Ultra Aqueous C18		Aqua	6.04	1.45	1.9	0.97	2.21	0.09	5	100	
Restek Ultra IBD		PEG	1.95	1.38	2.32	0.55	1.37	0.03	5	100	
Restek Ultra PFPP		PFP	0.17	1.0	1.0	1.22	2.46	0.16	5	100	
Phenomenex Ultracarb ODS (30)		C18	13.27	1.52	1.39	0.48	0.73	0.06	5	60	
Hichrom Ultrasphere ODS		C18	6.41	1.52	1.42	0.48	0.31	0.16	5	80	
		C18	1.86	1.46	2.35	0.56	1.23	0.09	5	300	
Waters XBridge BEH C18		C18	2.22	1.45	1.37	0.38	0.24	0.13	3.5	300	
Waters XBridge BEH C18		C18	2.18	1.45	1.39	0.34	0.23	0.12	5	300	
Waters XBridge C18		C18	3.81	1.45	1.38	0.34	0.27	0.14	3.5	130	
		Phenyl	1.45	1.31	1.0	0.86	0.41	0.19	3.5	130	
		PEG	2.85	1.38	2.22	0.33	0.26	0.12	3.5	130	
Waters XSelect CSH C18		C18	4.07	1.45	1.36	0.39	0.35	0.09	2.5	135	
Waters Xselect CSH Fluoro-Phenyl		PFP	0.43	1.0	3.05	1.75	1.36	-0.14	3.5	135	
Waters XSelect HSS C18		C18	7.0	1.51	1.48	0.36	0.24	0.1	3.5	135	
Waters XSelect HSS C18 SB		C18	2.37	1.38	1.93	1.77	5.07	0.11	3.5	135	
Waters XSelect HSS T3		C18	5.5	1.49	1.18	0.5	0.33	0.11	3.5	135	
		Phenyl	1.45	1.33	1.0	0.7	0.34	0.06	3.5	135	
Waters XTerra MS C18		C18	3.52	1.42	1.26	0.42	0.35	0.1	3.5	125	
Waters XTerra MS C8		C8	1.15	1.3	0.87	0.42	0.33	0.1	3.5	125	
Waters XTerra Phenyl		Phenyl	1.26	1.28	0.88	0.62	0.35	0.11	3.5	125	
Waters XTerra Shield RP18		PEG	2.38	1.29	1.83	0.33	0.2	0.07	3.5	125	
Waters XTerra Shield RP8		PEG	1.1	1.26	1.73	0.3	0.17	0.07	3.5	125	
YMC YMCbasic		C8	1.4	1.26	0.98	0.57	0.51	0.27	3	proprietary	
YMC Hydrosphere C18		C18	3.9	1.34	1.2	0.56	0.39	0.08	5	120	
YMC Triart C18		C18	6.3	1.44	1.23	0.45	0.3	0.1	5	120	
YMC Pack ODS-AQ		Aqua	4.44	1.46	1.25	0.57	0.41	0.11	5	120	
YMC Pack Pro C18		C18	4.71	1.49	1.29	0.49	0.39	0.09	5	120	
YMC Pack Pro C18 RS		C18	9.8	1.53	1.47	0.39	0.33	0.08	5	80	
YMC Pack Pro C4		C4	1.45	1.33	0.73	0.4	0.31	0.08	5	120	
ZirChrom ZirChrom-MS		C18	2.02	1.43	1.62	0.27	20.0	6.28	5	300	
ZirChrom ZirChrom-PBD		Polybutadiene	1.28	1.41	2.08	0.32	18.77	9.2	5	300	
Agilent ZORBAX RRHD 300-Diphenyl		Diphenyl	0.32	1.06	0.93	0.98	0.7	0.42	1.8	300	
Agilent ZORBAX 300SB-C18		C18	1.58	1.44	1.2	0.69	0.73	0.21	1.8	300	
Agilent ZORBAX RRHD 300 SB-C3		C3	0.29	1.07	1.07	2.32	1.0	0.32	1.8	300	
Agilent ZORBAX Bonus-RP		PEG	1.74	1.43	1.6	0.31	0.3	0.04	3.5	80	
Agilent ZORBAX Eclipse Plus C18		C18	5.91	1.51	1.15	0.44	0.37	0.09	1.8	95	
Agilent ZORBAX Eclipse Plus C18		C18	5.76	1.51	1.16	0.44	0.29	0.1	3.5	95	
Agilent ZORBAX Eclipse XDB-Phenyl		Phenyl	1.35	1.3	1.0	1.22	0.63	0.13	3.5	80	
Agilent ZORBAX Eclipse XDB-C18		C18	5.79	1.5	1.3	0.47	0.35	0.09	3.5	80	
Agilent ZORBAX Extend-C18		C18	6.66	1.5	1.49	0.38	0.2	0.08	3.5	80	
Agilent ZORBAX Rx-C18		C18	5.68	1.57	1.61	0.54	0.55	0.11	3.5	80	
Agilent ZORBAX SB-C18		C18	6.0	1.49	1.2	0.65	1.46	0.13	3.5	80	
Agilent ZORBAX 300SB-C18		C18	1.23	1.44	1.22	0.76	1.0	0.12	3.5	300	
Agilent ZORBAX SB-C3		C3	0.91	1.32	1.06	2.71	0.88	0.11	3.5	80	
Agilent ZORBAX SB-C8		C8	1.97	1.37	1.08	1.27	0.81	0.12	3.5	80	
Agilent ZORBAX SB-CN		CN	0.36	1.18	2.12	1.14	1.62	0.1	3.5	80	
Agilent ZORBAX SB-Phenyl		Phenyl	1.09	1.3	1.18	3.69	1.08	0.13	3.5	80	
Agilent ZORBAX SB-Aq		Aqua	0.93	1.31	1.18	2.54	1.27	0.13	3.5	80	
