id	name	formula	rt	smiles.std	status
0240_00001	SPERMIDINE	C7H19N3	0.48		'PUGREST.BadRequest: error: '
0240_00002	NORSPERMIDINE	C6H17N3	0.488		'PUGREST.BadRequest: error: '
0240_00003	HISTAMINE	C5H9N3	0.52		'PUGREST.BadRequest: error: '
0240_00004	AGMATINE SULFATE	C5H14N4	0.525		'PUGREST.BadRequest: error: '
0240_00005	CARNOSINE	C9H14N4O3	0.531		'PUGREST.BadRequest: error: '
0240_00006	HISTIDINE	C6H9N3O2	0.548		'PUGREST.BadRequest: error: '
0240_00007	PYRIDOXAMINE	C8H12N2O2	0.56		'PUGREST.BadRequest: error: '
0240_00008	N,N,N-TRIMETHYLLYSINE	C9H20N2O2	0.56		'PUGREST.BadRequest: error: '
0240_00009	1-METHYL-L-HISTIDINE	C7H11N3O2	0.567		'PUGREST.BadRequest: error: '
0240_00010	GLUCOSAMINATE	C6H13NO6	0.587		'PUGREST.BadRequest: error: '
0240_00011	THIAMINE MONOPHOSPHATE	C12H17N4O4PS	0.587		'PUGREST.BadRequest: error: '
0240_00012	DIAMINOPIMELATE	C7H14N2O4	0.588		'PUGREST.BadRequest: error: '
0240_00013	CYSTATHIONINE	C7H14N2O4S	0.588		'PUGREST.BadRequest: error: '
0240_00014	CYSTINE	C6H12N2O4S2	0.589		'PUGREST.BadRequest: error: '
0240_00015	GUANIDINOACETATE	C3H7N3O2	0.595		'PUGREST.BadRequest: error: '
0240_00017	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P	0.597		'PUGREST.BadRequest: error: '
0240_00018	N,N-DIMETHYL-ARGININE	C8H18N4O2	0.597		'PUGREST.BadRequest: error: '
0240_00019	GLUCOSAMINE 6-PHOSPHATE	C6H14NO8P	0.597		'PUGREST.BadRequest: error: '
0240_00020	CITICOLINE	C14H26N4O11P2	0.597		'PUGREST.BadRequest: error: '
0240_00021	N,N-DIMETHYLARGININE	C8H18N4O2	0.598		'PUGREST.BadRequest: error: '
0240_00022	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.606		'PUGREST.BadRequest: error: '
0240_00023	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.606		'PUGREST.BadRequest: error: '
0240_00024	L-CARNITINE	C7H15NO3	0.608		'PUGREST.BadRequest: error: '
0240_00025	PHOSPHORYLCHOLINE	C5H14NO4P	0.608		'PUGREST.BadRequest: error: '
0240_00026	γ-Aminobutyric acid	C4H9NO2	0.611		'PUGREST.BadRequest: error: '
0240_00027	TREHALOSE	C12H22O11	0.613		'PUGREST.BadRequest: error: '
0240_00028	CREATININE	C4H7N3O	0.614		'PUGREST.BadRequest: error: '
0240_00029	CITRULLINE	C6H13N3O3	0.614		'PUGREST.BadRequest: error: '
0240_00030	CYSTEATE	C3H7NO5S	0.614		'PUGREST.BadRequest: error: '
0240_00031	(2S,5R)-trans-5-Hydroxypiperidine-2-carboxylicacid	C6H11NO3	0.616		'PUGREST.BadRequest: error: '
0240_00032	BETAINE	C5H11NO2	0.62		'PUGREST.BadRequest: error: '
0240_00033	NORVALINE	C5H11NO2	0.62		'PUGREST.BadRequest: error: '
0240_00034	N-METHYLASPARTATE	C5H9NO4	0.62		'PUGREST.BadRequest: error: '
0240_00035	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.62		'PUGREST.BadRequest: error: '
0240_00036	NICOTINAMIDE	C6H6N2O	0.621		'PUGREST.BadRequest: error: '
0240_00037	DEOXYCARNITINE	C7H15NO2	0.626		'PUGREST.BadRequest: error: '
0240_00038	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.626		'PUGREST.BadRequest: error: '
0240_00039	SUCROSE	C12H22O11	0.626		'PUGREST.BadRequest: error: '
0240_00040	MELIBIOSE	C12H22O11	0.626		'PUGREST.BadRequest: error: '
0240_00041	MALTOSE	C12H22O11	0.626		'PUGREST.BadRequest: error: '
0240_00042	CELLOBIOSE	C12H22O11	0.626		'PUGREST.BadRequest: error: '
0240_00043	PALATINOSE	C12H22O11	0.626		'PUGREST.BadRequest: error: '
0240_00044	DIHYDROURACIL	C4H6N2O2	0.628		'PUGREST.BadRequest: error: '
0240_00045	CREATINE	C4H9N3O2	0.628		'PUGREST.BadRequest: error: '
0240_00046	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P	0.629		'PUGREST.BadRequest: error: '
0240_00047	AMINOADIPATE	C6H11NO4	0.633		'PUGREST.BadRequest: error: '
0240_00048	N-METHYLGLUTAMATE	C6H11NO4	0.633		'PUGREST.BadRequest: error: '
0240_00049	N-ACETYLNEURAMINATE	C11H19NO9	0.636		'PUGREST.BadRequest: error: '
0240_00050	BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE	C21H27N7O14P2	0.636		'PUGREST.BadRequest: error: '
0240_00051	CYTIDINE 2',3'-CYCLIC PHOSPHATE	C9H12N3O7P	0.636		'PUGREST.BadRequest: error: '
0240_00052	N-ALPHA-ACETYLLYSINE	C8H16N2O3	0.641		'PUGREST.BadRequest: error: '
0240_00053	5-METHYLCYTOSINE	C5H7N3O	0.643		'PUGREST.BadRequest: error: '
0240_00054	DEOXYCYTIDINE MONOPHOSPHATE	C9H14N3O7P	0.645		'PUGREST.BadRequest: error: '
0240_00055	FRUCTOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00056	SORBOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00057	MYOINOSITOL	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00058	MANNOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00059	GALACTOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00060	ALPHA-D-GLUCOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00061	ALLOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00062	TAGATOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00063	PSICOSE	C6H12O6	0.646		'PUGREST.BadRequest: error: '
0240_00064	HOMOCYSTEINE	C4H9NO2S	0.649		'PUGREST.BadRequest: error: '
0240_00065	HOMOCYSTINE	C8H16N2O4S2	0.649		'PUGREST.BadRequest: error: '
0240_00066	CYTIDINE	C9H13N3O5	0.654		'PUGREST.BadRequest: error: '
0240_00067	AICAR	C9H15N4O8P	0.658		'PUGREST.BadRequest: error: '
0240_00068	DEOXYGUANOSINE-MONOPHOSPHATE	C10H14N5O7P	0.66		'PUGREST.BadRequest: error: '
0240_00069	ADENOSINE-MONOPHOSPHATE	C10H14N5O7P	0.66		'PUGREST.BadRequest: error: '
0240_00070	Allantoin	C4H6N4O3	0.66		'PUGREST.BadRequest: error: '
0240_00072	ADENINE	C5H5N5	0.671		'PUGREST.BadRequest: error: '
0240_00073	METHYL GALACTOSIDE	C7H14O6	0.671		'PUGREST.BadRequest: error: '
0240_00074	PHOSPHOCREATINE	C4H10N3O5P	0.671		'PUGREST.BadRequest: error: '
0240_00075	DEOXYCYTIDINE	C9H13N3O4	0.677		'PUGREST.BadRequest: error: '
0240_00076	GUANOSINE MONOPHOSPHATE	C10H14N5O8P	0.679		'PUGREST.BadRequest: error: '
0240_00077	3-METHYLADENINE	C6H7N5	0.68		'PUGREST.BadRequest: error: '
0240_00078	INOSINE MONOPHOSPHATE	C10H13N4O8P	0.69		'PUGREST.BadRequest: error: '
0240_00079	Orotic acid	C5H4N2O4	0.691		'PUGREST.BadRequest: error: '
0240_00080	URATE	C5H4N4O3	0.702		'PUGREST.BadRequest: error: '
0240_00081	DEOXYADENOSINE MONOPHOSPHATE	C10H14N5O6P	0.702		'PUGREST.BadRequest: error: '
0240_00082	URACIL	C4H4N2O2	0.711		'PUGREST.BadRequest: error: '
0240_00084	GLUCONATE	C6H12O7	0.723		'PUGREST.BadRequest: error: '
0240_00086	PIPECOLATE	C6H11NO2	0.739		'PUGREST.BadRequest: error: '
0240_00087	10-Undecenoic acid	C11H20O2	0.775		'PUGREST.BadRequest: error: '
0240_00090	3-Hydroxyglutaric acid	C5H8O5	0.827		'PUGREST.BadRequest: error: '
0240_00091	O-SUCCINYL-HOMOSERINE	C8H13NO6	0.854		'PUGREST.BadRequest: error: '
0240_00092	N-ACETYLASPARTATE	C6H9NO5	0.878		'PUGREST.BadRequest: error: '
0240_00094	TYROSINE	C9H11NO3	0.915		'PUGREST.BadRequest: error: '
0240_00095	PURINE	C5H4N4	0.92		'PUGREST.BadRequest: error: '
0240_00096	GUANINE	C5H5N5O	0.92		'PUGREST.BadRequest: error: '
0240_00097	GUANOSINE	C10H13N5O5	0.92		'PUGREST.BadRequest: error: '
0240_00098	DEOXYURIDINE	C9H12N2O5	0.926		'PUGREST.BadRequest: error: '
0240_00099	DEOXYGUANOSINE	C10H13N5O4	0.927		'PUGREST.BadRequest: error: '
0240_00100	Tricarballylic acid	C6H8O6	0.941		'PUGREST.BadRequest: error: '
0240_00101	GLUTARYLCARNITINE	C12H21NO6	0.942		'PUGREST.BadRequest: error: '
0240_00102	2-Furanacetic acid	C6H8O4	0.982		'PUGREST.BadRequest: error: '
0240_00103	(RS)-Mevalonic acid lithium salt	C6H12O4	0.991		'PUGREST.BadRequest: error: '
0240_00104	MEVALONATE	C6H12O4	0.997		'PUGREST.BadRequest: error: '
0240_00105	5-AMINOLEVULINATE	C5H9NO3	1.01		'PUGREST.BadRequest: error: '
0240_00106	N-ACETYLALANINE	C5H9NO3	1.01		'PUGREST.BadRequest: error: '
