rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric
10.18		draft_25135_00141	442089		C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O
10.18		draft_25135_00142	2724385		C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
10.26		draft_25135_00143	5281654	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	
10.28		draft_25135_00144	72281		COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
10.68		draft_25135_00145	40634	CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C	
10.83		draft_25135_00146	441922		CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)C)O)C
10.88		draft_25135_00147	10607		COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O
11.04		draft_25135_00148	2355	COC1=C2C=CC(=O)OC2=CC3=C1C=CO3	
11.07		draft_25135_00149	10163	C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)CO)O	
11.1		draft_25135_00150	68079	COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC	
11.29		draft_25135_00151	9848024		C[C@]1(CCC[C@@]2([C@@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)C)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
11.32		draft_25135_00152	7005	C1=CC=C2C(=C1)C=CC=C2O	
11.48		draft_25135_00153	5284613		C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
11.54		draft_25135_00154	5280378	COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O	
11.74		draft_25135_00155	265237		CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)CO
11.77		draft_25135_00156	458010		CC1([C@H](O1)COC2=C3C(=CC4=C2OC=C4)C=CC(=O)O3)C
11.82		draft_25135_00157	6293	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O	
11.88		draft_25135_00158	5281691	COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O	
12.09		draft_25135_00159	10205	CC1=CC(=O)C2=C(C1=O)C=CC=C2O	
12.1		draft_25135_00160	10207	C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO	
12.1		draft_25135_00161	78577438		C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@@H]2C/C=C/3\C=COC3=O)(C)CO)O
12.3		draft_25135_00162	5273755	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC	
12.32		draft_25135_00163	145659	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC	
12.47		draft_25135_00164	7439	CC1=CCC(CC1=O)C(=C)C	
12.53		draft_25135_00165	44576309		CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3[C@H]5[C@H](O5)[C@@]6([C@@]4(C(=O)C=CC6)C)O)C)CO
12.57		draft_25135_00166	91540		C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(C[C@@H]([C@@H]7C8=CC(=O)OC8)O)O)C)C)C)C)O)O
12.62		draft_25135_00167	14896	CC1(C2CCC(=C)C1C2)C	
12.66		draft_25135_00168	5281565		COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2
12.72		draft_25135_00169	96191	CC1=C(C=C2C(=C1OC)C(=O)C3=CC=CC=C3C2=O)O	
12.74		draft_25135_00170	3055167		CC1([C@H](O1)COC2=C3C(=C(C4=C2OC(=O)C=C4)OC)C=CO3)C
12.75		draft_25135_00171	6654	CC1=CCC2CC1C2(C)C	
