t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.1
3	95	5	0	0	0.1
5	50	50	0	0	0.1
20	15	85	0	0	0.1
23	15	85	0	0	0.1
