id	name	formula	rt	smiles.std	status
0348_00037	Acetyl-DL-carnitine hydrochloride	C9H17NO4	1.144		'PUGREST.BadRequest: error: '
0348_00064	Decanoyl-L-carnitine	C17H33NO4	4.432		'PUGREST.BadRequest: error: '
0348_00091	3-Methylglutarylcarnitine	C13H23NO6	2.507		'PUGREST.BadRequest: error: '
0348_00095	Stearoyl-L-carnitine	C25H49NO4	6.245		'PUGREST.BadRequest: error: '
0348_00159	9-Decenoic acid	C10H18O2	4.877		'PUGREST.BadRequest: error: '
0348_00193	KYNURENINE	C10H12N2O3	1.588		'PUGREST.BadRequest: error: '
0348_00194	INOSINE	C10H12N4O5	3.326		'PUGREST.BadRequest: error: '
0348_00195	INOSINE MONOPHOSPHATE	C10H13N4O8P	0.604		'PUGREST.BadRequest: error: '
0348_00200	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P	0.571		'PUGREST.BadRequest: error: '
0348_00201	METHYLTHIOADENOSINE	C11H15N5O3S	2.392		'PUGREST.BadRequest: error: '
0348_00202	N-ACETYLNEURAMINATE	C11H19NO9	0.588		'PUGREST.BadRequest: error: '
0348_00203	N-ACETYLTRYPTOPHAN	C13H14N2O3	3.326		'PUGREST.BadRequest: error: '
0348_00204	FOLATE	C19H19N7O6	2.49		'PUGREST.BadRequest: error: '
0348_00218	SARCOSINE	C3H7NO2	0.571		'PUGREST.BadRequest: error: '
0348_00227	CYTOSINE	C4H5N3O	0.588		'PUGREST.BadRequest: error: '
0348_00230	SUCCINATE	C4H6O4	0.604		'PUGREST.BadRequest: error: '
0348_00231	MALATE	C4H6O5	0.834		'PUGREST.BadRequest: error: '
0348_00232	MALATE	C4H6O5	0.834		'PUGREST.BadRequest: error: '
0348_00234	CREATININE	C4H7N3O	0.571		'PUGREST.BadRequest: error: '
0348_00238	CREATINE	C4H9N3O2	0.571		'PUGREST.BadRequest: error: '
0348_00246	METHIONINE	C5H11NO2S	0.686		'PUGREST.BadRequest: error: '
0348_00250	XANTHINE	C5H4N4O2	0.817		'PUGREST.BadRequest: error: '
0348_00251	URATE	C5H4N4O3	0.637		'PUGREST.BadRequest: error: '
0348_00253	GUANINE	C5H5N5O	0.834		'PUGREST.BadRequest: error: '
0348_00259	PIPECOLATE	C6H11NO2	0.637		'PUGREST.BadRequest: error: '
0348_00260	CYSTINE	C6H12N2O4S2	0.539		'PUGREST.BadRequest: error: '
0348_00279	PHENYLALANINE	C9H11NO2	1.637		'PUGREST.BadRequest: error: '
0348_00280	TYROSINE	C9H11NO3	0.67		'PUGREST.BadRequest: error: '
0348_00282	URIDINE	C9H12N2O6	4.999		'PUGREST.BadRequest: error: '
0348_00284	CYTIDINE	C9H13N3O5	0.588		'PUGREST.BadRequest: error: '
0348_00285	DEOXYCYTIDINE MONOPHOSPHATE	C9H14N3O7P	0.588		'PUGREST.BadRequest: error: '
0348_00286	CARNOSINE	C9H14N4O3	0.506		'PUGREST.BadRequest: error: '
0348_00289	KYNURENINE	C10H12N2O3	1.59		'PUGREST.BadRequest: error: '
0348_00290	XANTHOSINE	C10H12N4O6	0.836		'PUGREST.BadRequest: error: '
0348_00292	DEOXYGUANOSINE-MONOPHOSPHATE	C10H14N5O7P	0.59		'PUGREST.BadRequest: error: '
0348_00293	ADENOSINE-MONOPHOSPHATE	C10H14N5O7P	0.59		'PUGREST.BadRequest: error: '
0348_00297	TRYPTOPHAN	C11H12N2O2	2.46		'PUGREST.BadRequest: error: '
0348_00301	CITICOLINE	C14H26N4O11P2	0.541		'PUGREST.BadRequest: error: '
0348_00309	PALMITOYLCARNITINE	C23H45NO4	5.903		'PUGREST.BadRequest: error: '
0348_00316	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P	0.557		'PUGREST.BadRequest: error: '
0348_00326	1-AMINOCYCLOPROPANECARBOXYLATE	C4H7NO2	0.639		'PUGREST.BadRequest: error: '
0348_00330	BETAINE	C5H11NO2	0.574		'PUGREST.BadRequest: error: '
0348_00331	NORVALINE	C5H11NO2	0.574		'PUGREST.BadRequest: error: '
0348_00336	OXOPROLINE	C5H7NO3	0.738		'PUGREST.BadRequest: error: '
0348_00337	PYROGLUTAMATE	C5H7NO3	0.738		'PUGREST.BadRequest: error: '
0348_00338	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.557		'PUGREST.BadRequest: error: '
0348_00339	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.557		'PUGREST.BadRequest: error: '
0348_00345	PIPECOLATE	C6H11NO2	0.639		'PUGREST.BadRequest: error: '
0348_00346	4-ACETAMIDOBUTANOATE	C6H11NO3	0.951		'PUGREST.BadRequest: error: '
0348_00347	AMINOADIPATE	C6H11NO4	0.59		'PUGREST.BadRequest: error: '
0348_00348	N-METHYLGLUTAMATE	C6H11NO4	0.59		'PUGREST.BadRequest: error: '
0348_00361	NORSPERMIDINE	C6H17N3	0.459		'PUGREST.BadRequest: error: '
0348_00362	PICOLINATE	C6H5NO2	0.672		'PUGREST.BadRequest: error: '
0348_00363	UROCANATE	C6H6N2O2	0.623		'PUGREST.BadRequest: error: '
0348_00365	HISTIDINE	C6H9N3O2	0.508		'PUGREST.BadRequest: error: '
0348_00367	1-METHYL-L-HISTIDINE	C7H11N3O2	0.525		'PUGREST.BadRequest: error: '
0348_00368	DIAMINOPIMELATE	C7H14N2O4	0.836		'PUGREST.BadRequest: error: '
0348_00369	CYSTATHIONINE	C7H14N2O4S	0.541		'PUGREST.BadRequest: error: '
0348_00371	THEOPHYLLINE	C7H8N4O2	2.377		'PUGREST.BadRequest: error: '
0348_00372	PARAXANTHINE	C7H8N4O2	2.377		'PUGREST.BadRequest: error: '
0348_00374	CAFFEINE	C8H10N4O2	2.705		'PUGREST.BadRequest: error: '
0348_00375	DOPAMINE	C8H11NO2	0.639		'PUGREST.BadRequest: error: '
0348_00378	HOMOCYSTINE	C8H16N2O4S2	0.59		'PUGREST.BadRequest: error: '
0348_00379	N,N-DIMETHYL-ARGININE	C8H18N4O2	0.541		'PUGREST.BadRequest: error: '
0348_00380	4-PYRIDOXATE	C8H9NO4	0.869		'PUGREST.BadRequest: error: '
0348_00382	DEOXYCYTIDINE	C9H13N3O4	0.623		'PUGREST.BadRequest: error: '
0348_00383	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.574		'PUGREST.BadRequest: error: '
0348_00389	5'-DEOXYADENOSINE	C10H13N5O3	1.206		'PUGREST.BadRequest: error: '
0348_00390	DEOXYGUANOSINE	C10H13N5O4	0.845		'PUGREST.BadRequest: error: '
0348_00398	SPERMINE	C10H26N4	0.451		'PUGREST.BadRequest: error: '
0348_00399	THIAMINE MONOPHOSPHATE	C12H17N4O4PS	0.55		'PUGREST.BadRequest: error: '
0348_00401	S-ADENOSYLHOMOCYSTEINE	C14H20N6O5S	0.615		'PUGREST.BadRequest: error: '
0348_00408	S-HEXYL-GLUTATHIONE	C16H29N3O6S	3.468		'PUGREST.BadRequest: error: '
