id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
0354_00037	Acetyl-DL-carnitine hydrochloride	C9H17NO4	0.62		missing SMILES		
0354_00064	Decanoyl-L-carnitine	C17H33NO4	5.484		missing SMILES		
0354_00085	Propionyl-L-carnitine	C10H19NO4	1.099		missing SMILES		
0354_00095	Stearoyl-L-carnitine	C25H49NO4	6.685		missing SMILES		
0354_00103	2-Hydroxyhexadecanoic acid	C16H32O3	7.012		missing SMILES		
0354_00159	9-Decenoic acid	C10H18O2	5.827		missing SMILES		
0354_00194	INOSINE	C10H12N4O5	1.309		missing SMILES		
0354_00195	INOSINE MONOPHOSPHATE	C10H13N4O8P	0.72		missing SMILES		
0354_00196	GUANOSINE	C10H13N5O5	1.113		missing SMILES		
0354_00198	DEOXYADENOSINE MONOPHOSPHATE	C10H14N5O6P	0.738		missing SMILES		
0354_00199	TRYPTOPHAN	C11H12N2O2	2.862		missing SMILES		
0354_00200	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P	0.592		missing SMILES		
0354_00201	METHYLTHIOADENOSINE	C11H15N5O3S	2.957		missing SMILES		
0354_00202	N-ACETYLNEURAMINATE	C11H19NO9	0.592		missing SMILES		
0354_00203	N-ACETYLTRYPTOPHAN	C13H14N2O3	4.022		missing SMILES		
0354_00217	GUANIDINOACETATE	C3H7N3O2	0.553		missing SMILES		
0354_00234	CREATININE	C4H7N3O	0.553		missing SMILES		
0354_00238	CREATINE	C4H9N3O2	0.578		missing SMILES		
0354_00240	AMINOISOBUTANOATE	C4H9NO2	0.592		missing SMILES		
0354_00243	GLUTAMINE	C5H10N2O3	0.544		missing SMILES		
0354_00248	PURINE	C5H4N4	1.081		missing SMILES		
0354_00250	XANTHINE	C5H4N4O2	0.928		missing SMILES		
0354_00251	URATE	C5H4N4O3	0.738		missing SMILES		
0354_00252	ADENINE	C5H5N5	2.964		missing SMILES		
0354_00253	GUANINE	C5H5N5O	1.31		missing SMILES		
0354_00254	THYMINE	C5H6N2O2	2.268		missing SMILES		
0354_00256	PROLINE	C5H9NO2	0.601		missing SMILES		
0354_00259	PIPECOLATE	C6H11NO2	0.683		missing SMILES		
0354_00260	CYSTINE	C6H12N2O4S2	0.535		missing SMILES		
0354_00262	CITRULLINE	C6H13N3O3	0.559		missing SMILES		
0354_00267	NICOTINATE	C6H5NO2	0.808		missing SMILES		
0354_00268	NICOTINAMIDE	C6H6N2O	0.808		missing SMILES		
0354_00275	PYRIDOXINE	C8H11NO3	0.774		missing SMILES		
0354_00279	PHENYLALANINE	C9H11NO2	2.305		missing SMILES		
0354_00280	TYROSINE	C9H11NO3	1.034		missing SMILES		
0354_00281	L-DOPA	C9H11NO4	0.747		missing SMILES		
0354_00284	CYTIDINE	C9H13N3O5	0.625		missing SMILES		
0354_00286	CARNOSINE	C9H14N4O3	0.494		missing SMILES		
0354_00289	KYNURENINE	C10H12N2O3	1.999		missing SMILES		
0354_00290	XANTHOSINE	C10H12N4O6	1.788		missing SMILES		
0354_00297	TRYPTOPHAN	C11H12N2O2	2.87		missing SMILES		
0354_00298	1-METHYLADENOSINE	C11H15N5O4	2.338		missing SMILES		
0354_00299	GLUTARYLCARNITINE	C12H21NO6	1.207		missing SMILES		
0354_00301	CITICOLINE	C14H26N4O11P2	0.564		missing SMILES		
0354_00302	S-ADENOSYLMETHIONINE	C15H22N6O5S	0.53		missing SMILES		
0354_00309	PALMITOYLCARNITINE	C23H45NO4	6.511		missing SMILES		
0354_00316	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P	0.545		missing SMILES		
0354_00320	CYSTEATE	C3H7NO5S	0.545		missing SMILES		
0354_00330	BETAINE	C5H11NO2	0.574		missing SMILES		
0354_00331	NORVALINE	C5H11NO2	0.574		missing SMILES		
0354_00335	AGMATINE SULFATE	C5H14N4	0.481		missing SMILES		
0354_00336	OXOPROLINE	C5H7NO3	0.821		missing SMILES		
0354_00338	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.555		missing SMILES		
0354_00340	N-METHYLASPARTATE	C5H9NO4	0.574		missing SMILES		
0354_00345	PIPECOLATE	C6H11NO2	0.735		missing SMILES		
0354_00347	AMINOADIPATE	C6H11NO4	0.594		missing SMILES		
0354_00348	N-METHYLGLUTAMATE	C6H11NO4	0.594		missing SMILES		
0354_00352	GLUCONATE	C6H12O7	0.654		missing SMILES		
0354_00361	NORSPERMIDINE	C6H17N3	0.44		missing SMILES		
0354_00362	PICOLINATE	C6H5NO2	0.834		missing SMILES		
0354_00365	HISTIDINE	C6H9N3O2	0.501		missing SMILES		
0354_00367	1-METHYL-L-HISTIDINE	C7H11N3O2	0.53		missing SMILES		
0354_00368	DIAMINOPIMELATE	C7H14N2O4	0.53		missing SMILES		
0354_00369	CYSTATHIONINE	C7H14N2O4S	0.539		missing SMILES		
0354_00374	CAFFEINE	C8H10N4O2	3.357		missing SMILES		
0354_00380	4-PYRIDOXATE	C8H9NO4	1.457		missing SMILES		
0354_00387	CYCLIC GMP	C10H12N5O7P	1.358		missing SMILES		
0354_00389	5'-DEOXYADENOSINE	C10H13N5O3	2.386		missing SMILES		
0354_00399	THIAMINE MONOPHOSPHATE	C12H17N4O4PS	0.543		missing SMILES		
0354_00408	S-HEXYL-GLUTATHIONE	C16H29N3O6S	4.893		missing SMILES		
0354_00409	RIBOFLAVIN	C17H20N4O6	3.61		missing SMILES		
0354_00412	LAUROYLCARNITINE	C19H37NO4	5.946		missing SMILES		
0354_00425	PHOSPHOCREATINE	C4H10N3O5P	0.583		missing SMILES		
0354_00432	4-GUANIDINOBUTANOATE	C5H11N3O2	0.619		missing SMILES		
0354_00437	PHOSPHORYLCHOLINE	C5H14NO4P	0.553		missing SMILES		
0354_00441	5-METHYLCYTOSINE	C5H7N3O	0.602		missing SMILES		
0354_00443	HISTAMINE	C5H9N3	0.476		missing SMILES		
0354_00450	GLUCOSAMINATE	C6H13NO6	0.543		missing SMILES		
0354_00455	N-ACETYLMETHIONINE	C7H13NO3S	3.058		missing SMILES		
