id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6	TAE0	TAE1	TAE2	TAE3	TAE4	TAE5	TAE6	TAE7	TAE8	TAE9	TAE10	TAE11	TAE12	TAE13	TAE14	TAE15	TAE16	TAE17	TAE18	TAE19	TAE20	TAE21	TAE22	TAE23	TAE24	TAE25	TAE26	TAE27	TAE28	TAE29	TAE30	TAE31	TAE32	TAE33	TAE34	TAE35	TAE36	TAE37	TAE38	TAE39	TAE40	TAE41	TAE42	TAE43	TAE44	TAE45	TAE46	TAE47	TAE48	TAE49	TAE50	TAE51	TAE52	TAE53	TAE54	TAE55	TAE56	TAE57	TAE58	TAE59	TAE60	TAE61	TAE62	TAE63	TAE64	TAE65	TAE66	TAE67	TAE68	TAE69	TAE70	TAE71	TAE72	TAE73	TAE74	TAE75	TAE76	TAE77	TAE78	TAE79	TAE80	TAE81	TAE82	TAE83	TAE84	TAE85	TAE86	TAE87	TAE88	TAE89	TAE90	TAE91	TAE92	TAE93	TAE94	TAE95	TAE96	TAE97	TAE98	TAE99	TAE100	TAE101	TAE102	TAE103	TAE104	TAE105	TAE106	TAE107	TAE108	TAE109	TAE110	TAE111	TAE112	TAE113	TAE114	TAE115	TAE116	TAE117	TAE118	TAE119	TAE120	TAE121	TAE122	TAE123	TAE124	TAE125	TAE126	TAE127	TAE128	TAE129	TAE130	TAE131	TAE132	TAE133	TAE134	TAE135	TAE136	TAE137	TAE138	TAE139	TAE140	TAE141	TAE142	TAE143	TAE144	TAE145	TAE146	nA	nR	nN	nD	nC	nF	nQ	nE	nG	nH	nI	nP	nL	nK	nM	nS	nT	nY	nV	nW
0354_00002																		11.695321837424101	15.997955130105712	-0.4205057466133397	0.2776753036549918	5.245561015833589	12.780758398015951	0.8518518518518519	9.515000000000004	384.63866730918	1	5	4.319999999999999		4	16	31	0	72	0	0	7.126099999999997	50.78130120999997	121.4657	0	4	0	1	0	0	0	1	3	0	0	0	0.05263579446963955	158	2022	54	57.21672998663424	2.0434546423797944	2.5424531592121764	2.5424531592121764	0	5.954196310386876		20.23	0.875		0.4666666666666667	1.546971742764065	11.005422149571372	8.103990710279186	2.2422597680429632	15.301585299105966	26.130140520999575	7.461302673673635	6.999128773059463	5.731361986286214	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	2	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.240374609781476	7.921875	3.6548442906574397	0.8518518518518519	4869.01	0.6071428571428571	669	20.10408352775558	13.253691300962933	13.066853663868685	11.129123522725784	9.497038145488546	7.690964085574956	5.939076381857319	4.472166647443197	19.13708356088244	12.346040511173259	11.808204662872523	9.745768735298753	8.007802551251936	6.015354562810987	4.558770883847707	3.270700244093163	6.930127877232994	11.91831618324547	18.08424416998299	5.945148664552267	9.87218407289749	13.955881438172925	2.952131581489401	0.23570226039551587	1.022341061775787	0.2032631323962854	2.6133789564137806	0.2199132028137237	0.8556681951966253	0.16753024759015375	0	0	0.08333333333333333	0.3936345532609666	0.9760469218395454	0	0	0.08333333333333333	0.3487920517222317	0.7699867572705278	0	0	0	2	2	5	11	5	2	2621.4867194640574	3220.615428064	4990.545764921285	5399.034344334115	4676.234247675731	28.774469035540946	31.332091977132563	48.66418395426513	54.66418395426513	49.66418395426513	0.08369932794232166	-0.0238773843745081	-0.02404256152967978	0.011144265217916007	-0.00404392433973739	1	1																														48.10110799999999	77.66089199999996																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00004																		11.742412775488445	16.010186669678085	-0.4213440121771447	0.37734403134593353	3.8919030523300253	12.840953642937444	0.9583333333333334	5.7559999999999985	392.572911386221	1	4	3.6599999999999997		2	15	31	0	68	0	0	4.056799999999995	16.457626239999957	109.1956	1	4	0	1	0	0	0	1	3	0	0	0	0.19821935996493653	160	1901	57	57.048366181106914	2.0374416493252467	9.881769100995328	9.881769100995328	0	5.954196310386876		77.76	1		0.5	0.520020955762976	6.644929333312817	6.949060755165436	2.112473971090738	10.739942760971246	25.596044524726818	6.290291670756787	9.763685728496458	6.908518168455544	0.25	0.7841369378620654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	8	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.240374609781476	7.601832569762599	3.3525094227335845	0.9583333333333334	4285.04	0.6071428571428571	618	20.26722023457211	13.174411604617962	13.171581756237732	11.466622076041944	9.571683714608989	8.314899130804026	5.9245760677336206	4.577546174077757	17.93975904234622	11.754444350465102	11.296200311141263	10.316808654585062	8.712491440829606	7.0857227049426355	5.195915754630255	3.9838048849987957	7.651442510279255	12.87152112212384	21.062236811028786	6.657712211105776	11.522208723817158	17.783130687081908	3.059714684257983	0.21407617506269555	1.2778431760034685	0.25364688940716357	2.443603374195274	0.21407617506269555	1.1099378201754309	0.21603453863569563	0	0	0.08333333333333333	0.3739926982280069	1.001671947753726	0	0	0.08333333333333333	0.3739926982280069	0.9207872473599497	0	0	1	0	0	3	12	6	2	2486.214359294495	3106.293439258381	4926.681294956688	5479.5112587029635	4798.945111583956	31.097876142163784	32.328367908530254	51.76702089833633	59.65673581706051	55.98882779419308	0.34240524165762254	-0.1411517607809036	-0.022472679403921062	-0.00606050041672299	0.008138482098459278	3	4																														44.68627999999999	72.11971999999996																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00006																		11.715735871537559	16.006096333851495	-0.4203884113870603	0.32296543498278296	4.814433632099787	12.736120914294009	0.8888888888888888	8.425999999999998	400.6380722367494	1	5	4.21		4	16	32	0	73	0	0	6.3021999999999965	39.71772483999995	121.2321	0	4	0	1	0	0	0	1	3	0	0	0	0.09317217072355992	164	2172	57	59.0451816433049	2.0360407463208587	5.137158643507943	5.137158643507943	0	6		37.3	0.875		0.4666666666666667	1.546971742764065	10.2156141664568	8.879666563794578	2.2422597680429632	12.47671051028259	26.322889742165366	6.79631961154081	9.62798477642589	6.396422271550294	0.25	0.16666666666666669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	1	0	7	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.203125	8.1648	3.7548105534616147	0.8888888888888888	4964.02	0.5862068965517241	690	20.974327015758657	13.664374903485893	13.615985197936007	11.489610360356938	9.875909088634735	8.306956129416614	6.261245371707058	4.608109404131802	19.545331851346305	12.58478615401164	12.145535441689832	10.185113661379514	8.551001219008871	6.674560390371165	5.085656537949216	3.738950208884838	7.322230109770483	12.589105972735716	20.165448375003237	6.36742535856459	10.810427897432618	16.072870643882467	3.162862189508074	0.23570226039551587	1.0832508571745267	0.2032631323962854	2.719486281622237	0.2199132028137237	0.952698227444174	0.17955837819827095	0	0	0.08333333333333333	0.38480574089441705	0.9701899368714091	0	0	0.08333333333333333	0.356701548425959	0.8258663085315259	0	0	0	2	1	5	11	6	2	2648.5645082739393	3269.5474125394903	5107.537039879887	5609.018068513226	5002.527980409375	30.548938071081892	32.66418395426513	51.328367908530254	58.66045988566282	56.324643839927944	0.20175774316035439	-0.057074324207668226	-0.050367271397313215	0.0335277001950636	0.006970540804521138	1	2																														49.05910799999999	78.46289199999997																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00008																		11.742301278483758	16.010427820957972	-0.42142836061441485	0.3773964591551916	3.8928311231300325	12.901404284335827	0.9583333333333334	4.093	408.57231631379034	0	4	3.55		2	15	32	0	69	0	0	2.8873999999999946	8.337078759999969	110.78750000000001	1	4	0	1	0	0	0	1	3	0	0	0	0.24000240534383332	166	2045	60	58.87670877629486	2.030231337113616	12.47503849566612	12.47503849566612	0	6		97.99000000000001	1		0.5	0.520020955762976	5.9898171353189955	7.595417607874975	2.112473971090738	8.246189112526022	25.17624369734026	5.6248257797278844	12.707327252599493	7.568660575021997	0.25	1.300511351021694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0	0	0	9	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.203125	7.8477508650519034	3.4565376186997807	0.9583333333333334	4372.05	0.5862068965517241	637	21.13746372257519	13.58509520714092	13.720713290305055	11.827108913673092	9.957329243755831	8.879363089103157	6.3542916892305925	4.678544169166663	18.257216125849258	11.845976573545597	11.435395605746429	10.334234900864663	8.684026203798128	7.1440377658737075	5.157925905398564	3.874297225715923	8.043544742816746	13.554616923921486	23.027874628632162	6.762719627403341	11.576456829974688	18.169769033973605	3.270445292276656	0.21407617506269555	1.3387529714022082	0.25364688940716357	2.5240409771573766	0.21407617506269555	1.1274166138886474	0.2160345386356956	0	0	0.08333333333333333	0.36516388586145737	0.9969605586833484	0	0	0.08333333333333333	0.36516388586145737	0.8943603574468105	0	0	1	0	0	3	12	6	2	2564.7036944889705	3219.4818348012386	5145.058030026681	5799.378491095326	5223.859443942542	32.87234517770473	33.660459885662824	54.431204852601454	63.6530117484582	62.64928767985589	0.41774265424393087	-0.16462613879615354	-0.029250047900131245	0.014413270554458553	0.025673773273591542	4	5																														44.686279999999996	72.92171999999997																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00009																		11.7151517682622	16.003892540043275	-0.42088267045927097	0.3079610704670713	5.235366990897814	12.807483886137726	0.9259259259259259	6.041	414.6215956566672	1	0	4.1		2	16	35	0	72	0	0	4.633999999999997	21.47395599999997	120.2643	0	6	0	1	0	0	0	2	4	0	0	0	0.09338341558947898	186	2253	66	62.92053247997733	2.097351082665911	8.82024262440055	8.82024262440055	0	6.129283016944966		38.69	0.875		0.4666666666666667	0.8660254037844388	8.465147795413111	7.913700407082503	3.1232523821488445	11.934338499056201	25.99189403863131	9.188718498033648	9.444379950814424	8.762961839759623	0.6850067105944414	0	0.18257418583505536	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	1	0	8	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.59591836734694	6.758620689655173	2.7334710743801653	0.9259259259259259	5059.03	0.8333333333333334	755	20.888540578131753	14.267257961945138	14.640234967371253	13.634973946704694	11.96451255318451	10.656571744915691	8.188387351863977	6.44449920946821	19.530930410999797	12.960682296435865	12.673638635614981	11.344861500519116	9.659007992224845	8.007072123867474	6.068638579395664	4.607461052120388	8.96853707159691	15.849405495266343	25.562070678688414	7.115379744467288	12.325762091656784	18.852271407500517	3.518352810414205	0.3377643330114816	1.248626183163064	0.25335988512861485	2.844509754332614	0.2539338936857123	1.0151726331062587	0.1903714208646811	0	0	0.13608276348795434	0.7165528802666454	1.7405378545408454	0	0	0.10732509180989647	0.5278486464970935	1.2122792425754503	0	0	0	1	1	5	12	6	2	2865.8136054805605	3650.6572420308125	5990.924241098998	6515.1232995963965	5512.60314101401	32.32340710662284	36.66045988566282	61.763296829734024	69.98510372559076	59.65673581706051	0.386852615786116	-0.20057342766907596	0.052372096605424974	-0.06278637145077642	0.01864840924126348	1	3																														49.74669399999999	77.93130599999996																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00010																		11.715735869712075	16.01056648210477	-0.42040481769300153	0.38305068734521036	4.063615316258802	12.742175254025414	0.8518518518518519	6.337	430.6210005842365	1	6	3.9899999999999998		4	17	34	0	73	0	0	5.209699999999998	27.14097408999998	122.9234	1	4	0	1	0	0	0	1	3	0	0	0	0.17336406999033263	174	2706	61	62.87057421500978	2.028083039193864	9.880233736375018	9.880233736375018	0	6.08746284125034		74.6	1		0.5	0.8660254037844388	8.744211491715715	8.3483359519986	2.1245097738940237	12.47671051028259	27.46407166431926	6.79631961154081	10.641530522222935	6.34313009810265	0.25	0.6873648184993013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10	0	1	0	7	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.134948096885815	8.98184407262371	4.181333333333333	0.8518518518518519	4846.04	0.5483870967741935	791	22.551677284948283	14.575058506008855	14.443439167867657	12.505673079886494	10.122969406933898	8.492848641358345	6.318760715063176	4.788046007257875	19.900793737310124	12.723841962398739	11.990973829851951	10.46234709540431	8.572414433928573	6.702945038397713	5.043118857029323	3.777395581658723	8.24066175636221	13.002832957701534	20.6358586838094	6.48768064481251	10.85819342618704	16.146241505556258	3.32364949277306	0.23570226039551587	1.3189531175700424	0.2032631323962854	2.568066764059778	0.2199132028137237	0.9899660270691703	0.17955837819827097	0	0	0.08333333333333333	0.38480574089441705	0.9701899368714092	0	0	0.08333333333333333	0.35670154842595897	0.8258663085315258	0	0	1	2	1	4	11	6	2	2707.236194020691	3345.097449323824	5219.593281178716	5750.671732745752	5097.3667737908045	34.097876142163784	35.328367908530254	55.76702089833633	63.98882779419307	58.98882779419307	0.3917797586938429	-0.15206511375465942	-0.04153844211096171	0.024914659220947395	0.0067411566836196495	2	4																														47.83069399999999	78.73330599999997																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00011																		11.742419745995097	16.01085033622153	-0.42164523625680583	0.39347522695009246	3.7001033370629717	12.723362829257493	0.9230769230769231	3.1839999999999997	449.6243135758797	0	7	3.66		3	18	35	0	75	0	0	3.262499999999999	10.643906249999992	122.22610000000002	1	4	0	1	0	0	0	1	3	0	0	0	0.23782915856615552	178	3011	61	64.8664685945309	2.0270771435790906	15.320717450861762	12.402994043151445	2.917723407710324	6.129283016944966		106.86000000000001	0.8888888888888888		0.47058823529411764	0.520020955762976	7.148320307321768	6.817322820082089	2.112473971090738	11.670915781671974	27.10660408548349	6.63239280118565	10.456701293274957	6.364459545808115	0.25	1.1716465450689586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	8	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.103673469387754	9.567901234567902	4.64	0.9230769230769231	5092.06	0.53125	868	23.25878406613483	15.058221753603247	14.944953792054893	12.400293962879898	10.337432598434619	9.043742846692444	6.316324322643263	4.8123906000348375	20.05511411399663	12.905638575751512	12.139093642937429	10.67926501093741	8.998009062986979	7.304672317697739	5.361056333994838	4.114745275353905	7.730478400234345	12.91006223653055	20.982850555488305	6.6758289730390254	11.549973859505773	17.682009456347583	3.451537324102887	0.23570226039551587	1.0832508571745267	0.2032631323962854	2.6014637103519025	0.23570226039551587	1.0398198554890035	0.2032631323962854	0	0	0.08333333333333333	0.38480574089441705	0.9701899368714092	0	0	0.08333333333333333	0.38480574089441705	0.9159011847645051	0	0	2	0	0	4	12	6	2	2685.808596733653	3320.1916874784674	5180.795962217278	5704.512479774459	5107.382035749763	36.23232547898121	36.99282375202371	57.9849383388964	64.59774896724161	61.819193681638644	0.5389503240374559	-0.22179581560256262	-0.059784260160217234	0.09833623364397535	-0.14121362795471212	4	6																														49.58390099999999	79.54209899999996																																																																																																																																																																						0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0354_00012																		11.742300821858434	31.978849383775724	-0.4217630071519745	0.4499511801977583	4.9320449739889245	12.965290440365019	0.9615384615384616	2.7709999999999995	515.705089931708	1	8	3.33		3	19	38	0	80	0	0	1.5264999999999964	2.330202249999989	132.4403	1	4	0	1	0	0	0	1	3	0	0	0	0.2960265179028612	196	3903	67	70.46792173232531	2.0133691923521515	23.43549731944367	17.28154361869302	2.9488060328205736	6.247927513443585		152.54	1		0.5	0.520020955762976	6.479377441272384	7.595417607874975	2.112473971090738	10.385870976677896	26.532164530049005	5.665709866910878	12.707327252599493	7.568660575021997	0.25	2.5615910049010324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	0	9	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.019390581717452	10.285	5.30650815424478	0.9615384615384616	5699.09	0.4857142857142857	1009	25.758784066134826	16.269546619008434	16.88492685267814	13.366258044665527	11.03370514561954	9.468176369575152	7.084366024325274	4.967667760088548	21.599916330512176	13.932043557212703	13.069931518253618	11.209286835186854	9.189296271388892	7.451582266329742	5.425887291014868	4.044137648036764	8.91311789868579	14.574806607937294	23.663218868663858	6.981870912533052	11.75590998480366	18.299593291566612	4.711532308187427	0.5676295656559693	1.338752971402208	0.25364688940716357	2.8074139591092657	0.24633088338420323	1.1274166138886472	0.2160345386356956	0	0	0.08333333333333333	0.36516388586145737	0.9969605586833484	0	0	0.08333333333333333	0.36516388586145737	0.8943603574468104	0	0	1	0	0	5	12	6	2	3029.522812924236	3711.825101309726	5789.784910268848	6349.415917780549	5811.712707959401	46.90901658851311	48.99971533440089	68.19993754592898	73.92892488405849	73.14563960878917	0.6102683300206335	-0.24240164300533362	0.0026812846230046756	-0.07391037456772957	0.13733431528550344	5	8																														57.28831499999999	85.37968499999998																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00013																		11.715681486460765	16.008959400456774	-0.4144409891773455	0.37090250157770965	4.529471067192809	12.645026667267686	0.7619047619047619	0.14000000000000007	360.44481957751697	0	2	3.2199999999999998		4	13	29	0	54	0	0	1.0341999999999987	1.0695696399999972	96.699699999999993	0	4	0	1	0	0	0	1	3	0	0	0	0.2545019709147074	154	1425	59	52.97222990848442	2.0373934580186317	12.555494826861665	12.555494826861665	0	5.857980995127573		91.67	1		0.5	0.16666666666666669	4.439191750381925	3.9971965059329175	2.3189837636060755	9.152369232604341	20.196722169625932	8.842297859754169	6.86643562625151	8.003868130077175	1.1052094495921163	1.642784601307477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	1	0	3	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.322235434007133	6.25	2.4860198911615687	0.7619047619047619	2599.05	0.6538461538461539	496	18.905412915006313	12.170504622625403	12.320085418354878	11.540204071145046	9.7161073600805	7.819332561635056	5.811462434821476	4.4308475600904345	15.585427388642392	9.803619654183983	9.380845364107817	8.411492937876579	6.976356761966987	5.3133177013901705	3.870424957381794	2.797157560552959	8.850815589820842	15.53077527549387	24.765232620502644	5.839662140621031	9.809733181499942	14.276588361815376	3.1703650942824857	0.32197527542968946	1.7814460640440457	0.5575667563086659	2.2351696409284947	0.24365261598403629	1.0354664317882458	0.2822980823269193	0	0	0.07216878364870323	0.4250237345359898	1.1166452579993968	0	0	0.07216878364870323	0.34499748902910643	0.7810258976872542	0	0	0	4	1	3	7	4	2	2288.5603998730635	2908.6643804824985	4750.539595968491	5325.088049417382	4509.9777937012395	29.87234517770473	30.66045988566282	51.320919771325634	64.86613377380522	60.42003264679453	0.5647014403345761	-0.10447778072342012	-0.2095146515732088	0.06537632352608462	0.01671951418461386	2	5																														33.483796	59.64020399999997																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0354_00016																		11.714565390185195	16.006096415071692	-0.4208014254949069	0.3319295875049782	5.244699014444932	12.728826495558856	0.8888888888888888	8.421999999999999	400.63807223674934	1	5	4.21		4	16	32	0	73	0	0	6.445399999999995	41.54318115999993	121.33479999999999	0	4	0	1	0	0	0	1	3	0	0	0	0.09317217072355992	164	2172	57	59.0451816433049	2.0360407463208587	5.137158643507938	5.137158643507938	0	6		37.3	0.875		0.4666666666666667	1.546971742764065	10.2156141664568	8.879666563794578	2.2422597680429632	12.47671051028259	26.322889742165366	6.79631961154081	9.62798477642589	6.396422271550294	0.25	0.16666666666666669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	0	1	0	7	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.203125	8.1648	3.7548105534616147	0.8888888888888888	4964.02	0.5862068965517241	690	20.974327015758657	13.664374903485893	13.615985197936006	11.489610360356934	9.875909088634733	8.306956129416612	6.2612453717070595	4.608109404131803	19.545331851346305	12.59482285514371	12.155175676027676	10.121020920119625	8.407118839994014	6.527088565165967	4.931078040213573	3.573044165213551	7.322230109770482	12.589105972735714	20.165448375003237	6.273248971275228	10.501202154462	15.416325731933487	3.162862189508074	0.23570226039551587	1.0832508571745265	0.2032631323962854	2.712998453321342	0.2199132028137237	0.9297162311913226	0.17955837819827095	0	0	0.08333333333333333	0.38480574089441705	0.9701899368714091	0	0	0.08333333333333333	0.36168376325383605	0.8162026905312414	0	0	0	2	1	5	11	6	2	2644.181718022137	3263.547708721756	5094.691650629565	5584.328356890236	4969.6686861761145	30.548938071081892	32.66418395426513	51.328367908530254	58.66045988566282	56.324643839927944	0.20083548654890607	-0.057631203393668146	-0.04796764881085627	0.03256683890117023	0.005956385651944412	1	2																														49.05910799999999	78.46289199999997																																																																																																																																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
