t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.3
1	100	0	0	0	0.3
6	95	5	0	0	0.3
30	0	100	0	0	0.3
35	0	100	0	0	0.3
35.1	100	0	0	0	0.3
40	100	0	0	0	0.3
