t [min]	flow rate [ml/min]	A [%]	B [%]
0	0.4	70	30
2	0.4	70	30
5	0.4	48	52
15	0.4	35	65
20	0.4	22	78
22.5	0.4	22	78
29	0.4	10	90
38	0.4	0	100
