t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.5
3	50	50	0	0	0.5
3.1	0	100	0	0	0.5
5	0	100	0	0	0.5
5.1	95	5	0	0	0.5
7	95	5	0	0	0.5
