t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	5	95	0	0	0.15
18	40	60	0	0	0.15
18.1	80	20	0	0	0.15
21.5	80	20	0	0	0.15
22	5	95	0	0	0.15
23.5	5	95	0	0	0.15
25.5	5	95	0	0	0.3
